card1,card2,card3,card4,card5,card6,result
JH,KC,KS,9H,7C,JS,win
KH,8S,AH,QC,KD,JH,loss
JS,6S,8D,JC,7D,7H,win
AC,6D,QS,JD,8D,7D,loss
AC,9S,TD,JS,QS,6D,loss
9S,7D,AC,QC,JS,QD,loss
9S,9H,TS,TC,6S,KC,loss
7C,8D,KS,8H,AC,TH,win
7H,6H,TC,9D,KH,QH,win
7S,7C,JS,9D,QS,7D,win
7H,KS,AS,6C,7C,KC,win
6D,9C,AH,TC,9S,KC,win
KC,TD,TH,9S,AC,6H,loss
KC,8D,JD,AD,AS,KD,loss
7D,8S,JC,KS,7S,6D,loss
KC,8S,KS,JS,8H,8D,win
9S,8H,KC,7H,KD,QC,loss
8D,JD,TS,AS,JC,QS,loss
KS,9C,TS,JD,KD,QD,win
TC,QS,8S,7S,KH,7C,loss
QD,TH,8S,JC,QH,KH,win
7C,AS,AD,9D,TH,8S,win
TS,TH,QD,AS,QC,8D,win
KC,AS,8D,JC,8H,9H,loss
QH,JD,KC,QS,AH,7S,win
7S,KC,QD,7C,QS,JS,win
TC,TD,6C,9C,JH,9H,win
6D,TS,6H,6S,9H,KC,win
JS,8D,7H,AD,QS,JH,win
7C,6C,JS,QD,9C,JD,loss
QD,TS,8S,JD,KC,6S,win
KS,6H,KH,AC,8D,JD,win
QC,AC,7H,9H,KC,8D,loss
QS,JH,7C,TH,JS,QD,loss
6D,6H,AH,8D,JS,KD,loss
9H,QS,JS,KS,QD,7C,win
JD,8C,7H,KC,TS,AC,win
QS,6D,9S,TH,JC,AH,loss
AH,QD,JC,9H,9S,7C,loss
7D,7S,8D,9S,6H,AD,loss
TS,KD,7C,6D,QS,AD,loss
9S,6D,AD,QS,7H,TS,loss
6H,JH,8H,KD,9C,6D,loss
9H,TS,KC,9S,KS,TC,loss
7D,QC,9H,JD,6H,8H,loss
8C,7C,AH,QS,8D,JS,loss
8S,JD,QH,KS,9S,JH,win
TC,8S,KC,6H,AH,AD,loss
AC,AS,8C,7S,7D,TC,loss
QH,TC,KD,8C,JD,9S,win
KC,7S,TC,QC,9C,8H,loss
9H,QH,AC,6D,8C,QD,loss
JC,AC,AH,TC,8C,TS,win
KS,KD,TD,AC,8H,QH,win
QH,6S,7S,JC,QS,8D,win
9S,9H,6D,8H,KD,AS,win
TC,6C,8S,AS,7D,JD,loss
KD,AH,QC,AC,TS,6S,win
6C,AS,TD,7C,AD,6S,loss
AC,6H,6S,8D,7H,TS,loss
6H,7C,7S,QH,AS,8C,win
KH,8S,9D,8D,9H,TC,win
KH,8C,TD,8S,7S,6S,win
QH,9C,8H,KC,TH,QC,win
TC,7D,6C,9C,AC,7S,win
KC,KS,6S,AH,TH,KH,win
JD,9C,6S,6H,TS,9D,loss
TD,TS,AC,TC,TH,QS,win
JD,9C,TH,JC,6C,8C,loss
QS,7S,8H,6S,7D,KC,loss
7H,KC,9D,6C,JH,9H,loss
7S,QH,JD,QS,8D,AH,loss
TC,9C,QS,7H,KD,AD,loss
9D,8D,KC,8C,6C,JD,win
QC,7D,AS,6H,AC,KS,loss
6H,QH,TC,8C,JC,9D,win
AD,8S,QC,AH,6D,AC,win
AH,9H,QC,6C,TH,8D,win
TC,6D,TS,9D,6C,QD,win
8H,JS,AD,8C,KD,6H,loss
7D,KD,6S,TD,7C,9C,win
7S,7C,AH,6D,KS,QD,loss
QC,6D,7H,AS,KS,KD,win
AS,AD,7S,6S,TS,6H,loss
6C,TH,KS,7S,8S,9S,loss
JC,JS,8D,KH,6D,7C,win
KH,7H,AD,TD,7C,7S,win
QS,KC,QC,AC,KH,JS,loss
KH,8S,8D,7D,TD,7S,loss
8H,AC,AH,7S,KD,9H,win
TC,6H,6S,7S,AD,JC,win
JS,KS,8C,7C,JC,9S,loss
8D,6S,6D,TS,JD,6H,win
QD,QS,8C,6H,TS,6C,loss
TH,KH,8S,JD,JH,9C,loss
9C,TH,9S,JD,7S,AD,win
QS,7S,8S,7H,6D,8C,loss
8C,6S,AH,6C,9H,8S,win
KD,TS,KC,AS,JC,8S,loss
JH,7H,AD,QC,AS,TH,loss
8H,AD,9D,KD,8D,6H,win
9D,7C,JD,7D,QD,TH,win
QS,7C,AC,7S,QD,6D,loss
AC,JC,8H,TD,QD,JS,win
6D,AS,QD,AC,KS,9H,loss
8H,8D,6S,AD,9D,TH,loss
6H,JH,JD,6D,AD,7S,win
JC,JS,6S,8D,KH,8C,win
AD,TD,7C,6C,KD,AS,loss
TC,AS,KD,JS,7S,9S,win
QH,QC,TS,7S,9C,7D,win
TD,TC,7D,KS,7C,QD,win
TS,6D,7H,JH,7D,AS,loss
KC,JD,7H,8C,QC,AH,loss
KS,KD,8C,9D,TH,TS,loss
JH,QD,9H,AH,8S,KC,win
6C,8S,9H,6H,7C,AC,win
KC,KD,JS,8D,QS,JH,loss
7H,9S,JH,QC,QD,7C,win
QD,9H,QH,KD,TS,AC,loss
TD,QH,KD,9C,KC,JH,loss
8C,AD,6H,8S,KH,TS,loss
7D,KC,8H,6C,KH,6S,win
JS,AS,TS,TC,TH,JC,win
AC,JC,KC,TS,QD,JD,win
TD,AD,KS,6S,7C,JH,win
6D,JD,7C,6C,AC,7S,loss
7S,KH,TH,TD,QC,KC,win
AD,TH,QD,QH,7S,AC,win
7H,6D,JC,6H,9H,7C,win
TH,7D,JS,AS,QD,9H,win
TS,9D,6H,8C,AD,TC,loss
9D,QC,AS,QS,6H,AD,loss
TS,TC,7D,9H,QH,AD,win
8D,7S,KS,TS,8C,JD,win
TS,9D,AS,8C,KD,QH,loss
6D,AS,7D,7S,TS,AD,win
JH,6C,6S,AS,7D,QD,loss
6S,QC,KS,QH,6D,TD,loss
QS,JH,8S,QD,JD,9H,loss
KS,6S,9D,KH,JC,AD,win
JS,AS,8C,QH,7H,JD,win
6H,8S,AC,KD,JH,AH,loss
QC,9S,KC,AH,JD,7D,loss
JS,9H,8S,7S,6S,TS,win
KS,QH,8D,9H,7C,7D,loss
KS,JS,QH,QC,8H,TC,loss
KC,6S,TC,6D,QD,9S,win
KD,JC,7D,7C,JS,8H,win
KS,KD,KH,TC,QS,QD,win
9S,QS,9D,6H,KH,JD,win
QD,KD,8D,9S,6S,AS,loss
7S,JC,TH,6D,JS,KH,loss
QS,QD,JD,JH,TC,9S,loss
JD,8S,9C,AH,TD,TS,win
TC,6H,QC,6D,9S,8H,loss
8S,QC,8C,QD,TD,7H,win
QH,TS,TC,7D,7S,TH,win
9D,QC,KC,TS,7H,TC,loss
TD,6S,9S,KD,JH,AS,loss
TC,7C,7H,6H,6S,KD,win
8D,TS,7S,AH,KC,QC,win
6D,8H,TD,8D,6S,AH,loss
6S,8D,7D,9S,AS,QC,loss
AH,JH,7S,9C,JS,QH,win
JH,QS,TD,8D,KD,7D,loss
AD,JS,KH,8C,6S,QH,win
JH,TH,9D,JC,8C,6C,win
AC,QC,8H,9S,7H,QD,win
7S,6C,JH,KD,TC,7C,win
7S,JD,8C,JC,JH,6S,win
AD,JS,KC,6S,KD,QD,win
6S,QH,AS,9D,KH,JH,loss
7C,JH,JS,AS,7D,6S,loss
QC,JS,9D,QH,6S,6D,win
9S,JH,8H,6S,8C,6H,loss
JS,KC,TD,6C,TS,7S,win
QS,9C,AD,6C,8H,AC,loss
7D,9D,QD,TC,8C,6H,win
TC,6S,AH,9H,6D,6C,win
TH,JC,TS,QD,7C,AS,win
8H,QH,AD,6S,7C,KH,loss
QC,6S,8H,AC,6C,TS,win
AD,9S,JC,AH,6H,9D,win
QC,KC,7H,TC,TH,7C,loss
QD,AD,KD,6C,TH,AS,win
AC,9H,8H,9D,7D,QD,win
QS,JS,7H,7D,8S,QH,win
6H,9C,JS,AS,6C,AC,loss
6H,8S,7C,TC,TD,JH,loss
9D,TC,6S,9H,KH,8S,loss
JD,TH,AS,7H,QH,QD,loss
QS,KS,AH,AC,JD,6H,loss
9C,TC,6S,AS,JS,QD,loss
7S,8D,8S,9H,QD,TC,loss
9D,6S,TS,JH,8H,KS,loss
KH,8D,KS,JC,JH,AD,win
AD,KC,KH,7C,KD,7S,win
8S,TD,QH,KC,KH,9H,loss
8C,AD,TS,TC,KC,JH,loss
7S,TD,KD,QS,8C,QH,loss
6H,6S,JH,9D,KS,8H,loss
QC,TH,9C,TC,QD,AC,loss
KD,KH,TD,8H,7D,AD,win
QS,KD,8H,6D,8D,TS,loss
KS,7C,9H,QD,7S,9S,loss
9S,AC,QD,JS,QH,QS,loss
7D,KS,KH,6S,AH,KC,win
KH,JC,KC,AH,TC,AC,loss
JC,JS,AC,7S,KH,9C,win
TS,JC,QC,KS,8D,TC,loss
TH,6H,8C,7C,9H,TD,loss
TC,7S,6D,AH,9D,KS,loss
6C,AC,AS,QS,TS,TH,loss
7S,9S,7H,AD,KS,TD,win
TS,8S,JH,8D,6C,6H,loss
8D,9D,JD,8S,AH,AS,loss
6H,JS,7H,9H,AH,7D,loss
8D,QH,JD,QC,TD,9D,loss
KH,TC,TH,QD,QH,7H,loss
AD,KD,8C,TC,QH,QD,loss
9H,KD,KH,8D,KS,QC,win
9D,AS,KC,QC,9H,9C,win
7D,AS,7H,QS,9D,9S,win
AS,KD,TD,TH,7S,KH,win
QS,TH,7D,TS,9H,JS,loss
AS,AC,AH,6D,6C,7D,loss
JD,QH,7C,TS,9H,9C,loss
8H,7S,JD,7C,9S,KH,loss
JC,7S,7H,7D,KH,KS,loss
6H,7D,QD,JD,8D,8H,loss
QS,9S,6C,7D,8S,9C,loss
TH,9D,9H,KH,QH,7D,win
AS,TH,QH,JS,6S,QD,loss
9C,6H,KC,KS,8C,9H,win
JS,7H,QD,6H,8C,AH,loss
8D,JH,6C,QS,QD,9H,loss
KH,TS,JS,9D,JC,KD,win
8H,9D,8C,AS,8D,QH,win
7D,KH,6H,KS,8H,6C,loss
QH,JD,TD,TS,KS,8S,loss
AH,JH,AS,AD,AC,KH,win
KC,9C,AS,QD,9D,7D,win
KC,8D,AH,AC,QD,JC,loss
JH,9D,AS,6C,TC,6H,loss
8D,AD,AC,8C,QS,JC,loss
6C,8S,AD,TH,JS,KH,loss
8H,6H,8C,KC,TC,JD,loss
9H,TC,8S,JD,TD,8H,win
TS,8D,AD,QH,QD,KS,loss
JS,8S,9D,JC,AH,8C,loss
AH,8S,9H,8C,QH,KC,win
7H,AD,7S,9H,QH,TC,loss
7D,6S,6D,8H,QC,9D,loss
QS,KC,JS,KS,QD,AD,win
AC,JH,9C,KS,QD,QS,loss
JD,8D,7H,AS,6D,QC,win
KH,7H,7S,KD,QH,QC,win
6C,TD,TC,7C,KS,9S,win
TD,7C,TH,6D,8H,6H,win
AH,9C,8H,6D,TD,AC,win
8S,9H,AS,TD,7D,AD,win
QC,8C,JS,AH,6C,QS,win
KC,8C,AD,6C,QS,TC,win
QS,9C,8D,9H,KH,AC,win
9H,AC,AH,6S,AS,8D,win
6C,6D,JS,8D,TS,7D,loss
6H,9H,8C,AC,AD,QC,loss
7H,AH,6D,QH,7S,AC,win
AD,7S,8D,JC,KH,KS,loss
QC,AD,9C,TC,QH,JH,win
QH,KD,7H,KH,7C,TH,win
6C,7C,KC,9H,AD,TS,loss
JC,9C,7C,AC,6D,9S,loss
JD,KC,9H,8D,JH,9C,loss
QD,KD,6D,TS,KC,AD,loss
9C,JS,TC,QD,8S,8H,win
JH,6H,QH,KH,7C,AD,win
9H,7D,AS,9D,6D,TD,win
8H,AC,JH,TS,AS,7D,loss
6S,AS,8H,KD,7H,8D,loss
8C,JH,9C,JS,TC,JD,win
KS,9D,9H,7S,8D,JD,win
AC,6H,QD,AS,QC,JH,win
KS,6C,6S,JC,TS,AH,win
JD,8D,QH,KD,8S,6D,win
QH,9D,KD,8C,9H,6C,loss
QD,7D,6C,JH,9C,JS,loss
KC,8S,8C,AS,9D,7C,loss
9S,TH,JD,QC,JC,8H,loss
QD,6H,8C,7S,7D,JS,win
6H,KD,AD,7H,AS,AC,loss
9C,TS,KD,9S,QS,QH,loss
6S,AS,TH,7H,8S,AD,win
JD,JS,8D,TS,6S,AD,win
QD,9C,7D,KH,AD,JC,win
TD,QS,TH,6C,KH,KS,loss
QS,JS,9H,8H,TD,7D,loss
JS,6H,TS,KS,9S,JD,loss
JH,9C,JS,AD,6S,JC,win
QD,KC,AD,AC,9C,QH,loss
QC,8D,JS,8H,6D,KC,loss
QD,7H,JD,8D,JC,JH,loss
KD,8C,JS,KC,8S,AH,win
KD,8D,8C,6S,JC,KH,win
QD,JC,9H,JS,8S,KD,loss
AH,JC,9C,QS,9S,6H,loss
TH,7H,QH,KH,6S,KC,win
8D,QH,TD,6S,7S,AH,win
7S,KS,TH,6S,KD,AH,win
QS,TD,KS,QH,7S,6D,win
7D,6S,TH,JC,QS,9C,loss
AS,KH,QH,8S,7H,KC,win
8H,JC,AS,TC,QC,QS,win
9D,QH,8S,AH,AC,QS,win
8H,AS,9S,JC,8S,JH,loss
9C,QS,AC,8S,7H,9S,win
9D,8D,AH,6D,JC,7S,loss
AH,JS,TH,JH,7C,AS,loss
JC,8H,6D,KS,8D,TD,loss
9D,QC,JH,QS,KD,8D,win
KC,QS,QH,6H,8H,JC,loss
JS,8C,9S,8D,AD,KH,win
KH,6H,8H,6D,JC,QH,win
KS,TH,6H,7H,6D,7C,loss
KH,AH,9C,TH,7D,AS,win
AC,8C,8S,QS,7H,AH,loss
AC,TC,9H,KD,QH,QC,loss
9C,JC,AD,KS,QC,9S,loss
AH,KS,JC,QD,9C,QC,win
9D,8H,9H,QH,7D,KD,win
QC,6S,JS,TC,6H,7S,loss
7S,QH,AH,6C,QC,8S,loss
JS,TS,9C,AD,7C,KC,loss
KD,QD,9C,TD,JC,6C,loss
6D,AD,TH,JD,7C,9S,loss
6D,6H,8S,JD,6S,8H,loss
KD,9C,JC,8C,QC,7H,win
JD,AS,7H,QS,QD,6C,loss
8H,6H,9D,7C,9C,QH,loss
TC,AD,8C,9S,6C,QD,loss
7S,TS,KS,JC,AC,TH,loss
JH,8D,JC,9H,9C,AH,win
9D,KC,9H,8C,JC,AS,loss
8S,7D,TD,QS,8D,KD,loss
JD,7S,QS,AH,7D,AS,win
JH,JD,8H,JC,7S,6D,win
JD,TD,QD,6S,AS,6C,loss
6C,6S,6D,JS,QD,9H,win
TD,9H,KD,TH,7H,7C,win
QC,AC,KS,TC,6D,9D,loss
QS,AH,KH,7H,KD,JC,loss
9H,KC,AS,KS,JS,8C,loss
KD,QS,KS,JH,AC,KC,win
6H,TH,KS,JS,AS,JC,win
QH,8D,7S,QC,JS,7D,win
6H,KC,JH,TC,8C,JD,loss
TS,QH,AC,8C,7H,9H,loss
9C,6D,6S,8C,KS,QC,win
8C,AD,JD,8S,6S,JC,loss
8H,7D,JS,6H,6S,9S,loss
JD,KH,6D,JS,7S,8D,win
9S,QC,KC,7C,QH,JS,loss
7S,7C,JH,6D,JS,9D,loss
TS,9H,QC,9S,KD,8C,win
QD,JC,7S,JS,AD,QC,win
9S,KD,QD,8H,7S,JS,loss
JS,KS,6H,TC,9H,QC,win
7C,TD,7H,TS,9S,7D,win
9D,KD,JD,9S,AD,8S,win
6H,TC,7D,6C,KC,8S,loss
9H,6D,7S,KD,QC,9C,win
KD,8D,JC,AC,QC,JD,loss
TS,6C,AH,8S,7C,JD,loss
9S,AD,KH,6D,QC,6H,loss
KS,8H,TH,JD,QC,9S,loss
9D,8H,QD,TH,TC,6H,win
6C,8C,JS,QS,7C,8H,loss
TD,TH,8D,JH,8C,9H,win
AC,8S,QD,JD,9D,QC,loss
6C,8C,AC,7C,JS,6D,win
7S,8H,JC,AD,AC,7H,win
AC,TH,6C,JS,9D,KD,loss
6H,9S,8S,QC,TH,AC,loss
KC,JS,TC,KH,AS,AH,loss
TS,AS,KC,7C,7S,6H,loss
7S,KD,JC,7D,8D,KC,loss
6S,AC,KH,KC,6D,TD,loss
AH,8S,JD,9D,6C,7S,loss
9D,8C,8S,AS,JD,AC,loss
6D,8C,AD,6S,KH,AH,loss
6C,7C,TD,JD,6H,8S,loss
7C,7H,JS,JH,8D,8S,win
TC,QH,AS,8D,JH,KS,win
QD,8S,8H,TD,9H,6S,loss
6H,AS,TD,JC,QC,7D,loss
AS,JD,6D,JH,8D,QH,win
AD,8C,QH,9H,JD,JC,loss
TD,9D,7D,8H,AS,6S,win
KH,8D,KC,7D,AC,9S,win
7D,7H,6H,7C,TD,JD,win
KS,JC,7C,KD,TC,7D,win
TC,JS,TS,AC,9S,9H,win
8H,KS,JC,QD,AC,8S,win
8C,8S,QH,JD,TH,7S,win
AS,7D,6H,9S,KD,7S,win
AC,9D,9S,6D,6C,TH,loss
6D,6C,9S,8S,AD,7C,loss
JD,KH,9D,QS,6S,8C,win
7D,TD,6H,8H,KD,QS,loss
AH,TD,9C,KS,QS,AD,win
KD,TS,7C,6C,QD,9D,loss
AD,7D,7H,JD,8D,JC,win
8C,9D,KS,AH,AC,TS,win
QD,7S,7H,TD,KS,8H,loss
TH,7C,JC,6S,QH,TD,win
8D,8C,AS,6H,AC,JC,win
QC,KH,TD,KC,9S,AD,loss
6S,KD,7H,JH,KH,TH,loss
TH,AD,9D,7S,KS,8C,loss
KD,TD,8S,KH,7D,9C,win
6S,6C,TC,7H,QC,KH,loss
9H,9S,KS,AS,JS,TH,win
JH,TS,6S,9S,QC,KS,loss
JS,AS,7D,KS,TD,QH,win
7S,TD,7H,TH,AH,AC,loss
JH,KS,AS,9C,TS,7H,win
JS,7S,6S,QC,8D,AD,loss
QH,KH,9C,KC,6D,TH,win
6D,9S,6C,8C,8D,KH,loss
KD,7D,JD,KS,QC,JH,loss
8D,9D,TD,6D,AC,6H,loss
8D,9D,AD,7S,6S,9C,loss
JD,TD,8S,TH,JS,8C,win
KC,QD,6C,JC,8H,9H,loss
JH,KC,9C,8D,8H,7H,loss
KS,7S,9D,QH,JH,JS,loss
6D,8D,9S,8C,JS,JH,win
KS,TC,9S,AC,7D,JD,loss
7S,JS,QH,6H,6C,KH,loss
JH,AC,QD,TC,JS,8C,loss
9C,AS,9H,TC,QS,TD,win
JS,TS,TD,QS,QH,9C,loss
TD,JC,7C,9H,TC,KD,win
9D,JS,7C,9H,TC,6D,loss
7D,KS,7C,QS,8C,9S,loss
JC,JD,JS,AS,8H,AD,win
TC,7S,6H,7D,AD,8S,win
9H,6H,7C,6S,6D,9D,win
JS,7S,JD,TC,TD,TS,win
QD,QC,KH,6S,6C,8S,win
6C,7C,9H,JD,7S,AD,win
6D,9H,7D,KC,9S,AH,loss
9D,JC,7D,7S,KS,AC,loss
6C,6H,JS,KD,6S,QS,win
AH,KH,8D,AC,QH,7D,loss
JD,TS,8H,8D,TD,QC,loss
7D,AS,AD,6S,9C,JS,win
QS,QH,KC,KD,AC,6D,win
AC,KH,9D,QH,AS,6D,loss
AH,8C,7D,7C,6S,KH,loss
QC,JS,6D,TH,8C,TC,win
AS,KH,KD,QS,8S,AC,win
AS,7S,JD,9S,AD,7D,win
TC,JC,6C,QC,7D,TH,win
7C,TC,7S,KD,9S,TD,loss
9C,8C,8D,6S,6C,7C,win
KC,QD,KS,8D,AS,8S,win
TD,8S,9S,QS,9H,AH,win
9C,JH,AD,QC,KD,QH,win
6H,QD,8S,9H,KD,KH,loss
6C,KD,TC,7C,9H,AS,loss
9H,KC,JC,6D,QD,7D,loss
QC,TS,8D,9C,7H,8S,loss
9D,9C,JH,7S,6H,KD,loss
8D,7H,7S,6C,KD,8S,win
JS,KD,KH,7S,7D,JC,loss
QH,AD,9H,6H,6C,7C,loss
KS,JD,AS,TC,TH,7C,win
KC,9C,QD,7H,JS,TC,win
KS,JS,AS,8D,TS,TC,loss
AD,8C,TD,8S,7H,9C,loss
KD,JD,TD,9H,9D,7H,loss
7D,6D,7S,7H,KD,9D,win
KD,TS,QD,TD,8C,AH,win
KD,TC,TH,AD,AS,KC,loss
QS,8H,8S,AH,9D,9C,loss
7H,9D,JC,JD,QC,TH,loss
TH,6C,8S,TD,8D,QC,win
QC,9S,TD,JS,AH,7S,loss
JH,9H,8D,JC,QH,9D,win
9C,KC,7C,TD,KS,7D,loss
9D,8H,JH,QC,AC,7C,loss
7S,9D,8H,QC,JS,QS,win
AD,8D,KS,8S,7D,6C,loss
7C,QC,8C,AC,TH,6H,loss
8C,QH,8S,9S,6D,9D,loss
KC,TC,6C,KH,QH,8H,win
QD,8H,JS,AD,8S,7H,loss
QD,7C,QS,KC,9C,6S,win
AS,6S,KC,KH,8S,AH,win
8H,AD,9H,8C,7C,TS,loss
TD,6S,JS,KD,9D,QD,win
JH,6C,9S,KS,7H,AC,loss
8D,7S,JH,AH,9D,AD,loss
6D,7H,8D,QS,6C,JD,loss
6C,TC,QS,6S,7C,8H,win
JH,KD,JD,KS,9C,8S,win
9D,7C,QD,AC,JC,AD,loss
6H,6D,TS,TH,QD,AS,loss
QC,8C,AD,6C,QH,KH,loss
TC,TH,QS,AS,9D,6S,win
AS,9H,7H,KS,9S,KC,win
JH,TH,9C,6D,8H,KD,loss
8C,QH,KS,QD,6H,TC,win
TH,QD,AS,7H,KH,7S,win
6S,6H,8H,JD,JS,8C,loss
AD,7H,JD,9S,AH,KD,win
6C,7S,7H,AC,QS,TD,loss
JC,KH,9H,JS,6S,9S,win
QS,KH,6C,6D,AD,JH,win
7C,TS,9D,9H,QC,TC,loss
8C,8H,QC,8S,AD,KS,win
AC,JH,6C,TC,6D,QD,loss
TD,KH,KS,7H,8C,7S,loss
QD,7C,8H,TC,QC,AS,loss
8C,QC,QS,AS,8H,6C,win
JH,9D,AC,6H,QC,AS,loss
JS,6S,AS,7D,KS,TD,loss
TC,TS,7H,7C,TH,JH,win
9C,JD,AD,9S,TD,9D,win
QC,TC,TS,JC,AH,QS,loss
JC,TC,8H,JD,AC,9S,loss
8S,8D,9D,AH,QS,KC,loss
KD,6D,JH,QH,TH,7H,loss
9H,JH,AH,7D,KH,8S,win
QH,QS,TD,6C,7S,JD,loss
8D,8H,TD,7S,7C,TH,loss
JD,TC,9S,AS,6S,JH,win
8S,9H,TH,JC,QC,6D,loss
JH,QD,6S,QC,JC,6D,loss
7S,JC,8H,7C,6C,6D,win
9D,JS,AH,KS,7D,KC,win
7H,6H,8S,AD,KH,AS,loss
AH,JD,8C,KH,KD,QC,loss
KH,7S,8D,7H,AD,8C,loss
AH,AC,KH,QS,TS,JC,win
KH,9D,7H,6S,QD,TS,loss
8D,9C,AD,7C,8S,7H,win
6D,9H,8S,6C,9D,AC,loss
KD,9H,7C,6C,QH,KC,win
JD,AS,QD,9D,8C,9S,win
AD,9H,KC,QC,JD,6S,loss
KD,KS,JD,TD,8S,AD,win
9H,8H,JS,AS,TS,7S,win
7C,KH,KS,7H,6S,9H,loss
6C,6D,KH,TC,7D,6H,win
KS,KH,6H,AD,9S,AS,loss
QS,8H,TC,QC,JC,QD,win
7C,6D,8C,7S,KD,JD,loss
6S,JD,8C,6C,9H,AC,loss
AD,7H,9D,KH,8H,9C,loss
JS,9D,8C,9H,AC,KD,loss
JS,KC,TC,7H,8H,AH,loss
QS,7S,QD,TC,KC,JD,win
7D,JS,6D,QH,QD,6H,loss
KD,TS,TC,8S,KH,9D,win
TS,8D,AC,TC,KC,KS,win
KH,TH,9D,6H,TC,KD,win
8D,JC,KD,9S,8C,TH,win
9H,6C,8D,6H,KC,KD,loss
9C,8S,QD,KH,9D,KS,loss
JD,AH,9D,QD,TS,TC,loss
TS,8H,JH,AH,KS,AS,loss
AD,7C,AC,9C,7D,6S,win
TH,8S,AS,7S,6D,TS,loss
JC,9S,KS,9C,7S,8C,win
8H,6C,6H,AC,AD,8S,win
8S,JH,9S,8H,6H,9C,win
TD,6H,KH,7S,8D,KC,loss
TH,6S,TS,9H,QS,JS,win
9C,7C,TC,AD,9H,KS,win
6H,7S,JH,AS,KD,JD,loss
6D,TS,AD,KC,KH,8S,loss
QD,JH,KH,TC,6S,QH,win
8D,TD,7D,8C,AD,9D,win
8S,6C,JS,KC,6S,KS,win
9D,8H,9H,7S,6D,QH,win
6D,AD,JD,QC,KC,7D,loss
9C,KD,KC,7H,9S,KS,win
8S,8C,AC,KH,AD,7C,loss
AC,6S,9S,8D,TH,8S,loss
9H,8D,AH,7H,7C,JD,loss
TC,AS,8S,9D,AC,QH,win
KS,KC,AD,9D,AS,QS,loss
AC,6D,QD,JC,QH,7C,win
7S,7C,7D,QD,6C,KD,win
8H,QH,AH,9H,KC,7C,loss
7S,9H,JS,7H,KD,9C,loss
8H,6C,KH,JD,JS,TH,loss
KC,TS,KS,8H,TH,TC,win
9C,8C,6C,6H,AD,9D,win
8H,9D,TD,7D,8C,AS,loss
KS,7C,8D,QC,6D,AH,loss
7C,TC,6H,9S,AH,9C,loss
AD,6S,KH,TD,JH,9S,loss
8S,9C,JD,AC,KC,AS,win
8S,AH,KD,6H,QH,9D,loss
QS,7D,7C,QD,AS,QH,win
6H,7C,KC,QD,KS,QC,loss
AS,6D,7H,9S,QH,TS,loss
QH,JD,JC,9C,AD,QC,win
QD,TD,7H,6D,JC,AC,loss
9H,KC,AH,QS,8C,JC,win
6H,8C,JD,AD,KC,7D,loss
AH,AC,7H,8D,JH,QS,loss
KD,6D,JD,KS,9C,6H,win
AS,TH,JS,6C,TS,9S,win
QH,JH,JD,6H,AC,TS,loss
6S,QD,AC,AH,QC,QS,win
9S,6C,JS,9C,KH,8D,loss
JC,QC,7H,AH,9D,TC,win
JS,JH,7H,QC,9H,8S,loss
6H,JC,6D,QS,KD,7S,loss
7D,7H,QD,TC,KD,6H,win
7S,JD,8H,6H,9H,TC,win
9C,8S,TS,7C,9H,KH,loss
QS,6C,9C,7C,QH,AC,win
9H,QH,9C,7D,9D,JC,win
KD,JD,7S,7H,KC,7D,win
TD,6D,8C,TH,AC,AS,win
8D,6S,7C,AD,8C,7H,loss
KH,9H,8H,QH,6C,QD,loss
AD,JS,TS,6C,9C,8C,loss
AC,KD,8H,8D,AD,TC,win
7S,9D,JH,8C,8S,9C,loss
6S,AC,TD,QH,7D,JD,loss
TD,8H,JH,9S,9D,QS,win
6S,QD,9H,JS,8S,9D,win
KC,9S,AH,9H,KS,AS,win
7C,8S,8D,JC,AD,6H,win
JH,AH,8H,AS,JC,7C,win
7S,JD,8D,7D,KC,7H,win
KC,KS,8S,8C,QS,TD,loss
KD,TH,AD,QC,AS,8H,win
9D,8C,8H,TH,QD,QS,loss
6D,AH,AC,AD,6H,JH,win
8C,AC,7C,9H,KS,9C,loss
6H,AD,KS,KD,8C,JS,win
7C,JS,AD,7S,6C,8S,win
JH,KH,TC,6D,TH,6S,loss
JS,6D,6C,AD,7H,TD,loss
9H,KH,TS,AC,9D,KD,win
9H,AD,JD,6H,7C,7S,loss
TC,AD,7S,AS,JD,KC,win
9C,7D,QH,7C,7H,QC,win
AC,7H,JH,8S,AS,6S,win
AH,TD,JC,QH,6D,8H,loss
TS,6D,KD,AH,TC,9D,loss
TD,6C,JH,9H,8S,AH,loss
9H,7C,QH,KD,JS,6S,loss
7D,KD,JD,QH,JC,QC,loss
9S,KD,9H,TS,8H,9C,win
7S,QC,KS,KD,TD,JD,loss
TH,AD,7S,QH,JS,7H,loss
9C,JC,TH,9D,JD,QH,win
QC,7H,JH,KC,8S,TH,loss
AD,QD,QC,7D,TD,KS,win
9C,KC,AD,JD,JH,8H,loss
TH,JC,QH,KS,6D,9D,win
6S,QS,8D,9C,TC,9S,win
8H,7D,8C,6S,JH,KS,win
9D,KD,6S,7H,AD,KH,win
KD,8C,7S,AC,6D,8H,loss
JH,QS,8S,6S,9D,8D,loss
QH,7C,8H,JH,KH,KS,loss
JC,7S,TD,7D,7H,KS,win
AC,9H,QH,JD,9C,KS,win
9H,AH,7S,8H,8S,6S,loss
KD,TC,9C,JD,TS,8H,win
QS,7C,9C,TS,6C,JS,loss
