card1,card2,card3,card4,card5,card6,result
QD,JS,AH,9D,KC,AS,loss
6S,8H,7D,9D,8S,9C,loss
6H,9D,7S,QH,6S,QC,win
QH,TD,QC,7H,QS,6D,win
TD,6S,AC,7C,TC,QD,loss
8D,AS,KC,9H,6H,TC,loss
JH,AD,9D,QH,9C,AC,loss
JC,JH,6H,TC,9H,TH,loss
TD,TS,AH,9S,QC,JH,win
7D,AC,AS,6C,QH,KS,loss
TH,JD,KS,8S,QC,6H,loss
QS,TH,JC,TC,QC,7D,win
TH,QS,JS,KS,7S,KH,win
7C,7H,8C,KD,QD,6C,loss
8H,7H,JC,QD,KC,TH,loss
6S,TS,6C,JD,6D,JH,loss
7C,9D,AS,JS,8C,AC,win
AD,TH,8H,QS,JS,8C,loss
9C,7C,QC,QD,TD,TH,loss
QS,AD,8S,6S,7C,7H,loss
QH,9S,7C,TC,8D,KS,loss
6C,9S,KS,TD,JC,AS,loss
8H,6H,9S,KC,TD,7D,loss
8H,JH,7C,6C,AD,9S,win
8H,6H,QD,TC,7D,6D,win
9D,QC,KH,9S,QH,QD,win
QH,JC,7D,KC,JS,QD,loss
AC,AS,8S,8D,6S,7S,win
9H,TC,6H,JH,9D,7C,win
6D,8C,7D,AC,9H,6H,loss
KH,9D,AH,6C,QD,QH,loss
AC,7D,8C,7H,JH,KH,loss
9D,6H,9C,AS,TC,6S,loss
JH,6C,7H,9C,9H,TC,loss
TS,AH,9D,6D,KS,KD,loss
QS,9H,JH,KH,6C,8C,loss
6C,TS,QS,6H,QD,9C,loss
QC,TD,AC,JH,JS,KC,win
7S,QH,TC,AS,7H,TS,loss
9H,KC,JD,JS,7C,6C,win
KH,7C,9D,6S,TD,KC,win
TS,7H,9H,9S,6C,8S,win
9C,QD,QC,7S,6S,TC,win
AH,9C,8S,TS,QC,9H,win
TD,AS,KD,AD,8D,7D,win
AH,TC,8H,KD,QC,7D,loss
TS,AD,6D,JH,JC,9H,loss
7H,KD,7S,KS,8S,TH,win
KC,QC,JS,JH,QS,9S,win
QH,AH,KH,8H,6C,QD,loss
JD,AS,TH,7D,TS,TC,loss
AC,KS,QS,6D,TD,7S,loss
9S,QH,9C,KD,QD,8H,win
8C,7S,9S,AH,TS,6D,win
JS,7C,8D,KS,KD,TS,loss
TD,TH,KC,7S,6H,AH,loss
9S,9H,TH,QH,8S,AH,loss
7S,TD,7D,AS,7H,6D,win
9S,KH,KD,TS,7D,8C,loss
AD,8S,JH,TD,8D,9S,win
AC,QD,QH,8H,TH,TS,win
8C,KH,6S,9D,JS,QC,win
AH,TD,AC,7H,QH,JS,win
JS,TD,AD,7H,JC,KC,win
JH,KS,QH,6S,7C,JC,win
KD,9S,TS,7D,KH,QD,win
8C,7D,7S,QC,6D,JH,win
KS,6H,TH,JC,7C,8D,loss
6C,QH,9H,8C,KC,KD,loss
KS,KD,8C,7H,6C,JS,win
6C,7C,7D,9D,JD,QH,loss
9C,QD,QH,9D,QS,7S,win
9C,JS,6D,AH,JH,TH,win
TS,7H,6C,TH,KH,JD,win
9S,TH,AD,QD,8D,QC,loss
9H,KD,AS,9S,6D,6S,win
8S,9S,8C,JC,KH,TS,loss
QH,QD,8H,AD,TC,7C,loss
TD,AD,QS,JS,7H,KH,loss
7C,8D,8H,6H,JH,QC,win
6S,TD,TS,KS,QS,AS,win
JC,7H,JH,KD,AC,JS,win
AH,9H,AS,KS,TS,9S,loss
JH,TS,KS,9S,7H,AH,win
8C,6C,7H,6D,9H,TS,loss
JS,KD,6C,9H,TC,JD,win
AD,QD,6H,6D,KS,7S,loss
9S,QH,6H,AS,KH,7H,win
9C,JS,8D,QS,8H,TH,win
AD,QS,8C,QH,AH,KC,win
8H,KD,KC,6C,JD,TD,win
7H,6C,6D,6H,AH,QS,win
JH,8S,TC,TH,KD,AS,loss
AH,8C,KC,6S,7S,KH,win
7S,KC,TC,8S,JD,JH,loss
TC,AS,7D,KS,AD,6H,win
KS,AD,7C,6D,9C,JC,loss
TD,JH,JC,KC,8D,QH,loss
6C,AH,TC,QD,8D,9S,win
