card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
KC,7S,TD,JS,8C,7H,c,c,c,win
8H,KC,9S,8D,JS,AD,c,r,r,loss
JH,JC,KH,AH,KC,7D,c,r,r,win
JD,6D,6S,6H,9C,KD,c,r,r,win
9H,8C,8S,9C,6C,JC,r,c,r,win
6D,KC,9D,KH,8H,6C,c,c,c,win
8H,AD,7D,JS,9S,9H,c,r,r,loss
QH,6H,8H,6C,TD,7H,r,c,c,loss
QC,AH,6C,9C,9S,KD,c,r,r,win
TH,9H,KH,KC,KD,7D,r,r,r,loss
6D,AD,TS,JD,JC,9D,c,r,r,win
KD,9S,KC,8D,6H,AC,r,c,r,win
7H,JD,KS,9S,TH,7D,c,c,c,loss
6C,6H,8H,AS,KD,TS,c,r,r,loss
QD,QC,QS,KC,9C,TD,c,c,r,win
AC,QS,8D,9H,8H,6H,c,r,r,loss
7S,9H,7D,9C,QH,QS,c,c,r,win
6D,TS,9S,8D,JS,QD,r,c,c,win
9S,7D,AC,QC,7C,JD,c,r,r,loss
QH,9C,TH,8D,6H,KH,c,r,r,loss
QH,JS,TC,TH,JH,AS,c,r,r,win
AH,7S,8S,TD,JC,6D,c,r,r,loss
QD,7H,TD,8C,8H,JC,c,r,r,loss
6C,AH,AD,7S,6S,QS,c,c,r,loss
6H,6C,KD,QD,TC,QS,r,r,r,loss
7S,JS,JC,TS,9H,8D,c,r,r,win
TH,AC,AD,8C,7S,QS,c,c,r,loss
9S,KD,6S,9D,AD,9H,c,r,r,win
8S,KD,9C,QD,6C,KS,c,r,r,loss
7D,8H,QH,9D,AS,7H,r,r,r,win
AD,KH,6S,8H,KS,QS,c,c,c,win
JD,QD,TC,8D,8H,JC,r,r,r,win
AS,JD,8H,TS,KC,KD,c,r,r,win
TD,AS,KD,7C,AH,JS,c,r,r,win
8C,9C,AH,QC,QS,AD,c,r,r,loss
JS,KS,QH,QD,6D,7C,c,r,r,loss
QH,QD,7S,7C,9D,KS,c,r,r,loss
7S,6H,AD,8C,JS,AH,c,c,r,win
KH,7C,AS,KD,KC,7D,c,r,r,win
8C,QC,JH,KD,8H,9H,c,c,c,win
8C,QH,KC,7S,QD,JD,c,c,c,loss
9S,7H,7D,6H,KD,9D,c,c,c,win
9C,JS,9H,8C,QD,8H,c,r,r,win
KD,8C,8H,7S,7H,QD,r,r,r,win
8H,JS,AC,QC,JD,8D,c,r,r,win
KD,QC,QS,JC,8C,7C,c,c,c,loss
9D,KC,QH,7S,JS,7H,r,r,r,win
KS,JD,9C,KH,9H,QD,c,r,r,win
6D,TS,6H,8C,JH,9D,c,c,c,win
JC,TH,KC,QH,9H,TC,c,r,r,win
7H,TC,QD,QC,9H,JH,c,r,r,loss
7S,KC,JS,8C,KS,AD,c,r,r,win
QH,7D,8D,8H,7H,QC,c,r,r,win
7C,9D,TC,QH,JS,6D,c,c,c,loss
KC,KD,9S,QS,JS,6S,c,c,c,loss
7D,8D,AD,TC,7H,AH,c,r,r,loss
8C,8H,9H,7D,AD,JS,c,c,r,loss
AC,6D,7H,AH,9S,8C,r,r,r,loss
JD,7D,6S,JS,9H,TS,c,c,r,loss
JS,TS,8S,KD,QC,8H,c,c,r,win
8D,QC,TD,7C,9S,9D,c,r,r,loss
8S,7S,8H,AC,JD,JS,c,r,r,loss
AD,6C,KH,QD,8S,8C,c,c,r,win
KC,QS,8H,KD,9D,QD,r,c,c,win
7H,8C,QD,9D,6H,9C,r,r,r,loss
QC,6D,8D,AS,6C,QS,r,r,r,win
9H,QS,9D,7D,KH,QH,r,c,r,win
KH,AH,6C,JS,QC,KS,c,r,r,win
TD,9D,TS,7S,QH,KC,c,c,c,win
JH,9H,AD,9C,JD,AH,c,c,r,win
TC,KH,7S,QC,AS,JS,c,c,c,win
9S,JS,9H,AD,QD,7D,c,r,r,loss
QC,8C,JH,JC,KH,9C,r,r,r,loss
6C,7C,7H,9H,JH,AD,c,c,c,win
7D,8S,KC,KS,QS,TS,c,r,r,loss
KC,7S,7H,QD,JD,KD,c,r,r,win
AS,TS,9D,AH,8C,6H,c,c,r,win
QC,JS,TH,AC,7D,9C,c,r,r,win
KH,AH,8C,JC,QC,7S,c,r,r,loss
7S,KS,6D,9H,QH,8D,c,c,r,loss
AD,8D,QD,6D,8H,7H,c,c,c,win
8H,9S,KH,JD,8S,JC,r,r,r,loss
JS,TD,KH,8C,AC,QH,c,r,r,win
AH,7S,TS,KD,JC,8D,c,r,r,loss
6S,6D,8D,TH,QD,8S,r,c,r,loss
KD,9D,TS,AS,TD,QH,r,r,r,loss
JS,QH,JH,8C,AC,7H,r,c,c,win
QD,AS,JD,7D,7H,KS,c,r,r,loss
QS,QC,6H,QD,KS,JH,r,r,r,win
TD,KS,QH,JD,AD,7S,c,r,r,win
QH,7S,QD,9S,8D,9H,c,r,r,win
QS,KC,TS,KH,AS,6S,c,r,r,win
TD,JS,7D,7C,8H,6H,r,r,r,loss
9S,TS,KH,7H,9D,TC,c,r,r,win
JD,KS,KC,8D,9S,QD,c,c,c,loss
TC,AC,AS,8C,JS,KD,c,r,r,win
8S,TS,JD,TD,KD,7H,r,r,r,loss
7D,JH,KD,8D,QC,AH,r,c,r,loss
6S,JH,KD,7S,JS,KH,c,c,r,win
