card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
TS,7C,8H,9H,7D,QC,c,c,c,win
7S,TD,6H,QS,6S,JC,c,r,r,loss
6C,JS,7S,JD,QC,9C,c,c,c,loss
6S,KD,AH,AC,7D,KC,c,r,r,loss
QS,6C,8D,8H,8C,QC,c,r,r,loss
9C,9H,7D,AS,KD,7S,r,r,r,loss
QD,QC,6H,7D,JC,9C,c,r,r,loss
9S,TC,QD,KC,6D,QH,r,r,r,loss
TH,6C,6S,KC,AD,QH,c,c,c,loss
QD,JD,TH,8H,6H,QS,c,r,r,loss
6C,KH,8S,KC,TC,8C,c,r,r,win
JH,6C,8D,QD,JD,6S,r,r,r,win
7D,JS,6S,AC,AH,JD,c,r,r,win
9D,KC,AD,JH,7C,QH,c,c,r,loss
JD,TD,AC,KS,8D,9C,c,r,r,loss
JC,TS,AC,6C,8S,TD,c,r,r,loss
AH,AD,AC,QS,6H,KD,c,r,r,win
KD,6C,9D,9H,TD,8S,c,r,r,win
7D,7C,8C,8D,JC,JS,r,r,r,loss
QC,TH,TC,JH,9H,JC,r,r,r,loss
6S,TS,6H,9H,AS,KS,c,r,r,loss
QS,AD,QH,KD,6C,AH,c,r,r,loss
JD,8D,AD,TS,AC,6S,c,r,r,loss
8C,6D,TS,QS,8H,TC,r,r,r,loss
JD,JS,QH,KD,AC,QC,c,r,r,loss
TC,6H,AD,6S,KC,KH,c,r,r,loss
KD,7S,9S,QS,AS,8S,c,c,c,win
AS,6H,9C,KD,6D,QD,c,c,r,loss
TH,TD,QS,QH,8S,TC,c,r,r,win
QH,AD,AC,JD,7C,TH,c,r,r,loss
AS,TC,JC,KC,QD,9H,c,r,r,win
KC,JC,AS,9D,AH,6S,c,r,r,loss
8H,7D,6C,TD,9S,AH,r,c,c,loss
KS,QD,AD,9S,9H,KH,r,r,r,win
TC,6C,8H,JC,QC,TD,c,r,r,win
JC,QH,AH,QD,9D,KC,c,r,r,loss
AH,8S,9S,AD,JD,KS,c,r,r,loss
AC,7S,JH,AS,QH,AD,c,r,r,win
6D,TS,JH,AH,QC,KH,c,r,r,loss
8D,QH,6H,JS,QC,KH,c,c,r,win
TS,9H,9D,JS,6S,6D,r,r,r,loss
JD,9H,JH,6D,9S,9D,c,r,r,win
TD,TH,9C,AC,7H,KD,c,c,c,win
TS,9S,6C,7S,QH,JS,r,r,r,win
8H,TH,6S,JS,AH,TC,c,r,r,loss
AD,6S,TC,6D,TH,8D,c,r,r,loss
AS,8D,KD,9H,AC,QC,c,r,r,win
AH,9S,9D,7D,9H,QC,r,r,r,win
JD,JC,AC,8D,9C,JS,c,c,c,win
AC,JH,TD,6H,JD,KD,c,c,c,win
AD,6S,8C,KD,QS,QC,r,r,r,loss
9C,7D,QC,TC,AS,KD,c,r,r,loss
7C,JC,JH,AS,6D,JD,c,c,r,win
9C,AD,9H,7H,JD,8S,c,r,r,win
AD,JC,9H,AH,8C,7D,c,r,r,win
8S,8D,7C,QD,7H,8H,c,r,r,win
QS,7H,6H,9S,JC,AH,r,c,c,win
KC,JH,8D,AH,9D,7D,c,r,r,win
7C,9C,KH,TS,JS,6D,c,r,r,loss
JH,TS,TD,KH,KC,AS,c,r,r,win
7D,KD,9C,7C,6D,9S,c,c,r,win
8S,QD,TS,KD,AD,6S,c,r,r,loss
AH,6S,9C,QS,JS,8C,c,c,r,loss
KC,7D,6C,7H,TH,QS,c,r,r,loss
7D,QS,JD,JS,7C,QD,c,r,r,loss
6D,JS,9C,8C,JH,KD,c,c,c,loss
AS,7C,8D,QC,9S,9D,c,c,r,win
9C,9D,AD,AC,6D,KS,c,r,r,win
6C,JD,QH,6H,QD,KS,r,r,r,loss
QC,JC,8H,8S,7D,AH,c,r,r,loss
9H,JD,QH,QD,8D,TH,c,r,r,loss
6H,8S,KS,QD,9S,KD,c,c,r,loss
KH,JC,QC,AC,6D,KD,c,c,c,win
QC,KS,TC,8S,JS,JH,c,r,r,loss
KH,6C,JH,9H,TC,QD,c,r,r,win
TC,JH,6S,6C,AS,TH,c,r,r,loss
TH,QD,AS,8D,TC,KH,c,r,r,win
8D,KS,TS,6H,AD,8H,c,c,c,win
KH,JD,QS,TS,JS,JH,c,r,r,win
8H,TS,AC,7H,JS,8S,c,r,r,loss
TC,7D,TS,JC,6C,JH,r,r,r,win
TD,TC,QD,KC,QS,AD,r,r,r,win
9D,TH,9H,AS,7S,8S,c,c,c,win
TC,QS,KC,JC,JD,8H,r,r,r,loss
QH,7C,JC,8S,9C,6D,c,r,r,loss
QS,8H,AS,7H,6S,8C,c,c,r,loss
6H,AC,TS,7S,7C,6C,r,r,r,win
KH,6D,KS,AH,QD,8S,c,r,r,loss
JS,6C,8H,QH,TS,TH,r,r,r,loss
QH,6C,TS,9C,8C,QD,c,r,r,win
TD,JH,6H,7D,QH,JS,c,r,r,win
JC,KC,AS,9S,QC,QD,r,r,r,loss
QC,QS,8C,9C,6C,KD,c,r,r,loss
AS,KC,JC,KD,JH,KH,c,r,r,win
KC,9C,QH,7C,JH,6D,r,r,r,loss
7H,QD,KH,7S,9D,8D,c,r,r,loss
6C,8D,QC,TC,7C,TD,r,r,r,loss
QD,8S,AD,8C,JS,KS,c,r,r,loss
TC,QH,8H,AD,JD,7S,c,r,r,win
9C,TS,6C,6S,KD,JC,r,r,r,loss
7C,TD,6S,7D,KD,6C,c,c,r,loss
AC,TD,6D,AS,8C,7H,c,r,r,win
QS,JH,JS,KC,TD,6H,c,c,c,win
6H,6D,JC,6S,AS,TD,c,r,r,win
KS,TD,6D,TC,9H,AH,c,r,r,win
AD,KS,QC,7S,6D,AC,c,c,c,win
QH,KH,TH,7H,JC,JS,c,c,r,win
KC,TC,JH,AC,7C,6S,c,c,r,loss
JC,AH,TH,KD,7S,8D,c,r,r,loss
JS,KC,KH,AD,6H,7H,c,c,c,win
8S,JC,KS,TC,9D,6H,c,r,r,win
9S,7S,KD,9C,AS,8C,c,c,r,loss
KC,8H,6H,8D,JS,9D,c,c,c,win
JS,TD,QD,7C,9S,JC,c,c,r,win
9S,KC,JC,6S,JD,TC,r,r,r,loss
9S,TD,6C,KH,9D,AD,r,c,r,loss
8D,JD,7S,AC,6S,KH,c,r,r,loss
9C,AC,9H,AD,JH,KH,c,c,c,win
JS,9C,AC,TH,9D,TS,r,r,r,loss
8S,QS,7C,7S,KC,TD,c,r,r,win
TC,7H,8H,AD,8D,KD,c,r,r,loss
7H,KC,JD,8D,8C,AC,r,r,r,loss
JS,KS,AH,KH,6C,8D,c,r,r,win
6C,6H,TC,TD,7H,7D,c,r,r,loss
7D,9D,JC,6S,QH,8C,c,r,r,loss
8C,JD,KS,6C,7H,AH,c,c,c,win
AH,8S,AS,7H,QS,TS,c,r,r,loss
AS,6S,8H,AH,9H,QS,c,c,r,loss
QD,KH,TC,JC,9D,JS,c,r,r,win
KD,6H,JH,6C,AD,QH,c,c,r,loss
8H,JH,QD,7D,QS,9C,r,r,r,loss
6D,TC,AH,QD,QS,9S,c,r,r,loss
6C,KH,9D,JS,QD,TC,c,r,r,win
8D,8H,6H,TS,JD,KH,c,r,r,loss
7S,7D,KD,7C,AD,9H,c,r,r,win
8D,8C,KS,AD,TC,QS,c,r,r,loss
6H,KD,6D,JC,7D,7C,c,c,r,win
6C,8S,7H,8C,QH,QS,c,r,r,loss
TS,9D,QC,QH,6H,8C,c,r,r,loss
JC,JH,TD,7C,KC,AD,c,r,r,win
8S,AC,7D,9C,QH,KC,c,r,r,loss
6C,QH,KC,TD,8C,9H,r,r,r,loss
9S,TS,QD,JC,8S,KC,c,c,c,win
TC,KS,KH,6S,8S,TS,c,c,c,win
KC,6S,8H,KD,JH,AC,c,r,r,win
AS,8H,6C,AD,JS,9D,c,c,c,loss
QD,7H,TH,AD,8H,7S,c,r,r,loss
7D,AS,9D,7S,8D,KC,c,r,r,loss
TS,8C,8D,KH,7D,QH,c,c,c,win
7C,6D,TC,KC,9D,6S,r,r,r,loss
6H,8H,7C,7H,8D,9C,r,r,r,loss
AD,KS,TS,9S,9C,KC,c,r,r,loss
AH,9S,8S,AC,QC,8H,r,r,r,loss
AD,8C,9S,TS,6H,7H,r,c,c,win
7C,8S,KC,AS,9D,AH,c,c,r,win
QS,7D,AC,JS,JC,8H,c,r,r,loss
AC,AS,TH,QS,7D,7H,c,c,r,win
AC,8D,9D,8S,9C,TS,r,r,r,win
AC,KS,9C,QS,7C,8H,c,r,r,loss
6S,7C,8H,TS,8S,AH,r,r,r,loss
AH,AC,8S,JD,QS,8C,c,r,r,loss
8C,QD,JD,AS,9D,8H,c,r,r,loss
9H,TD,TS,QD,9C,6D,c,c,c,win
KC,9S,AH,AD,7H,TS,c,r,r,loss
8H,8C,JS,AS,QD,8D,c,r,r,win
7D,9D,7H,8C,KH,7S,c,c,r,win
AD,JD,8S,7D,6H,QS,r,r,r,win
KH,7H,9H,AC,6H,TD,c,r,r,win
JC,9H,6H,9S,KS,QD,c,r,r,win
JC,9D,6D,9C,TH,8H,r,r,r,win
KC,7H,8S,7D,AC,9C,c,r,r,loss
8H,AS,9S,JD,7S,JS,c,r,r,loss
JH,8C,QS,7D,8S,6C,c,r,r,win
9C,8D,9H,7C,KS,TS,c,r,r,win
JH,QD,JD,8H,8C,7D,r,r,r,win
7D,KH,9C,KD,9D,7H,c,r,r,win
6D,7C,6H,8H,JD,6S,c,r,r,win
6S,JS,9C,JC,KH,6H,c,r,r,win
JS,TD,8C,QS,7D,JC,c,c,c,win
9C,AS,KS,TC,6C,QC,c,r,r,loss
AC,AD,9H,QD,QS,JC,c,r,r,loss
AH,9S,QS,6C,TH,KH,r,r,r,win
8H,9H,QH,8S,TD,6C,c,r,r,loss
8D,8C,TH,AH,KH,6S,c,c,r,win
JS,KC,9H,KS,QH,8S,c,r,r,win
8C,JH,8S,QS,JC,7D,r,r,r,loss
7H,7S,JD,8D,TC,TD,c,r,r,loss
9S,AH,AD,KC,KH,9C,c,r,r,loss
QC,AS,AD,QH,7H,8C,r,r,r,win
8D,6C,AH,TH,6D,AD,c,c,r,win
9H,8S,AH,TD,7H,7S,c,c,r,win
9D,QH,6S,QS,TS,TC,c,c,r,win
TD,6D,6C,QH,JH,AH,c,r,r,win
JD,6H,7C,9D,9H,KC,r,r,r,loss
8D,7H,AD,TS,8S,6S,c,c,c,win
6S,6H,JS,9H,QH,8D,c,r,r,loss
JD,6D,7D,TH,AD,QC,r,r,r,loss
TH,8C,7H,6D,9D,AC,r,c,c,win
TD,7C,TH,KC,9H,9D,c,c,r,win
AS,7C,8H,JS,7H,9C,c,c,r,loss
TC,8C,8D,QH,QC,9D,c,r,r,loss
QH,AD,KC,AC,JH,AS,c,r,r,win
QS,AD,8C,AH,JH,7H,c,c,r,win
6H,QH,KH,QS,9D,8H,c,r,r,win
7S,QC,9D,6S,7H,8H,c,r,r,loss
9S,8C,AH,JD,9C,AC,c,c,r,win
TS,7C,6H,9C,9D,7H,c,r,r,win
QC,QH,6H,TD,8D,TS,r,c,r,win
8C,6H,AS,8S,7H,JS,c,c,c,win
8D,9C,TC,6D,KD,AH,c,r,r,loss
AC,9S,6S,JD,JS,KC,c,r,r,win
QD,JC,AD,6H,KS,JD,c,r,r,loss
6S,JH,9H,QC,JS,9S,c,r,r,loss
TC,JC,TD,6H,8H,KD,c,r,r,loss
7C,KC,QH,8S,TD,7S,c,r,r,loss
QC,KH,QD,9D,7C,AH,c,c,c,win
KH,TC,9D,8S,9H,QH,c,r,r,win
9S,8C,6H,7S,6D,JD,c,r,r,loss
QD,KC,9C,6D,7C,8D,r,r,r,loss
QH,TD,KH,8C,AH,8H,c,r,r,loss
JC,6D,KH,QH,8D,TC,r,r,r,loss
AD,AS,TD,AH,JD,KS,c,c,r,win
6H,9H,JH,KC,KH,9D,c,r,r,win
JH,6S,6H,8S,8C,QS,c,r,r,loss
JS,QS,6D,AC,AH,7C,c,r,r,loss
JS,AD,8S,8D,9C,6D,r,r,r,loss
TS,9S,AS,QC,JH,7H,c,c,r,win
AC,7D,JD,KD,8H,KS,r,r,r,loss
6H,TS,8D,TC,9S,8S,c,c,r,loss
TC,7D,9C,KS,AS,9D,c,r,r,loss
JS,6S,9S,QD,6C,8H,c,c,r,loss
KH,JH,7S,TC,QH,AS,c,r,r,win
AS,KD,8C,6H,9C,9H,c,r,r,loss
AS,8D,JD,AD,9D,8S,c,r,r,loss
9D,8S,9S,KC,6C,9C,c,c,r,win
8H,6S,AC,7S,JD,TD,r,r,r,loss
6H,AD,7S,7H,TH,QH,c,r,r,loss
7D,JC,KD,TH,QC,6C,c,r,r,loss
AS,KH,6C,KC,QD,TD,c,r,r,loss
8S,9S,7H,KC,6H,QS,c,r,r,loss
JC,TD,KS,8D,6D,7S,c,r,r,loss
JS,6H,9S,8H,JH,KS,c,r,r,loss
JD,9D,AC,6H,8D,6D,c,r,r,loss
6C,7D,KD,8S,7C,9H,c,r,r,loss
8H,KD,TH,8S,9C,QD,c,c,c,loss
7D,8D,AS,AC,KH,TH,r,r,r,loss
QC,8S,8H,QD,7H,TS,r,c,c,win
TD,AC,KH,JD,KS,7S,c,r,r,loss
QH,8S,7H,JD,KS,8H,r,r,r,loss
JD,TH,6C,JC,AC,9D,r,r,r,loss
7D,KD,8C,JS,AD,TC,c,r,r,loss
TC,AH,QS,8C,7S,KD,c,c,r,loss
8H,AH,TH,9D,9C,JS,r,r,r,loss
JC,6C,TS,JH,KD,KS,c,c,r,loss
7D,9C,9S,JD,9D,8H,r,r,r,win
KS,JC,QD,7C,6H,AC,c,r,r,loss
AD,9D,JH,TD,7C,9S,r,c,r,loss
KS,6D,TS,7D,JH,6S,c,r,r,loss
JD,8C,TD,7H,6D,AD,r,c,r,win
TC,9D,QS,6D,8S,8H,r,r,r,loss
6D,9H,7C,9S,6S,KH,c,c,c,win
KC,KH,TS,JS,7H,6S,r,r,r,win
6C,QC,TD,AS,QS,9D,c,c,c,loss
AD,9C,AC,6C,9H,6S,c,c,r,loss
TH,TD,JC,AH,7C,9C,r,r,r,win
QH,6C,7C,8H,9C,KD,c,r,r,win
7D,TS,QH,QD,JH,7C,r,r,r,win
AC,9C,QD,9S,AS,AH,c,c,r,win
TC,QD,JC,QS,TH,AD,c,r,r,win
AH,6C,KD,6S,8H,7S,r,c,c,win
7D,QC,9D,KC,JC,QD,c,r,r,win
8H,8C,AS,AC,QD,7H,c,r,r,loss
9C,AH,AS,7C,9H,AD,c,c,r,win
JH,KC,JC,7S,8D,QH,c,r,r,win
JH,7S,QD,KD,QS,TH,c,r,r,win
7H,QH,6S,KC,7S,KD,r,r,r,loss
JH,JD,QD,6D,AH,KC,c,r,r,win
QS,KH,6C,KD,6H,TH,r,r,r,win
AH,9D,8H,JS,7H,6S,c,c,c,loss
8D,TD,JD,TH,9H,QD,r,r,r,loss
9D,7D,TH,TD,7C,AH,c,r,r,loss
9H,8H,QC,7H,8C,KS,c,r,r,loss
7C,JS,8D,7H,TC,JH,c,r,r,win
QH,QS,JH,JS,TD,6D,c,r,r,loss
KD,JC,TS,QS,QC,AC,r,r,r,loss
KS,KH,QC,7C,9H,7S,c,r,r,loss
6D,KH,JS,TH,QS,6H,c,r,r,loss
8D,6D,JH,7S,JD,9C,c,r,r,loss
6D,8S,8D,8H,QH,KH,c,r,r,loss
6S,TD,TH,7D,QC,TC,c,r,r,win
TC,6H,TH,6D,8C,AD,c,c,c,win
7S,6C,6S,8C,TD,QD,c,r,r,win
8D,8H,JS,KC,7H,QS,c,r,r,win
9C,TD,JS,9D,8D,QH,c,r,r,loss
6C,QS,KS,7C,QC,8H,c,r,r,win
TD,9H,6S,KC,JD,JH,c,c,r,win
AD,QH,TS,9H,TD,TC,c,r,r,win
KS,8S,TS,6H,TH,6S,c,r,r,loss
QC,7D,TC,9H,AS,JD,c,c,r,loss
9H,KS,7D,7S,TD,TS,c,r,r,loss
JD,8H,JS,AS,AD,TS,c,r,r,win
AD,9S,8H,QC,8S,KD,c,r,r,loss
7H,8S,QS,9H,9S,6S,r,r,r,loss
KD,AD,QD,6C,9D,QH,c,r,r,win
6H,8S,9H,KC,TH,QH,c,c,r,loss
8S,KD,7D,9D,QD,JD,c,c,r,win
6H,6C,QC,KS,8S,AD,c,c,c,win
9D,KC,TS,8H,7H,QD,c,r,r,loss
AC,QC,7H,8C,AH,9H,c,r,r,win
9C,QC,JS,6D,TS,JH,r,r,r,loss
QS,6D,9D,6C,8D,AS,r,c,r,loss
6D,KD,KC,QC,AS,9D,c,c,c,win
7C,AC,7D,TS,KH,QH,c,c,r,win
8H,7S,TS,QS,9D,8S,c,r,r,loss
KC,AS,8D,9S,AH,6D,c,r,r,loss
JD,AH,7C,TC,9D,TD,c,c,r,win
9S,TS,6C,QS,7S,9C,c,r,r,win
9S,8H,6S,KD,AC,8D,r,r,r,loss
KS,AH,9C,9D,KC,9S,c,r,r,win
QH,JD,KS,KC,KD,6D,c,r,r,loss
AC,KD,7C,AD,JS,TH,c,r,r,loss
9H,8S,TC,AC,TS,JC,r,r,r,win
8S,QC,6S,7S,KH,9S,c,r,r,loss
8C,9D,9C,7S,TD,QD,c,r,r,win
6D,8S,KD,QD,KS,AH,c,r,r,loss
QC,TD,7S,7D,KH,9H,c,r,r,win
8S,TC,9S,9C,AH,7S,c,r,r,loss
8C,KD,JH,7S,8D,AC,c,c,c,win
AC,TD,JD,7H,6S,6C,c,r,r,win
7S,TD,8H,KC,7C,JH,c,c,c,win
9H,TD,TC,8S,6D,JS,c,c,c,win
KH,9C,JC,KS,8H,6S,c,c,c,win
AS,JS,7D,QC,KC,TC,r,r,r,win
QC,KD,TD,KC,AS,6D,c,r,r,win
QC,8H,8D,6C,JH,KS,c,r,r,loss
QS,QD,8D,6H,6D,AH,c,r,r,loss
KS,6C,9C,AC,TS,7C,r,c,c,win
8H,6D,QS,6C,JC,AC,r,r,r,win
JH,AD,6H,AH,AS,JD,c,r,r,win
8D,AD,7D,JD,7S,QC,c,r,r,win
TS,7H,9C,JC,AC,6D,c,c,c,win
9H,8S,9D,KC,7D,TS,c,c,r,loss
TD,8C,9C,9S,QC,6S,c,r,r,win
6S,AH,TH,7H,QH,AC,c,c,c,loss
QD,7C,QS,9C,KH,7S,c,r,r,win
AS,6S,AD,KS,7S,QD,c,c,c,win
6S,KH,KD,JS,9C,JD,c,c,r,win
7H,8D,KH,TD,7D,8S,c,r,r,win
AS,AC,QS,KD,6D,9S,c,c,r,win
TD,QH,JS,9C,JH,KC,c,r,r,win
7C,TC,QH,7D,KH,6C,c,r,r,loss
AC,JS,9S,9D,QS,QC,c,r,r,win
AS,9S,QD,9H,AC,QH,c,c,r,win
7H,AH,JC,9C,KD,JH,c,r,r,loss
KC,QS,JH,7D,KD,7H,c,c,r,win
KD,AC,8S,TD,9S,TC,c,r,r,loss
KD,6D,7C,QC,7D,QS,r,r,r,loss
8C,9S,TH,TD,6C,KH,c,r,r,loss
KS,AH,6S,9S,9D,QC,c,r,r,loss
7D,8D,KC,JD,8S,JH,c,r,r,loss
9S,KC,AC,8D,JD,QC,c,r,r,loss
QD,9H,AD,6H,7C,AH,c,r,r,loss
KH,KC,TC,JH,7H,TS,c,r,r,loss
AD,QH,8D,7D,8C,9C,c,r,r,win
AS,7H,6S,7S,AD,7D,c,c,r,win
KH,QD,7D,AS,7C,AC,c,r,r,loss
6C,TD,KC,QC,8D,7S,r,r,r,loss
9C,7S,KC,KD,TS,7D,r,r,r,loss
7D,TC,QC,6H,QS,7C,c,r,r,loss
TH,6H,AC,QS,6D,KC,c,c,c,win
TH,8D,AD,TC,AH,6C,c,r,r,win
AH,8C,7S,TH,6C,9S,c,c,r,win
7S,AC,8D,8C,TH,TC,c,r,r,loss
KD,TC,8H,KS,8D,6H,r,r,r,win
TD,8D,KH,JD,7D,6D,c,r,r,win
8S,QC,JC,8C,AD,7H,c,c,r,win
AD,JD,KS,6S,AS,QC,c,r,r,win
JH,TC,KS,TD,9H,QC,c,r,r,win
TH,7C,JS,8C,AC,7H,c,r,r,loss
JS,TD,7D,6D,KC,QH,c,c,c,win
TH,7H,7D,9S,TC,AC,c,r,r,win
QH,TS,9C,QD,6H,TH,c,r,r,win
6H,TC,8S,8C,KS,TS,c,r,r,win
JD,KC,8D,TD,KH,9S,c,c,c,win
QC,QS,7D,9C,JC,JS,c,c,r,win
QH,KD,JC,JD,JS,QD,c,r,r,loss
8C,6D,7C,QH,TD,QD,r,c,r,win
KH,7D,9S,9C,TS,AD,c,r,r,loss
KH,7D,TC,6S,KD,AC,r,r,r,loss
QS,9C,AH,6D,QH,7C,c,c,r,win
6S,KS,QS,JS,8C,TS,r,r,r,win
JD,7D,9H,8D,KC,9S,c,r,r,loss
AC,9H,QC,TD,KD,TC,c,c,r,win
KC,QD,8D,KH,QH,AD,c,r,r,win
9D,8H,TC,TS,TH,9H,c,r,r,win
7C,7H,TD,8C,QS,AH,c,r,r,loss
TC,8D,8S,TS,9S,9H,c,r,r,loss
TD,7S,9D,8C,TC,AS,c,r,r,loss
9S,JH,8H,TD,AC,7C,c,r,r,win
6D,KS,TC,6H,9D,9S,c,r,r,loss
9D,8S,6S,KD,7C,TH,c,c,c,win
6H,JC,KD,QS,KH,AS,c,r,r,loss
7D,6D,9C,QH,9H,8D,c,r,r,loss
JH,KC,KD,TC,6S,8H,c,r,r,win
7D,8D,6S,6H,QS,9S,c,r,r,loss
QH,8C,TD,8H,7H,QC,r,r,r,loss
9C,6D,9D,AS,TD,QC,r,c,r,win
QS,7D,KC,TD,JC,KS,c,c,r,win
AD,6C,6H,9D,8D,KH,c,r,r,loss
9C,TS,JC,KD,9H,QS,c,c,c,win
AH,6C,7S,7H,TD,7D,c,r,r,loss
6D,TD,JC,QS,6S,KS,r,r,r,loss
JC,JS,8H,7D,6D,AC,c,r,r,win
TH,AS,AD,TS,KS,8S,c,r,r,win
AS,QC,JS,8D,JH,7H,c,r,r,win
7S,7C,KS,QC,JS,JC,c,c,r,loss
TC,TH,TS,QS,9C,QC,c,c,r,win
9C,6C,6D,JC,KS,8C,c,c,c,loss
JD,8H,AS,AH,7H,TH,c,r,r,loss
9S,9D,QD,AD,JD,8C,c,c,r,loss
AD,9C,JD,AH,KS,7H,c,c,c,win
JD,TD,6C,QD,TC,9S,r,r,r,win
7C,QH,8C,6H,JD,9C,c,c,r,loss
7S,6H,JC,7C,6C,8D,c,c,c,win
AC,7C,TD,8H,AH,QH,c,r,r,win
JH,8D,TS,8S,AD,KH,c,c,c,win
TH,JS,JD,7D,AC,KD,r,r,r,loss
QH,6C,8C,KH,AD,QS,c,c,c,loss
8C,KD,7H,6H,TS,JC,c,r,r,loss
JH,8D,KD,TS,AC,7D,c,c,r,loss
8C,AD,JH,AH,KS,7C,c,c,c,loss
7H,TS,7D,KC,6C,9C,r,c,c,win
8S,TC,QD,QC,TH,JH,r,r,r,win
8D,9C,JS,6C,AS,7H,c,r,r,loss
JS,AC,TH,JH,7S,AH,c,r,r,win
AD,AS,9D,KD,QH,AH,c,r,r,win
TH,9S,8S,7D,6H,TC,c,r,r,win
8H,QS,TC,9C,JD,9D,r,r,r,win
TC,AS,7D,9C,6C,QC,r,c,r,loss
9D,9C,9S,JS,AS,QS,r,r,r,loss
QS,AH,TH,9S,6C,9C,c,r,r,loss
AS,9C,9S,8C,8D,KH,r,r,r,win
9H,AD,TD,TC,6H,JD,c,r,r,loss
9S,8D,AS,7H,9H,QH,r,c,r,loss
8C,7D,JD,KC,6D,QC,r,r,r,loss
9D,8C,6C,TC,6D,JD,c,r,r,loss
6S,6D,7D,AH,JH,9S,c,r,r,loss
TS,9D,6C,6H,KS,AH,c,r,r,loss
9D,7C,9H,QC,KD,JH,r,r,r,loss
7S,QD,AS,8D,7D,AH,c,c,r,win
QS,6S,8H,AH,7D,JC,r,c,r,loss
8H,6D,KD,JC,QH,AD,c,c,r,loss
6S,JC,9C,8S,JS,KC,c,r,r,loss
KH,7D,9H,JD,8D,KS,c,r,r,loss
AH,6C,7H,KS,QS,TS,c,r,r,win
QC,QS,AS,6S,8S,QH,c,r,r,win
7D,7H,QC,KH,JH,QD,c,r,r,loss
QC,JC,8S,TC,6H,QD,r,c,r,loss
6D,QD,AH,KC,AC,JD,c,r,r,win
JS,8H,AS,KC,7D,8C,c,c,c,win
9S,TS,KD,JD,8S,TD,c,r,r,loss
AS,6C,8C,6D,KS,AC,r,r,r,win
TC,8S,KC,QH,AD,QS,c,c,r,win
8S,7H,JS,JD,QS,TH,c,r,r,loss
9H,7D,QC,8H,KC,9C,r,r,r,loss
AS,AH,6S,TH,8H,KS,c,r,r,loss
JH,JC,AC,TS,8S,QC,c,c,r,loss
QC,8C,AH,AC,QD,7C,c,r,r,win
AC,QC,7D,9S,KC,QS,c,c,c,win
JC,6D,JH,9C,7D,AC,c,c,c,win
KD,JH,KC,QC,9D,7C,c,r,r,loss
AH,8S,7D,TH,QD,8C,r,r,r,loss
TS,QC,AS,9C,QH,KD,c,c,c,win
9C,JH,KS,8C,7D,QC,c,c,r,loss
7C,7D,JS,6H,7H,QH,r,r,r,win
AD,7D,KD,6H,8S,7S,c,c,r,loss
7H,QD,8C,6S,JS,8S,c,r,r,loss
6S,7H,QD,AD,JC,QH,r,r,r,loss
JS,9H,7C,9D,8S,AD,c,c,r,loss
8C,AH,9S,QS,AC,KS,c,c,r,loss
QD,6C,9D,6S,AC,9H,r,r,r,loss
6S,KS,6D,7H,6C,JH,c,r,r,win
KS,KH,6H,8C,TD,TC,r,c,r,loss
JH,7S,7H,KS,QC,QH,c,c,r,win
6C,6H,9S,JS,TD,AC,c,c,c,win
JS,KC,TC,QS,KS,9H,c,r,r,win
6S,6H,7H,JC,AS,AD,r,c,r,win
TS,8C,QD,7D,JS,TD,r,r,r,win
JD,TS,KH,QH,AH,9S,c,r,r,win
QD,QS,6D,9C,TS,KD,c,r,r,loss
6C,6H,KH,JH,TH,9C,c,r,r,loss
6C,7H,JC,8D,7D,TD,c,c,r,loss
7H,KC,JC,QD,7S,JD,c,c,r,loss
7H,KD,AS,TH,6C,QH,c,c,r,loss
6H,AC,TS,QD,6C,AD,c,r,r,win
6S,9H,QD,TC,KD,7D,r,r,r,loss
TD,QS,JH,KS,8H,QD,r,r,r,win
TS,KH,9H,AH,6D,TH,c,r,r,win
6D,QC,KH,QH,8S,KC,c,c,r,win
9S,8C,KC,9H,6H,AS,c,c,c,win
QS,8C,JD,JH,8D,TD,c,r,r,win
TC,6C,8C,KD,AH,7H,r,r,r,win
AS,TS,JH,7D,TD,8C,c,r,r,win
6S,6H,QH,KH,8S,AC,r,r,r,loss
KD,6H,8S,KH,9H,JH,c,c,c,win
TD,9D,9H,6S,AC,TC,r,r,r,loss
9D,JC,8C,KH,KD,TS,c,r,r,loss
TH,TS,JC,QD,TD,6D,c,r,r,win
KD,KH,QD,TH,KS,AS,c,r,r,win
JH,8C,KC,JS,QD,6D,c,r,r,loss
7S,7C,9C,6H,AD,AS,r,r,r,loss
JS,9S,8C,6H,TH,7S,c,r,r,win
9S,QS,7D,QC,KD,7H,c,c,r,win
QS,8C,8S,9S,6H,AD,c,r,r,win
8S,9S,TS,JC,KS,TD,c,r,r,loss
QC,TC,KD,7S,JC,9S,r,r,r,win
QC,9S,KD,7C,KH,QD,c,r,r,win
6D,8H,6C,QH,KS,JC,c,c,c,win
JS,QD,AD,6H,KH,7H,c,c,c,win
QD,TC,8D,KD,JD,JC,c,r,r,loss
AD,TS,TC,8C,AC,8H,c,c,r,win
QC,TS,8S,QD,9D,7H,c,c,r,win
9D,7S,6S,TC,KC,QD,c,r,r,win
6C,7H,JH,AS,KD,TC,c,c,r,loss
TH,6S,QH,7C,7H,8H,r,r,r,win
6S,KH,8D,TH,9C,JD,c,r,r,loss
