card1,card2,card3,card4,card5,result
JD,AC,7S,8S,7H,win
9D,AH,TH,9S,JC,loss
8S,TH,TD,JH,8D,win
6D,7S,7C,AC,7H,loss
KC,QH,8S,6D,TC,loss
TD,TS,6D,JH,8C,win
9S,QD,JH,7H,KH,loss
JS,QC,JC,TH,8H,win
AC,8H,9C,7H,6S,loss
9S,QH,6S,8H,KD,win
KD,9S,TD,7D,QH,loss
8D,8C,AH,QC,AC,loss
AC,JS,9S,7H,AD,win
QS,KC,JD,QH,AS,win
9C,TD,QS,JC,9H,win
9D,6S,KD,7H,TH,loss
6D,JD,9D,TD,7D,win
KS,QH,9S,KC,6S,loss
AD,7S,KD,6S,KS,loss
8S,QS,QC,6C,KH,win
6S,AH,AD,QH,KS,win
QH,9S,JC,TD,7S,loss
QS,KC,TH,6H,JS,win
8H,6D,9D,AC,TC,loss
7S,AD,AC,TC,9C,loss
TD,QD,8D,QH,KH,loss
TH,JD,AC,KS,6H,win
KC,KH,7C,QD,KD,win
9D,KD,TH,QS,KS,win
JD,QH,8D,9S,QD,loss
9C,7C,KD,KS,7H,loss
7D,9D,AC,JH,QH,loss
AS,8C,AD,JS,9C,win
AS,QC,9C,JS,8S,win
KD,8H,TC,AC,JH,loss
KC,JC,TC,TS,QS,loss
AC,9H,TH,JH,6C,loss
TC,AS,KS,JH,7D,loss
6H,9S,JH,KD,9D,loss
JD,TC,QC,6S,AD,loss
9H,9S,QH,AD,6D,loss
7C,6H,9S,6C,KS,win
7S,TC,QC,TH,AH,loss
TH,7D,QC,AD,6H,loss
7S,6S,AD,TH,7H,loss
7S,AS,JS,QC,QD,loss
AS,TS,9H,6D,KH,loss
8S,7C,6S,AD,8C,win
AH,AS,JC,9C,8C,loss
KH,6C,AD,6H,7H,win
8S,JC,JD,6D,9H,win
8D,AH,KS,TD,AC,win
KD,KC,QS,TH,7H,loss
KD,7C,8C,AS,7S,loss
KC,7D,7C,TC,7H,win
7D,QS,TD,KS,JS,loss
KD,TS,KH,7D,7C,loss
AC,KH,QH,AS,9C,loss
JH,JD,6S,KH,QS,loss
TS,AC,QC,8C,7H,win
6H,JH,TC,KS,TD,win
JC,8H,7S,6D,JS,loss
TC,AH,KH,9H,JC,win
TS,TH,AH,6D,KH,win
8H,QC,QD,QS,8C,win
9H,AS,KD,7H,KC,loss
7C,TH,QH,TC,AC,loss
TH,JC,QC,JS,7D,win
TS,6S,7H,KD,QH,loss
QD,KS,6S,TH,TC,loss
TC,KH,JH,6H,TH,win
QC,KC,9S,TC,JD,loss
KH,JS,JD,9D,TS,loss
TC,6C,TH,JD,TD,win
8H,8C,9C,KC,6H,loss
8S,KH,9H,QH,7S,loss
TS,JD,6D,JS,6C,win
8C,QH,TC,JS,AH,win
KD,KH,TH,8C,8D,loss
KS,AD,QS,TH,AS,win
8C,9C,AS,9H,6D,loss
8C,7D,KC,9S,QS,loss
9D,9H,JD,QC,7C,loss
TH,JS,6H,KD,9H,loss
AD,7S,6H,AS,TH,loss
TD,AH,QS,7D,9C,loss
TS,8D,QD,JD,7D,win
6C,6D,JD,8S,KD,win
AS,6C,JH,AD,QC,win
KD,KH,AD,7S,8S,win
6H,9D,8S,6S,7H,loss
QS,9C,6S,7D,QH,win
AS,6C,KD,TS,6S,loss
TS,6D,9D,8C,9S,loss
8S,TS,AD,6H,7H,win
8S,TS,AD,QS,JC,win
KD,7S,TC,QC,8S,win
JH,6D,TS,QC,JS,win
QH,8H,7C,9S,AD,loss
KC,TC,7H,JD,AD,win
6H,KS,6S,JD,6C,win
TC,QH,8S,8H,7D,loss
6H,KC,AC,6S,AD,win
8C,QC,AD,6H,6C,win
7S,AD,TS,8C,KD,loss
8H,6S,8S,QH,AC,win
KH,KC,AH,8S,6H,win
8C,KC,QS,JH,8H,win
8D,6S,TC,JH,JS,loss
JC,9S,TH,8S,8C,win
QH,KD,JD,6H,AC,loss
TD,9S,6H,QD,KC,win
JC,8C,8H,9D,8D,win
8H,6S,8S,7D,QC,loss
8D,AC,8H,JD,6C,win
8H,6S,9C,QD,9S,loss
KS,7S,TD,QD,JH,win
9D,QC,AD,QH,AC,win
6C,8H,6D,6S,JC,win
JC,8S,9C,JS,6C,win
KD,QD,AH,TD,KC,win
AH,AS,8H,QS,KC,loss
AC,AD,QH,TS,6H,win
6S,7S,JH,9D,7H,win
6C,9H,TC,9D,9S,win
6D,6H,AH,JC,QS,loss
KS,QS,6C,QH,TC,loss
8D,9S,KS,JH,KD,win
KH,7D,AC,QS,8H,win
TC,JD,7H,AC,QD,loss
6C,8H,AS,9C,KH,loss
8H,9S,QS,AC,9D,win
6S,7S,9C,TH,TD,loss
AH,JS,7H,6C,QH,loss
9C,9H,JC,7H,7D,loss
8H,QC,KH,9S,8C,loss
6C,9S,8D,JC,9C,win
8C,9S,QC,TC,QS,loss
QD,QH,6H,TS,KH,win
QD,7H,QC,KH,AH,win
JS,9H,TD,6H,AC,loss
9C,8H,9H,JC,8C,win
KH,JS,6D,JC,JD,win
8S,6C,6H,TS,8C,loss
KC,TC,8S,7D,8C,win
9C,QH,9D,QS,AC,win
KH,6S,7D,KC,9S,win
7C,QS,7D,TC,AD,loss
AH,9C,9H,7S,AD,win
8D,JS,JC,8S,KH,win
KD,6C,8S,JS,KS,loss
TH,6S,TS,7H,9S,loss
KC,7S,8D,9C,QS,loss
QH,JH,8D,TC,9S,win
QH,6C,AD,TH,9S,win
KH,9D,AH,QD,6D,loss
JS,KC,QH,QD,TS,win
JD,JH,6C,7S,JC,win
9D,QD,AS,QC,6S,win
8C,JC,QH,AH,TH,win
9C,KS,6S,9D,7D,win
7D,8D,9C,6S,TD,win
6S,TD,AC,QC,JC,loss
TS,AS,AH,JC,QC,win
QC,QH,9C,AS,8C,win
TD,AS,JC,7S,AC,win
JC,QS,KD,TD,QC,win
KS,6D,9D,7H,QS,win
JD,6C,TD,AS,QS,win
6S,9H,6H,8S,AS,loss
7C,7H,KS,6S,KH,loss
QS,QC,KD,7D,QD,win
6D,TC,KD,7S,AS,win
8S,9S,QS,AD,8D,win
KC,TD,TC,JS,JD,loss
JS,7S,AH,8S,9D,win
9D,KD,QC,KH,JD,win
8H,8D,KC,KH,QC,win
AD,6D,8S,8H,9S,loss
9C,8S,KD,8C,6D,loss
TS,TH,KC,QC,AS,loss
QH,AC,AH,8H,JC,loss
JS,QH,TH,8C,6S,win
8D,8S,QS,AS,8C,win
KS,8S,TH,7S,JC,win
8C,6S,7D,AD,8H,win
QC,KD,6H,JD,8S,loss
JS,6D,QS,8C,JD,win
JD,AC,KD,AS,7S,win
7H,QC,KC,8C,KH,win
8D,7C,9H,JS,8S,loss
7H,AH,QH,TS,9H,win
6H,QH,AH,TC,KD,loss
TS,9H,7C,TC,8S,win
8D,QD,TC,6D,KC,loss
KS,TS,7C,8H,TC,loss
TC,6C,9D,7C,AC,loss
AH,KC,8C,QH,AC,loss
9S,7S,KS,9C,JC,win
6S,QS,8C,JD,9D,loss
AS,6S,KD,KS,AC,win
KC,7S,9S,KH,TC,loss
AH,JC,KS,6H,QS,loss
AD,8D,9D,KC,6C,loss
QC,9D,KS,8S,7D,loss
JS,9D,7S,JD,6C,win
9H,JC,7C,JH,8S,loss
AS,JD,6H,8C,9S,loss
7C,6C,8H,AS,AD,loss
JD,TH,8H,AH,JS,win
6C,8S,KH,AC,AD,loss
7D,TS,TC,8D,AC,win
7S,JD,TC,8H,7D,loss
6H,JS,8S,9H,AS,win
9S,9C,JS,7H,AC,loss
7S,TC,7D,6D,TD,win
JS,TH,9H,6S,9C,loss
JD,JC,6C,8C,7C,win
TD,QD,7H,AS,9D,loss
JC,JS,TH,9D,JD,win
JD,6S,QD,QC,KD,win
KC,JS,6S,8D,8H,loss
TC,6S,AC,9S,9C,loss
7S,TS,7C,QC,9C,win
AH,KD,JS,QC,JD,loss
QD,9C,TC,QC,QH,loss
6C,JD,AD,TC,9C,win
6D,TS,9D,AH,AC,loss
AH,7S,TS,7H,9D,win
9C,7H,KD,6C,9H,win
8S,AH,JC,8D,8H,win
7S,AC,KS,7C,KD,loss
JS,JC,8H,JD,AC,win
7C,6H,TS,9S,KD,win
TD,TC,6S,6C,JS,win
KD,8H,KH,6S,7H,win
JS,KC,QD,AD,7C,loss
7D,6D,KH,AS,KD,loss
9S,TC,QH,TS,9C,loss
8D,JS,9C,6H,QC,loss
8S,QD,6S,8H,QC,win
QH,JH,6D,7S,6S,loss
JD,AD,7D,8H,AC,loss
7S,AC,KD,JH,6C,loss
8H,QS,6H,JH,TD,loss
QH,AH,QD,6C,JS,win
AH,7S,TH,JD,QH,loss
KH,7H,6S,AS,QC,loss
7C,8S,AH,QH,7D,win
TC,JD,JH,6H,JS,win
7H,JC,7D,AH,KS,win
6D,AC,9H,QD,KH,loss
AC,TD,TC,AH,6S,win
8D,TC,AH,AD,7H,win
KS,6H,QC,QD,AD,loss
KC,QS,8D,7C,8H,win
9H,8S,QH,JD,KH,loss
JS,JC,QH,9D,KH,win
8S,8D,TC,9C,KC,loss
JH,AS,6S,9C,AH,loss
QD,7D,JD,7H,7C,win
9C,6S,JS,KH,9D,win
7C,7H,JH,JS,9C,win
JH,TD,AS,KC,9S,win
QC,KC,JH,7H,6S,win
QC,8C,QS,8H,7H,win
8H,AH,QH,JC,KC,loss
KH,6D,8C,JH,AH,loss
QS,8D,TC,KC,TH,loss
9S,7H,TS,8D,TD,win
JD,TD,AS,JH,KC,win
KH,6D,TS,AS,8C,loss
KD,6H,8S,9S,9C,loss
9D,TD,QH,9S,KS,win
9D,JD,8H,9C,TH,win
TS,9S,KD,JD,JS,loss
QH,KD,TS,6S,6D,loss
KD,TS,TH,8H,KH,win
AC,TD,7C,TC,9D,win
QD,JH,TS,KC,8D,win
QD,JD,JC,7H,9H,loss
AS,AH,TS,8H,AC,win
KD,TH,9C,9S,QC,loss
JC,8C,QC,KS,TS,loss
QS,QC,AD,AC,KC,win
QS,8S,JH,6C,AH,loss
8C,8D,6H,6D,KD,loss
7H,8H,8C,KC,TS,win
KS,7H,8S,TH,TC,win
TS,KD,JC,AS,6D,loss
TD,7H,QH,JC,TS,loss
9D,AC,AH,6D,JS,loss
8H,JS,TH,9S,TC,win
JD,9D,6D,7C,TH,loss
JD,AH,TC,KS,9D,loss
