card1,card2,card3,card4,card5,result
TD,JC,7C,AD,6C,win
AH,9D,AS,TH,7D,loss
JS,KS,6D,AC,QD,loss
7S,6S,6C,KH,7C,win
6D,8C,KC,6S,7C,loss
QS,TS,KC,QD,6H,win
7H,KS,8D,TC,9H,loss
6C,QC,8D,TH,AC,win
6H,QS,TH,8D,9S,loss
QS,TS,KS,TC,8H,loss
QD,KS,6D,7D,TS,loss
JD,KH,7C,KD,6C,win
QC,6C,TH,QS,8H,win
9S,8C,QS,KC,TS,loss
TC,8S,6D,6S,KD,loss
QC,7S,TH,AD,7D,loss
8D,KS,AH,6S,8S,win
TS,6C,8S,QS,8C,loss
7D,KD,KH,6D,TH,loss
6H,8D,AH,9H,6S,win
JD,9S,AS,JS,9D,win
7H,6H,8D,JD,QS,loss
8D,9S,9H,7C,QH,loss
JD,8C,6C,AD,8H,win
JD,JC,KS,QC,JS,win
6D,QD,9C,6S,7D,win
KH,7H,AS,TS,7D,win
7C,QC,JH,TC,TH,loss
7C,KC,6D,8C,JS,loss
KC,9D,AD,8D,JS,loss
JD,TD,TS,KD,JS,win
8H,7D,7S,AH,9H,win
TC,6D,9S,AD,QS,loss
6C,JS,9D,KC,8D,win
AD,6S,7H,TS,QD,loss
9D,8C,6D,TH,7S,win
7C,AC,KH,TH,6H,loss
AD,6C,8C,KC,JS,loss
8C,7D,9S,JH,7H,win
JS,9S,8S,KH,QD,loss
TC,KC,9D,8H,JS,win
TH,6H,QH,TD,TC,win
9C,TS,JS,7H,JD,loss
9C,8D,AS,7D,8C,win
KS,6H,8D,AC,9C,loss
8S,JD,QC,9S,QS,win
TD,8D,KD,9H,9D,win
9C,TS,6D,JD,KD,win
8H,8S,JD,KS,KC,loss
KD,AC,6H,TH,QH,loss
9C,9D,KD,AC,JS,loss
9D,TD,QD,QS,7D,win
KD,TH,JD,QS,6C,loss
8S,TD,JS,AD,QC,win
AS,JS,JC,TS,TC,loss
KH,AD,9S,7D,8H,win
6C,9D,AH,8D,9H,win
AC,QS,8H,AD,AS,win
8H,9H,AS,TH,7C,win
9D,TH,TD,QS,7H,win
KS,JH,TH,7S,TS,loss
9H,TS,JD,6H,8H,loss
AS,KC,KD,JC,8S,loss
JD,TC,AC,8C,9D,win
7H,7S,TD,9C,7C,win
TD,7D,QH,TS,JC,win
TH,QD,QS,9H,TC,win
7H,9S,8H,8S,7S,loss
7C,7H,JH,8S,7S,win
TH,6H,KC,QS,6D,loss
JD,7S,7D,9C,AC,loss
TS,6C,TC,8C,QS,win
8D,TS,8C,QH,AS,win
AD,7D,8C,8H,9H,loss
QD,TC,AH,JS,KH,win
AC,7H,KD,8C,6S,loss
9H,JD,8S,7D,TD,win
QS,TC,TH,AC,AD,win
TS,9C,8H,8S,JH,loss
7H,8S,AD,7S,TD,loss
AH,TD,JH,7C,KS,win
JS,JD,6S,9D,KD,loss
9D,AD,KC,QC,TD,loss
JS,JD,8H,QS,TH,win
AS,8C,AC,KD,7S,win
TS,8C,AD,JC,TC,win
7C,AC,JC,KD,6C,win
QC,6C,AD,9D,AC,loss
7C,KH,AD,KC,9S,win
JS,TH,AS,KS,JD,win
QH,7D,TS,6H,8H,win
KH,TS,AD,9S,8D,loss
KD,6H,7C,7H,TC,loss
AS,7H,7C,KD,7S,win
7S,QD,TC,AC,QS,loss
KC,JH,TC,9D,QD,win
QH,7S,6H,QS,9S,loss
AS,9S,JH,JD,QH,win
TC,AS,KS,9C,7D,win
9C,KH,9H,QC,TC,loss
6D,9S,AD,JH,TH,win
8H,KH,AD,AC,QD,loss
TH,TS,7C,KS,8S,win
TD,QH,KS,9H,6S,loss
AH,TS,9H,QS,JS,win
KC,7H,AS,9S,7S,loss
9C,6S,JS,QS,8H,loss
8H,AC,AS,TS,9H,win
9D,9H,KH,QS,QC,loss
7S,8C,QD,6H,6D,loss
JH,6H,7C,8S,9C,loss
9C,TH,7H,QH,QD,win
9C,AC,7S,QD,KS,win
QH,TS,7C,JD,KC,win
QD,TD,KD,JH,6D,loss
7S,8S,7C,8C,QH,loss
6S,7S,9H,JS,9C,loss
QS,AH,TS,KH,JS,win
AH,JS,AC,JC,TC,loss
TD,8S,6H,QD,9D,win
9H,TH,8D,6H,QS,loss
6H,QD,JD,6S,9H,loss
TD,6C,AH,7H,JD,win
6S,QD,7H,JC,AD,loss
KH,8H,JS,6D,QH,win
JC,AS,JH,QS,8H,win
9C,6H,QS,JS,KH,loss
8D,JC,7D,QD,AD,loss
9S,AS,JD,8S,8D,loss
8S,TD,8H,6C,TS,win
6C,9H,QH,8D,TH,win
KS,AD,9D,KD,KH,loss
9H,8D,TS,KC,7D,loss
AC,6D,7H,QS,AD,loss
7D,8D,QH,9D,KS,loss
TD,QD,8C,AS,7S,loss
KS,QS,7C,KC,KD,win
JC,8C,TH,QD,KC,loss
6C,JS,AH,AC,TC,win
QD,7C,JC,9S,QS,win
8S,8C,JC,TC,QS,loss
9C,QD,6H,TC,JC,win
6H,7C,6S,AH,TH,win
TH,AH,8C,QD,8S,loss
AH,6C,JD,AS,9C,win
TD,6C,AH,KC,QC,win
7C,7S,6H,QS,8C,win
6C,8D,8C,AH,AD,win
8S,6S,QD,6C,8H,win
8C,JS,TS,9D,KC,win
8H,QH,QS,KH,AD,loss
9C,9D,TS,QC,6C,win
7S,6D,KC,QC,9H,loss
KC,AS,JD,6C,JH,loss
6D,8D,6H,KD,7H,win
7D,8C,AH,TS,KH,loss
KH,TH,8H,8S,9D,loss
AH,9H,9C,JS,8S,win
JS,8H,TD,AD,KS,loss
6H,TD,QH,QC,6D,loss
7S,9D,QH,AH,9H,loss
QH,QC,9C,7C,6C,win
KS,9C,8H,7D,8D,win
KC,TH,6D,QD,8C,win
KC,JD,KD,TC,KH,win
TH,KC,7C,8C,8H,loss
JS,7S,9C,QD,6D,loss
QC,JC,AH,6H,TH,loss
6H,7S,6S,JH,JD,win
8H,AH,9H,TC,AD,loss
JH,KC,AC,8C,QH,win
6H,9H,JH,8C,7D,loss
AC,8C,JD,QD,AD,win
8C,JD,QC,TC,6S,loss
6C,7H,JC,7S,9D,loss
9H,6H,9C,JS,8S,loss
9H,QD,KC,6C,7H,loss
8S,JC,7H,QD,JH,loss
TH,KC,KD,TC,6H,win
8H,8D,JD,KC,6S,loss
TD,QC,JD,AD,8D,win
KS,KH,KD,QC,8S,win
AS,TC,7H,KS,KC,win
TH,6D,TS,9H,6H,win
6H,KC,KD,TD,7C,win
9C,QD,KD,AD,JS,loss
9D,JC,6S,6C,7D,win
7C,8H,9S,9H,6C,win
7H,TH,QS,8D,JD,win
AD,KS,TH,QC,TC,loss
TS,6D,6C,QC,7S,loss
7D,7H,QS,TD,QC,loss
KC,QC,JS,TD,QS,win
JH,TS,6H,JS,9D,loss
QH,8D,TD,6D,7H,loss
9C,7H,JH,7C,6C,win
9H,TS,JS,7D,6D,win
AH,8S,TS,KC,JH,win
9H,QH,AH,JC,8S,loss
JH,AD,KD,KH,7S,win
9D,6C,KH,TC,7S,win
6D,TC,9D,TH,9C,loss
JH,8C,QD,TC,TS,loss
6S,8D,6D,QC,8S,loss
6D,JH,KD,QC,7C,loss
JC,TC,9C,9H,7S,loss
KS,8S,9C,6C,7S,loss
QC,TH,9H,6C,9C,loss
TS,9S,9C,AD,6H,win
TC,JH,7H,6C,JS,win
7D,QH,9S,TD,AC,loss
6D,QC,6S,AD,JD,loss
9S,TD,KH,TS,QH,win
8C,QS,6D,9D,9H,loss
KD,JH,8C,QH,JC,win
9S,AH,JC,9H,QC,loss
9H,TC,8H,JH,9D,loss
TD,AD,AH,8S,7S,win
QC,AD,6S,7S,8C,loss
QH,QS,QC,JH,8H,win
6C,TS,JD,7H,JH,loss
KH,KD,8S,7S,QC,win
KD,6H,AD,8D,QH,loss
6D,9H,AS,8S,QH,win
8S,QD,7C,QC,KH,win
TS,AS,6D,9H,JS,loss
TS,8H,JD,7H,8S,win
TD,KC,TS,QH,AS,win
6S,7C,TH,AC,7D,loss
QH,6S,9H,TH,AD,loss
JC,7H,9C,AC,6C,win
7D,7H,8D,9C,9H,win
AH,TH,QS,JC,KS,win
7S,8D,KH,JH,TS,loss
TS,7D,KS,QC,7S,win
7S,QS,8S,AS,JC,win
QH,6D,KH,JS,7D,win
QH,9D,KC,QD,9S,win
9C,7D,7C,AC,8D,win
QS,TS,6D,JD,KC,win
TC,6C,6D,TD,AS,win
9S,7H,6S,8S,KD,loss
TH,KD,KH,TD,AC,win
9C,AC,QS,8S,JS,win
AC,TD,7D,8S,KH,win
QC,AC,QH,JD,JC,win
9C,KH,QC,AD,6H,loss
QD,8H,QS,JH,JD,win
TH,AD,7H,KS,KH,loss
6S,6H,8S,QC,TD,loss
TD,7H,8S,KC,8H,win
8C,9D,6S,TH,KH,loss
AC,7S,JD,9D,QS,loss
KC,KD,AH,QS,9C,win
6H,AH,7D,QS,QH,loss
9C,QS,9D,8H,6H,win
TH,KC,9C,TD,AD,win
JC,TD,8H,7H,AS,loss
8D,AS,QH,JS,KS,win
8D,QS,JS,7D,8H,loss
JS,6D,TS,JC,QC,loss
QS,AH,AS,7S,8D,loss
JH,7D,QS,TC,KH,loss
6D,AD,AH,QS,6H,loss
JD,9D,TH,9H,6C,win
6H,KD,JC,QS,JS,loss
QS,QH,AC,7S,AD,win
QH,7C,8D,QC,9H,loss
7H,7D,6D,KC,QH,loss
KH,AS,8S,6H,9S,win
KD,AH,QD,TD,QS,win
8S,QH,TH,AS,9H,loss
KD,JC,7S,9H,KC,win
AS,6S,TS,7D,TC,win
JC,TS,JH,TH,6D,win
QD,JS,8C,AS,AD,loss
6D,7H,JD,TD,7C,loss
AH,AC,KC,TD,QH,loss
9D,8H,6D,JC,AC,loss
AH,8H,JD,6S,9H,win
9C,QH,QS,7S,6H,loss
QS,JD,6S,8D,JS,win
8D,JD,6D,KC,AD,loss
9H,QC,KS,9D,KD,win
KD,QH,JH,6S,TH,win
QH,8H,AD,KH,7C,loss
8C,7S,8D,9C,6C,loss
KC,AC,AD,9S,9H,win
6D,TC,JS,JC,6C,win
TS,QC,JS,9C,KH,loss
KH,QC,9D,JH,JD,win
7D,8D,TS,JC,KC,loss
8S,8C,TD,KH,8H,win
9C,QH,TC,QS,KD,win
8D,KH,AS,8S,7D,win
KC,JC,9H,AC,8S,loss
JD,JC,AD,QS,JS,win
8H,JD,QD,AS,AC,loss
9D,JD,QC,7H,7D,loss
KD,7D,KH,8H,QH,loss
9H,AC,JC,QH,JH,win
8C,QD,7D,AD,8H,loss
9H,TH,QS,TC,JD,loss
8S,TH,TS,QH,AH,win
KD,AC,QH,AS,8S,loss
8H,7C,AD,QS,QH,loss
6S,TS,AS,TH,6C,win
QH,JH,TS,8D,AD,win
6C,TC,KD,9H,6D,loss
TC,AC,AH,9D,6S,win
AH,7H,KH,9S,KD,win
TS,AS,JH,7S,6D,loss
KH,6S,7C,JS,9D,loss
6D,6H,8C,AS,QH,win
9H,8C,7H,9C,9S,win
KS,QC,TC,7D,JD,win
8D,7H,9C,KH,JS,loss
7H,TS,JS,7C,JD,loss
9D,QC,8S,JS,KS,win
QH,AS,9H,JD,8D,win
KD,QH,7D,TH,JH,win
6C,AS,KD,8D,9C,loss
AS,7D,QH,AD,8H,loss
7S,7C,KC,9H,6S,loss
KH,JC,TC,8D,AD,win
QD,8C,TD,8H,TH,win
TD,6D,8S,QS,7S,win
AD,TS,9D,8S,AS,win
7C,8S,7H,KC,AS,win
8C,9H,TD,AC,6S,loss
JS,6D,7D,KS,QC,win
9S,9H,AS,6S,JH,loss
AS,KD,JH,TD,9D,loss
AD,9S,7H,6D,QS,win
QS,TH,QD,7D,8H,win
7H,6C,8D,6D,AD,loss
TH,9S,6D,7D,JH,loss
8D,TC,AD,QD,7C,win
6C,8C,6H,KH,7D,loss
8S,KC,6S,QC,AH,loss
AH,9H,8S,QS,JD,win
8C,KS,7C,QH,QD,win
AH,6D,6H,9H,QC,loss
6D,8H,TH,7C,QC,loss
9H,JC,AD,6C,9S,win
JD,AD,6H,7C,TS,loss
6H,JS,8D,QC,9H,loss
JS,6C,KH,KS,TS,win
TS,QH,7S,AD,QC,win
7C,TH,9D,8H,6S,loss
9D,KD,AD,QH,KH,loss
8S,JH,7S,TD,6H,win
QH,7C,JC,8C,7H,loss
6S,QD,AS,JS,7C,loss
KC,QC,7S,TH,QS,win
8D,6S,AH,KH,QS,loss
8H,TS,AS,6D,KD,win
7H,TC,JS,8C,TS,win
QD,JC,KS,6H,JS,loss
TD,TH,QH,9S,AD,loss
6D,6H,TD,9D,KH,loss
TC,8D,TS,TH,QD,win
TH,QS,TC,9C,8D,loss
QD,7C,8H,AS,7H,loss
9D,QC,7C,KH,6S,win
9H,8C,6H,TH,8D,loss
6D,9H,KC,KD,JS,loss
QS,9S,JS,6D,8D,win
TH,7D,QH,8C,KH,loss
AS,JC,KD,QC,6S,loss
8H,7S,6D,AS,QS,loss
TH,7D,AC,7C,9D,loss
QH,QD,9S,TH,9D,loss
JD,QS,8S,QH,6C,win
6S,AH,9H,6C,7H,loss
JD,9D,KS,9C,JH,win
TD,8C,AC,8D,JD,win
KD,AD,9C,QH,9D,loss
JD,AC,8D,QC,8S,loss
TS,TH,QC,9H,8D,win
QC,QS,9C,9H,JC,win
JD,7D,9H,KC,QC,loss
AD,AC,8H,KD,KH,loss
9H,TC,9D,6H,JC,win
9D,KS,JH,7D,KH,win
8D,7D,6S,AC,7C,win
9D,KD,QS,QH,7H,win
8H,AD,9C,AH,TD,win
TC,TH,8H,9H,9D,win
9C,6H,6C,TC,6D,win
8H,TD,KS,JH,8S,win
QC,8H,TD,KS,8D,win
QC,AH,8S,7H,AD,win
AC,7C,6C,AD,KC,loss
KH,JC,QD,6S,8D,loss
QD,7C,8C,9H,TD,win
KC,9D,QD,9S,KH,loss
6C,TD,AD,6H,QH,win
QS,QC,KD,AD,7D,loss
8D,8C,6S,6D,KD,win
6S,KH,9C,QS,9S,win
JD,7H,AS,JS,TD,loss
JS,QC,AS,9H,9D,loss
QS,8C,TD,8S,JS,loss
KH,QS,AC,6H,6C,loss
QC,JC,QS,JS,JD,win
8H,KD,AD,JD,AC,loss
9C,7S,QC,7C,JD,win
6D,JH,6H,TH,TS,loss
AH,KD,7S,9H,8C,loss
6D,TS,6C,8H,JD,loss
8D,9H,QC,TH,AH,win
QD,KS,8D,TD,QC,win
TS,9H,9D,8C,TD,loss
QD,7S,AD,JC,6H,loss
JS,KD,9C,TS,KC,loss
9C,KH,KS,8S,TH,win
TH,9S,TD,6D,JD,win
AC,7C,KS,9S,7D,loss
JS,6C,QD,9D,6H,loss
6H,8H,7H,JD,AC,loss
7D,KC,8S,6D,8D,loss
8H,7D,KC,AH,QH,loss
KC,JH,JC,QD,KS,loss
6D,8D,TC,6C,KS,loss
TC,9D,KH,AC,JC,loss
7D,AS,7C,TS,AH,win
7H,AD,QD,JS,JH,loss
TD,9C,QD,8D,7D,loss
AD,6S,JC,TC,8H,win
9C,9D,QC,6D,QS,loss
AH,TS,KC,KD,KS,win
JH,7H,6C,8H,QC,win
JD,TH,TC,7C,TD,win
JC,QS,6H,8S,QH,win
KH,8S,AD,JS,QC,loss
QD,7D,6D,KS,JC,loss
QS,AS,TH,JH,JC,win
TS,QH,JD,AS,7H,win
QS,8H,9C,JC,QH,win
9D,KD,JC,6H,TC,loss
QH,8C,TS,8S,QD,win
8S,JC,TS,6C,TD,loss
QD,JH,9D,TD,QH,win
TC,7S,QD,AS,QH,loss
AH,TH,TD,QD,QC,loss
AH,8D,AD,8H,7D,win
TS,9D,JH,KH,6S,loss
AC,TS,QD,JH,7S,win
QS,8H,JH,TC,9D,win
9H,9C,8C,JH,6C,win
7D,9S,8D,7C,TD,win
7C,TS,9C,6H,QD,win
6S,7S,KD,JH,9H,loss
AC,JH,9C,QS,8D,win
JC,AC,TH,JH,8H,loss
TS,6C,8D,9H,KD,loss
6D,9C,TS,6C,AD,loss
AD,TD,TS,KS,TC,win
8C,6D,KH,9C,6H,win
7C,9D,TS,KC,JS,loss
KD,KS,9D,TS,6C,loss
QH,6H,AD,JC,8D,loss
9H,AH,8S,KS,7H,loss
8S,TS,6S,7H,KD,loss
8D,JS,AD,6D,TS,win
KS,9H,QS,TS,7C,loss
7C,KD,TH,9D,JH,loss
9D,AS,KH,6C,6H,win
7D,TH,JS,9C,6C,loss
AC,KH,8D,9C,KS,win
KS,7H,6C,8H,JD,win
JD,6D,TH,QC,AD,win
KS,6D,6C,9D,AD,loss
9S,7C,TS,KH,6C,loss
9D,AC,KS,6H,7S,loss
KH,9H,KD,9D,9S,win
QD,KC,KS,6D,8H,win
TC,JC,6C,9C,8S,win
7H,9H,AH,8D,KS,loss
TD,QD,JS,QC,JC,win
QD,JC,JS,KC,TH,loss
TD,9H,AH,QS,8S,loss
8C,6H,9D,QC,8H,loss
TH,6C,7D,9D,TD,loss
8S,6C,JD,7C,6H,win
AC,TS,6H,7C,KD,loss
QS,AH,6H,8S,JS,loss
9H,QH,QD,AH,QC,win
6C,AC,9C,AD,6H,loss
QC,7H,QS,7C,KD,win
TC,8S,QD,AC,9S,win
7D,TD,7H,9C,8C,loss
QD,KH,KC,6S,TH,win
6D,QS,AC,8H,TH,loss
8D,9H,TS,9D,QC,win
8D,KC,8S,AC,QC,loss
7C,7H,6H,9H,AC,win
TS,TD,QC,8H,JD,win
7C,6S,TD,QC,9S,win
JC,KH,8S,QH,6H,win
9D,AC,JC,7H,QD,loss
TH,6H,AC,AD,8C,loss
8H,AD,KD,KH,JD,win
KH,6S,7S,TD,KS,loss
JS,8D,TS,AS,7D,win
JD,7D,TC,KC,9S,win
TC,8C,AS,KH,QC,win
AD,JC,JD,6S,TH,win
KS,9C,TD,AD,QS,win
AH,AD,8H,6H,KD,loss
6D,JS,QD,9S,8D,loss
AH,JD,KC,AC,9S,loss
TS,AD,9D,9S,7C,loss
TD,AC,6S,KD,TC,loss
TD,6H,AH,6C,7C,win
6C,KD,KC,6D,9C,win
7S,QS,QC,9S,9H,loss
6D,7C,JS,QH,TH,loss
8C,8H,AD,QD,7C,loss
9H,6D,QS,6C,7S,win
KD,6D,AH,JS,AS,loss
KD,AD,9C,QC,KS,loss
AS,QD,JS,9D,AC,loss
TH,9D,QS,9S,TS,win
JH,KC,8S,TD,TH,loss
9C,7D,JH,8D,TD,loss
JD,9S,QS,JS,7H,win
QC,JH,KC,7C,KS,win
KD,KC,KS,7C,TC,win
8H,7S,7C,TD,8S,win
9H,9S,JS,AD,TC,win
KC,7H,QC,QD,6S,loss
JD,8C,JS,6S,TH,loss
6S,TS,7D,9D,9H,loss
7D,7S,8H,TD,KC,win
KH,KC,KD,6S,7C,win
AH,8D,KC,7D,QD,loss
TS,AC,QS,6H,QH,win
7H,7D,8S,9S,KH,win
QH,JH,8S,AH,TS,loss
JH,KC,QH,TS,AH,win
AS,8D,KS,7S,6H,loss
KS,JH,QH,AD,AS,win
QC,QH,7C,AC,QS,win
KD,8S,AC,QS,JS,loss
7H,QD,KC,JD,7D,loss
7D,QS,8D,KS,TS,loss
8D,QS,7D,9H,AH,win
JC,7S,QH,6H,7H,loss
TD,JD,9D,JS,JC,win
8H,QD,TC,TS,9C,loss
9D,JH,QH,8D,KC,loss
6H,7H,AC,6D,TD,loss
8C,7C,TH,6C,KH,win
AC,8H,QC,9D,AS,win
AS,9D,8D,7H,AH,win
8H,TH,JH,JC,7H,win
TH,AC,TS,7D,KS,loss
TH,QC,JS,6H,6D,loss
JD,JC,KD,AD,AS,win
6H,6S,TC,7S,7C,loss
TS,9H,JD,TD,8C,loss
JS,8H,TD,JH,9H,win
9C,6D,AC,KS,7S,loss
6S,TS,QC,6H,6C,win
JS,8D,KS,KC,QH,loss
9D,QH,TS,QS,6D,loss
6S,QD,6H,8S,6D,win
AD,9H,QC,7H,JS,win
7S,JD,KH,6D,QD,win
8D,JS,AD,8S,TS,loss
8H,JS,9C,KS,QC,loss
KS,8D,7S,TD,6H,loss
AH,TD,JH,8C,7C,loss
TC,TD,AC,8C,9H,win
6H,7D,TD,9D,TH,loss
JD,AH,JS,8D,TD,loss
TS,9C,8D,AS,9S,loss
8S,AS,7S,6D,AH,win
8C,6C,JC,9H,8S,loss
QC,8C,9H,JC,TS,loss
8D,TS,TH,7H,7D,win
JS,AS,9D,7S,JH,win
AC,8D,TH,9S,QC,win
TC,6C,KC,QD,9S,win
QH,7D,QC,9C,AD,win
TC,TD,KC,AC,9D,win
TH,6D,8D,8H,QS,win
8S,6C,7H,TD,QS,loss
KC,JS,TS,JH,7S,loss
9D,JD,8D,JH,TC,win
6D,8C,9S,KS,JD,loss
6C,AS,AD,JD,7H,win
AD,AS,9S,AH,9D,win
JH,9C,QC,8S,TS,win
6S,7D,TS,QS,6H,loss
AH,JD,6D,9S,6S,loss
KC,7S,JC,JS,AS,win
9S,7C,8S,6S,AD,win
JC,AH,7S,7C,7H,loss
6H,8S,TC,AS,9C,loss
KS,7C,KD,QC,8D,loss
AS,9C,9S,QC,JC,loss
JH,6D,9D,AH,7C,loss
9C,AH,QS,KC,7C,loss
QD,QH,TC,7C,AH,win
6D,KH,6H,8C,7D,win
TS,9C,QS,KS,8C,loss
6S,9H,9C,KD,9D,win
TC,AC,6C,JH,KH,loss
8D,7S,9H,AC,7D,loss
6H,AC,9C,6C,JD,loss
8H,KH,9S,7C,7D,loss
9D,KD,TD,QH,QC,loss
7H,8H,8D,7D,QH,win
AS,QH,QS,TD,9C,loss
JS,7H,8C,7S,JC,loss
8C,6D,8D,7H,8H,win
QC,9S,KS,TH,TS,loss
KH,JH,6S,JC,9S,loss
7H,JD,JH,TD,8C,win
KH,KC,AS,8H,JH,win
KH,AD,9C,9H,7H,loss
TS,6H,AC,KD,8D,win
7H,6C,JD,8C,8D,loss
8H,TS,7H,9D,JD,win
KS,JD,TC,TS,TD,loss
JH,TH,QD,TS,7D,win
6H,7S,7D,TD,AD,loss
6C,TH,KH,8H,9S,loss
TS,7D,QS,6C,KD,loss
AC,KC,7D,AD,9C,win
QS,KC,JD,TS,AD,win
JH,9S,TH,7H,KD,win
6S,TH,7D,7S,AC,loss
7S,8C,JH,AC,QC,loss
6H,JC,7D,8S,QD,loss
8H,JD,TS,QC,KS,loss
7H,AS,7D,KC,8S,win
QH,JH,KS,8H,TH,win
8H,KS,KD,QD,TH,loss
KC,6C,9D,QC,JC,win
TS,AS,9S,KD,6S,loss
TD,9S,6C,6S,6D,win
KS,QD,TH,9D,8H,loss
QC,AD,6S,6C,TD,loss
9C,8H,KD,7S,7C,win
KD,AC,AS,7C,6S,loss
KH,QH,8S,KS,7D,win
KD,TS,6H,JS,AD,loss
AD,9H,QS,JH,7C,loss
7H,7D,8C,KD,AC,win
TS,8H,7H,8D,9D,loss
KD,JD,TD,QS,TC,win
JH,QS,AD,TD,7S,loss
JH,KH,8C,6H,9H,loss
7S,9C,AD,JC,7C,loss
AH,6C,TS,JD,AS,loss
AS,TC,JS,KC,6S,loss
AC,KH,TH,7S,9H,win
9D,8H,9H,QD,TS,win
8D,7H,8H,QS,AH,win
TC,6H,7H,8C,QH,loss
QS,QH,8S,TS,9S,win
JS,JD,JH,KD,KS,win
8D,7H,AC,6C,7D,win
6S,8H,9S,8D,8S,win
AS,KH,TS,9D,9H,loss
9S,6H,7S,TH,TC,loss
6S,7D,JC,AD,TC,loss
QD,AC,AH,QH,TD,loss
7S,7H,8H,AC,7D,win
QH,QC,7S,AS,9S,loss
QH,JS,JH,JD,KH,win
QC,8H,QS,9C,7H,loss
7H,9H,KD,TH,TD,loss
JS,8C,JC,9D,7C,win
6C,AC,8C,QS,7D,win
6D,JD,QD,QS,7S,win
QH,JC,7D,AC,KC,win
KD,7S,KH,JC,KS,win
TS,JH,TD,QD,TC,win
KC,KH,8H,JS,8S,loss
QH,QD,6H,JC,KD,win
KC,6H,TC,QS,AD,win
KD,8C,9H,7D,AH,win
AD,AH,9D,JD,7D,win
KC,KD,QS,KH,7D,win
8H,8S,KD,7S,JH,loss
9S,7D,JC,KC,6C,loss
8C,6H,KH,KC,AS,loss
AH,JD,9D,8D,7C,win
8D,JS,QS,9H,TC,loss
TH,7S,6S,KS,JS,loss
7S,QS,9C,TS,JD,win
JH,9C,AS,QS,9H,win
QS,TC,8D,AH,AC,loss
8H,8S,AC,JH,TD,loss
QD,8H,AS,JH,8C,loss
7C,AC,TS,9H,QC,loss
8D,TD,QH,8C,QD,loss
6H,KH,AC,TD,KC,loss
8H,AD,AH,8S,6H,win
8S,AC,QD,KH,QS,loss
JC,JH,QH,KS,9S,loss
6D,KC,8D,6H,QH,win
9D,AD,6S,QH,JS,win
8H,QH,KC,7H,AS,win
KH,AD,KS,AS,QC,win
KC,KH,JC,9D,8H,win
7S,9H,8D,6S,6D,loss
JD,QS,QH,KC,6C,win
8D,TC,6C,7D,AD,win
6D,QC,8D,QH,9D,win
KC,TD,QS,6H,JD,win
6D,7C,KS,9D,AH,win
9H,QH,JH,6C,7S,loss
JC,9S,KC,QS,KS,loss
8C,6C,TS,KC,9S,loss
6D,8D,8S,TS,QH,loss
9H,6S,KD,9S,6H,loss
8D,8H,JH,6C,9S,win
7D,TH,8D,JD,KH,win
TS,9H,QS,TH,TD,win
7H,QH,AC,JS,TD,loss
KH,6S,AS,7C,6D,loss
8C,JD,KS,JC,QS,win
AS,QD,8S,TS,JD,loss
8C,KS,QS,6C,AD,loss
9D,9C,TD,8H,QD,win
QD,9H,AS,JS,JH,win
TS,8D,TD,KC,8H,loss
JD,8H,8C,7D,TS,win
JD,AD,6D,JS,KS,win
KH,6C,KS,JS,QD,loss
AD,9H,KH,TH,6C,loss
6C,9S,QC,QS,TH,win
AS,6D,JS,6H,JH,win
TS,KH,9D,7S,AD,loss
AH,TC,9C,AS,KC,loss
KD,JS,AS,TD,8H,loss
JD,7D,9C,TD,TC,loss
9H,JD,KD,TD,KH,win
JH,8C,TH,6H,9C,win
TS,QH,9S,8H,7H,win
TH,QH,TS,JS,6H,win
9D,7S,JD,AC,QC,loss
6H,6C,6D,TS,7S,win
AH,KD,JH,6S,QS,win
QH,8D,AC,7S,QD,loss
8D,JS,9D,6H,AD,win
TH,AC,9D,8C,TS,win
8H,6C,9D,JD,AH,win
7D,QH,JH,9D,KD,loss
8D,JS,JC,AC,QD,win
TH,KS,9C,TD,AH,win
6D,9S,8D,8C,QC,win
9D,JC,QC,AS,9H,loss
9D,KS,7S,KH,AH,win
KD,6C,7H,8D,AC,loss
JD,8H,6H,JH,6S,win
6S,7H,9H,TD,8S,loss
6C,TD,AC,8H,7H,loss
AH,8C,9H,KC,QD,loss
KD,AC,6D,AD,JC,loss
7D,KC,9S,TS,JD,loss
6S,AS,QC,9C,JD,loss
TH,TD,7D,AH,8H,win
QC,JC,AD,QS,AS,win
8H,6C,9D,8S,JC,win
KD,8S,AC,AH,TS,win
6C,KH,9D,9H,KS,loss
KD,TC,QD,JH,7D,win
9D,9H,8S,TD,AC,loss
AH,9C,AC,JS,QS,loss
6D,QS,6S,8C,TC,loss
6S,QD,JD,8C,AS,loss
JS,8S,QD,TH,9D,loss
TS,TH,QS,7C,9C,win
9S,KD,8C,7D,6C,win
6D,9H,JH,JD,8C,loss
9C,AS,9D,KH,QH,win
AH,8S,QD,QH,9D,loss
KD,6H,6C,6S,8S,win
QC,TC,6C,9H,TD,win
9C,9H,6H,8H,KC,win
6H,8D,AC,7D,6D,loss
JC,8S,JS,KH,JD,win
7C,QH,QD,KS,JS,win
JH,9D,AH,6D,7S,loss
8C,QH,7H,8D,TH,loss
7D,8D,6H,TD,KD,win
8H,QH,AD,QS,TS,loss
9S,9C,8H,AS,QD,loss
KD,6H,JH,QD,QS,loss
TD,KD,QD,KC,7H,loss
KS,8S,TH,AS,9D,loss
