card1,card2,card3,card4,card5,bet1,bet2,result
6S,TH,6H,8H,8C,c,r,win
6C,AS,7D,9S,8D,c,c,win
QC,6S,KS,JD,8D,r,r,loss
8D,7C,AD,TS,KC,r,r,loss
8H,9S,7H,KC,TH,c,c,loss
KD,TD,8D,9S,JD,c,c,win
QD,QH,TH,KH,TD,c,r,loss
9D,9C,TS,8S,AS,c,r,loss
TD,AS,AH,9H,8D,c,c,win
QH,9C,JC,7D,9D,c,c,loss
8H,6C,6D,TS,JS,c,c,win
TH,TS,8D,KS,9H,c,r,win
JH,9C,JC,AS,KD,c,r,win
JD,6D,9H,6S,KC,c,r,loss
9C,KD,TS,8D,JS,c,r,win
JD,KS,6S,7C,KC,c,r,win
9H,AD,8D,8S,6S,c,r,loss
7S,7D,9C,QS,8C,c,c,win
TH,QH,JH,TS,7H,c,r,loss
TS,8H,8C,TC,KS,c,c,win
8S,KC,AH,7D,8H,c,c,loss
8D,TS,6C,8S,8C,c,r,win
JS,9D,TS,JC,7D,c,r,win
KC,JD,7H,AC,8D,c,r,win
8C,JS,KD,8H,9C,c,r,win
7C,TH,JH,7H,8H,r,c,loss
6D,JS,TS,6C,TH,r,r,loss
8S,8H,8D,7D,JH,c,c,win
8D,KS,AS,KC,QD,c,c,loss
9S,AC,TC,9H,7D,r,c,win
JD,7H,AC,QC,9D,r,r,win
AH,JH,QH,TC,QD,c,r,loss
KS,KC,AS,TC,9D,r,r,loss
8S,7H,9D,6C,AD,c,r,loss
TD,7D,KS,KC,9C,c,r,win
KH,KS,KC,8H,QD,c,c,win
JH,KC,6D,AS,KH,c,c,loss
9H,8C,7C,QD,7H,c,r,win
8D,6D,9H,AD,8H,c,c,win
7S,TC,6S,KD,QS,c,c,win
8H,QH,KD,JD,9C,c,c,loss
JD,AS,7D,8C,KS,c,c,loss
6S,6D,8S,AH,6C,c,c,win
QH,8C,7H,8S,9C,r,r,loss
QD,JS,AS,9D,KC,c,r,loss
AS,7D,7S,TD,JS,r,c,win
QC,QS,KH,6S,9C,r,c,win
9H,KD,TS,9D,QC,c,r,loss
6C,QH,9D,AC,QS,c,c,win
KC,QH,QS,6D,AC,r,r,win
JS,TD,6D,KS,QC,c,r,loss
KD,6S,7C,AC,JS,c,c,loss
KC,KD,8D,7D,QC,r,c,win
