card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
AC,QD,AH,QH,9S,6S,c,c,c,win
8C,6S,7H,TS,QH,KD,c,c,c,win
QH,KH,7S,7H,QC,6S,c,c,c,win
QS,AC,6S,8C,KD,JD,c,c,c,loss
AH,8H,KS,AD,JH,9C,c,c,c,win
AS,KS,KC,9S,8D,6H,c,c,c,loss
9D,AH,8S,QH,8H,JH,c,c,c,loss
AD,TC,6D,KS,TH,9C,c,c,c,win
AC,7C,9S,QC,JD,KC,c,c,c,loss
AC,AD,7S,7D,KS,8C,c,c,c,loss
QS,KD,QD,7S,JH,JD,c,c,c,win
TS,9S,8D,KD,JS,9H,c,c,c,win
7H,6H,8H,8D,QD,KH,c,c,c,loss
AC,8D,6D,AH,JD,TC,c,c,c,loss
6S,TD,JS,AC,7H,QD,c,c,c,loss
6S,7D,JS,8C,TS,JH,c,c,c,loss
JD,TC,7C,QD,8H,9C,c,c,c,win
QC,KC,QD,8H,JC,8C,c,c,c,loss
AH,6H,JH,9S,9D,QH,c,c,c,loss
8C,JC,7H,8S,KH,7C,c,c,c,win
JC,AD,TD,JS,AH,7D,c,c,c,win
9C,AC,9H,TD,9S,QC,c,c,c,win
8S,AC,9H,AD,8C,8D,c,c,c,loss
QC,7H,8D,7S,TS,KC,c,c,c,loss
6D,7S,9C,TD,AD,8S,c,c,c,win
6C,7S,TS,KH,QD,JD,c,c,c,loss
6D,JS,QC,7C,KH,6H,c,c,c,loss
JD,8D,AS,6C,8C,9S,c,c,c,win
TC,KH,9D,QC,8H,TH,c,c,c,loss
8H,9C,QD,6C,TH,JS,c,c,c,win
8C,JD,QC,9S,6H,KD,c,c,c,loss
KD,6S,JC,TC,9D,6D,c,c,c,loss
9D,TD,8D,AC,7H,9H,c,c,c,loss
7D,AC,KD,JH,JC,KC,c,r,r,loss
6H,QD,6C,TC,7D,TD,c,c,c,loss
KH,JS,QH,6S,7D,9D,c,c,c,loss
6S,AD,9H,KD,TD,KC,c,c,c,loss
8H,6D,AS,QC,8C,7D,c,c,c,win
7D,AC,6H,AS,9S,QC,c,c,c,loss
QD,TS,KS,KC,6S,AH,c,c,c,win
AC,6C,7H,8H,AD,9H,c,c,c,win
KS,TD,6S,JS,6C,QH,c,c,c,loss
7H,8C,TS,6S,9H,QH,c,c,c,loss
9S,9D,AC,KC,KS,8H,c,c,c,loss
QD,TS,8D,AS,QH,TC,c,c,c,win
KC,8D,9C,TH,QH,JC,c,c,c,loss
6C,KH,KS,9C,KC,QC,c,c,c,win
KD,QH,6C,KS,QS,KH,c,c,c,win
6D,7D,8C,QS,AS,JC,c,c,c,loss
7C,8C,JC,7D,9D,AC,c,c,c,loss
KC,8D,QH,9C,KD,7S,c,c,c,win
TD,6D,AC,KC,AS,AH,c,c,c,win
QS,9D,KS,QH,QC,8D,c,c,c,win
KH,KC,8H,QS,7D,AC,c,c,c,win
QD,9H,QH,JC,6C,TS,c,c,c,win
QS,8D,TC,JC,7H,AS,c,c,c,loss
QD,7D,JS,KS,KC,TD,c,c,c,win
KS,QS,6D,7C,TS,JC,c,c,c,loss
AD,AC,7C,8C,7H,9C,c,c,c,win
9S,JH,6D,8S,QS,TD,c,c,c,loss
AH,9D,6S,QH,7H,8H,c,c,c,loss
9C,7S,KD,KH,7D,JD,c,c,c,loss
QD,8C,KD,8H,AC,AD,c,c,c,loss
8H,8S,9H,6C,7D,6H,c,c,c,win
9S,7H,JC,6H,JS,KD,c,r,c,loss
6H,AD,JS,8S,QC,AC,c,c,c,loss
KC,TD,AC,6S,QS,8H,c,c,c,win
KS,9D,KC,AD,QS,QD,c,c,c,loss
JC,8S,9D,6C,JD,JS,c,c,c,win
AS,QC,AC,8H,6D,AD,c,c,c,win
