card1,card2,card3,card4,card5,bet1,bet2,result
7C,TD,8C,8S,6D,c,r,loss
TD,9H,JS,9D,AS,c,c,loss
JC,7H,9H,QS,8D,c,r,loss
QC,QS,8S,8H,QD,c,c,win
TD,AS,AH,QH,JC,c,c,loss
JD,6H,9S,QS,AH,c,c,loss
TS,8S,8D,8H,7C,c,c,win
JS,6D,KD,TS,JH,c,c,win
8S,9C,AD,QD,KS,c,c,win
8H,7D,QS,7C,AS,c,c,loss
6H,JC,AD,TH,KC,c,c,loss
KD,6C,JC,7S,8D,c,c,loss
6S,TD,TH,TC,6C,c,c,win
JH,6C,8S,QS,7C,c,r,loss
QS,QD,9C,7S,TS,c,c,loss
7D,TC,KD,9S,TD,c,c,win
TH,TS,7H,QD,6D,c,c,win
TH,TC,KD,JH,7D,c,c,win
TH,KS,AH,6S,9S,c,c,loss
AH,QS,TH,7H,TS,c,c,loss
6S,AD,KH,8S,AH,c,c,win
7D,TS,AD,6C,AC,c,c,loss
QD,AH,6D,AD,7D,c,c,win
6S,9H,AS,AC,JS,c,c,loss
8D,7H,7C,JC,8S,c,c,win
TD,JS,KH,QS,QH,c,c,win
QD,JS,9H,7H,QH,c,c,loss
9S,KS,8C,QD,6S,c,c,win
9H,8S,8H,7S,TS,c,c,win
QH,AH,JC,6D,9H,c,c,loss
6D,6C,AC,AH,TD,c,c,loss
AD,JD,TC,8D,6C,c,c,loss
AC,JH,TC,AS,6S,c,c,loss
6D,9C,7C,TH,8H,c,c,loss
7S,KD,JH,QC,AC,c,c,win
6S,6H,QC,8H,AH,c,c,win
TD,AS,8S,QC,9S,c,c,win
KC,QS,QD,9D,8S,c,c,win
QH,QC,AS,7D,AD,c,c,win
AC,KC,KH,QS,AH,c,c,loss
6C,QH,AH,TS,8H,c,c,loss
8S,QC,6D,JD,KS,c,c,loss
9C,AC,9H,KH,JD,c,c,win
7S,8H,QH,8D,8C,c,c,win
7H,KD,TC,9S,TH,c,c,loss
QH,6C,KC,TC,8H,c,c,loss
8S,JC,QH,7S,6D,c,c,loss
6C,9C,AD,9D,QD,c,c,win
QC,TH,KC,JC,7C,c,c,win
TC,9C,AC,9H,JD,c,c,win
9S,8C,QS,TD,JH,c,c,loss
KD,JD,AD,8H,9S,c,c,loss
9H,TH,KC,KH,6C,c,c,win
JH,KD,QD,7S,TC,c,c,win
6S,TS,JS,AS,6H,c,c,loss
6C,7D,QH,QD,6S,c,c,loss
TD,JH,AH,8D,JC,c,c,win
9S,AD,6H,KS,JS,c,c,win
7D,KD,KH,8S,QD,c,c,win
8C,6S,9C,TH,JD,c,c,win
8C,KC,QD,TD,9S,c,c,loss
7S,TH,QH,7C,QC,c,c,loss
QH,7D,8H,JC,KC,c,c,win
8D,6S,QS,JC,TH,c,c,win
7C,6H,JC,TC,9S,c,c,loss
KC,AC,AS,6D,KH,c,c,win
8H,8D,TD,QH,9D,c,c,loss
KH,9H,AS,8H,9C,c,c,loss
9S,9D,KD,QH,JD,c,c,win
JC,9D,9C,TS,8C,c,c,win
6C,6H,TC,6S,9H,c,c,win
QH,6D,JH,9D,JD,c,r,loss
6C,6S,8H,JD,JS,c,c,win
9H,7H,TD,QC,6S,c,c,win
8S,9S,7C,KH,9D,c,c,loss
7H,6D,KD,JC,JH,c,c,loss
JD,7C,JS,6H,QC,c,c,loss
AD,8C,6C,7H,TH,c,c,loss
KS,9C,AH,7D,8H,c,c,win
8S,AH,TC,QD,8D,c,c,loss
AC,TH,TD,6D,QS,c,c,win
8S,JS,8C,7D,QD,c,c,win
6S,JC,TS,9C,7H,c,c,loss
6S,8C,AH,KD,9H,c,c,loss
6H,KC,9C,JC,KH,c,c,win
9C,9H,AS,QC,7D,c,c,win
9S,8D,TH,QD,TC,c,c,loss
AC,9S,QS,KD,AS,c,c,loss
QH,7S,JD,6D,QC,c,c,win
7C,JH,QS,8D,TD,c,c,win
AH,KH,KS,AS,6D,c,c,loss
7C,8C,KD,8S,KH,c,c,loss
8D,AH,KS,QS,AD,c,c,win
JH,7H,9D,8D,8S,c,r,loss
QH,AC,TH,JD,JC,c,r,loss
TS,KH,QC,6H,QD,c,c,loss
7S,JC,QC,8H,7H,c,c,loss
9C,AD,KD,KC,9S,c,c,win
8S,JC,TD,AS,QH,c,c,win
TD,KC,9D,7H,QC,c,r,loss
6S,AD,JC,QH,6C,c,c,loss
AC,JH,TH,JS,TD,c,c,win
7D,9D,7C,9S,6C,c,c,loss
7D,8D,6D,TH,9H,c,c,loss
AC,AS,8H,QD,AD,c,c,win
JS,JC,8C,7D,TC,c,c,win
7C,TS,TH,AC,8D,c,c,loss
7H,AC,KS,9D,KH,c,c,loss
7D,6H,8D,QS,KS,c,c,loss
QC,7C,6S,JS,JD,c,r,loss
JH,9H,TC,AS,JS,c,c,loss
TH,AC,8C,TC,JH,c,c,win
QD,QH,TD,7C,8H,c,c,loss
9D,AS,6C,AH,QS,c,c,loss
TD,7C,6S,JC,9C,c,c,loss
JH,7S,TS,8H,KH,c,c,win
JD,KC,TH,9C,TS,c,c,win
6D,6S,QD,KD,QS,c,r,win
7C,JC,6D,KS,AH,c,c,loss
7C,JD,9D,AH,TD,c,c,loss
6C,QC,9D,9H,9C,c,r,loss
8H,TH,AS,TD,7C,c,c,win
JD,JC,KS,KC,TS,c,c,loss
9D,7D,6D,KC,9H,c,c,loss
AD,JS,6H,7D,AH,c,c,win
AD,9C,7H,QD,JD,c,c,loss
9S,6C,8S,AD,7D,c,c,loss
TC,6D,9H,TS,AS,c,c,win
TS,8C,KS,JS,JH,c,c,loss
8C,JS,QH,AH,AC,c,r,loss
QS,8H,TC,JD,KD,c,c,win
AH,8H,KD,6S,QH,c,c,loss
JD,AC,KS,8H,KC,c,c,win
8S,QC,TC,AD,7H,c,c,win
7C,AS,QS,8S,9S,c,c,win
6H,9H,6C,8H,8C,c,r,loss
KS,8S,AC,6S,QD,c,c,win
6C,TH,AS,QH,AD,c,c,loss
QD,JC,AC,TC,7H,c,c,win
9H,9S,JS,8S,8D,c,c,win
TD,8S,KS,7D,6D,c,c,win
6S,9S,JH,JS,6D,c,c,loss
JD,6C,QH,8C,AH,c,c,loss
QD,JD,9S,TS,TC,c,c,win
TC,TS,6H,8S,9H,c,c,win
7D,6H,KC,QD,QS,c,c,loss
TH,QH,JC,AC,AS,c,r,loss
QS,6C,TD,8C,AS,c,c,loss
6D,KH,TD,9D,9C,c,c,loss
JS,9C,TD,6H,AD,c,c,loss
9D,7H,8D,AH,JD,c,c,loss
7C,QC,9C,AS,JC,c,c,win
QC,KS,6H,AH,QH,c,c,loss
TD,6S,7H,7S,AD,c,r,loss
KD,QD,KS,TC,7H,c,c,loss
AH,TS,6S,KS,8C,c,c,win
KD,AD,KS,6H,7H,c,c,win
KD,KS,QD,8D,7D,c,c,win
KD,QH,9H,AC,7S,c,c,win
TH,KD,TD,TS,QS,c,c,win
7H,8C,JC,QH,KD,c,c,win
TS,9H,8H,7S,7C,c,c,loss
KD,QC,TC,JS,TD,c,c,win
JS,TH,6S,TC,AC,c,r,loss
AD,8C,TC,6D,9C,c,c,loss
6H,QC,JH,TD,7D,c,c,loss
6D,QC,QD,AD,QH,c,c,win
6H,8C,KH,JD,9C,c,c,loss
QH,AH,6C,7S,9S,c,c,loss
JH,7C,TS,KD,QD,c,c,win
8H,9D,8S,KC,7D,c,c,loss
9D,8S,JD,8D,9S,c,c,loss
6H,6C,QH,AC,JD,c,c,win
AC,AH,7H,KC,QS,c,c,loss
QC,AC,JD,KD,AD,c,c,win
JD,7H,6D,7C,7D,c,c,win
QD,9D,7H,7D,KS,c,c,win
6S,AC,8D,7H,TS,c,c,loss
KD,8C,TH,JS,AD,c,c,win
AH,JS,JD,9S,8D,c,c,win
7S,JD,8C,9S,KC,c,c,win
TH,TD,QS,9C,TC,c,c,win
TD,QH,7H,JH,AH,c,c,win
TS,8D,KH,9C,6D,c,c,loss
QD,QH,JD,KH,AC,c,c,win
TS,8D,AH,JD,QH,c,c,loss
6S,9S,8H,TS,AH,c,c,win
KH,6S,9D,AD,8H,c,c,loss
6H,8C,QC,8D,6S,c,c,loss
KC,TC,9C,9H,AD,c,c,loss
JH,TC,6D,AD,KS,c,c,win
TC,7S,KH,7H,AS,c,r,loss
TD,9S,AD,AH,6H,c,c,win
QC,9H,8S,8H,6C,c,r,loss
KS,AS,TS,8D,QD,c,c,loss
7C,KD,JH,JC,QH,c,c,win
TC,6C,6D,7S,KH,c,c,win
7C,JC,AH,9S,7H,c,c,win
AD,9C,8H,AS,QS,c,c,win
TH,KH,7H,AD,9H,c,c,loss
AS,KS,JC,6D,TD,c,c,loss
QH,AS,TH,7C,9C,c,c,win
JC,9D,TD,JS,QD,c,c,win
AS,8C,JH,JS,TH,c,c,win
QC,JC,QS,7D,JS,c,c,win
QS,6C,9H,TS,7C,c,c,win
AH,QH,7D,9H,6S,c,c,loss
QH,JH,9H,QC,KS,c,c,win
6D,AS,9H,6C,JS,c,c,win
KD,6C,8H,TH,QD,c,c,loss
TD,8H,TS,7C,9C,c,c,win
JH,QC,6C,TH,KH,c,c,win
QC,7H,JC,8S,6S,c,c,win
TH,8D,9H,KH,6H,c,c,win
JS,JD,6D,KC,AH,c,c,win
TH,QD,8S,AS,6H,c,c,loss
6S,7C,9D,TS,9S,c,c,loss
AD,6S,JC,KH,8C,c,c,loss
7D,7C,QH,9H,9S,c,c,win
6D,KC,JC,8D,QH,c,c,loss
AS,9S,8D,JD,8C,c,c,win
AS,TD,6D,AC,7S,c,c,loss
QH,7C,6S,QC,KH,c,c,win
TC,QH,TS,6D,AD,c,c,win
9H,JH,9S,8C,6S,c,c,loss
8D,9S,7D,QC,KS,c,c,loss
AH,9C,8H,KD,6C,c,c,loss
8S,QH,TH,KD,JS,c,c,loss
TC,KH,JD,6C,AD,c,c,loss
7S,QD,8C,TH,6S,c,c,loss
QS,8D,AH,7D,QC,c,c,win
9D,TS,6H,8S,TH,c,c,loss
9H,8D,JD,7H,KC,c,c,win
7H,QC,KC,AS,KS,c,c,loss
7H,AH,6D,JD,7S,c,c,loss
AC,7D,AH,JC,KC,c,r,loss
TS,AC,KH,8D,TD,c,c,loss
7D,TC,KH,9D,TS,c,c,win
AH,7S,AS,8H,KD,c,c,loss
KH,TH,KC,6D,QS,c,c,win
9S,TH,AS,QC,QD,c,c,loss
6D,TC,6H,9S,7C,c,c,loss
JC,9S,8D,6H,TD,c,c,loss
KD,6C,QS,JH,7H,c,c,loss
AC,AS,TD,KD,QS,c,c,win
9H,KD,JC,8H,TH,c,c,loss
7H,8H,AD,AC,TS,c,c,loss
KH,JC,JS,KC,6D,c,c,win
7S,6D,6C,AS,KD,c,c,loss
JH,9C,7H,7C,KH,c,c,loss
KD,QD,TD,8C,KS,c,c,win
TD,6D,KH,6C,QC,c,c,loss
TC,QC,AD,9H,QS,c,c,win
AH,JH,JD,6H,JS,c,c,win
TS,QH,6D,AH,8S,c,c,win
QD,7D,AD,8D,TD,c,c,win
8C,6H,7D,9S,9C,c,r,loss
QH,AS,QS,JH,KH,c,c,win
JH,QH,TC,KD,AD,c,c,win
KC,6S,8D,9H,7H,c,c,win
7S,AH,KD,QS,7D,c,c,loss
KC,9S,JS,KD,9D,c,c,win
KC,6D,QH,AC,7C,c,c,loss
9D,TD,AC,AD,KD,c,c,loss
8H,QD,7C,KH,9C,c,c,loss
QS,JH,7H,AS,8C,c,c,loss
QH,9C,JC,JH,TC,c,c,loss
JS,7C,KC,KH,JD,c,c,win
9D,7S,7D,JC,8H,c,c,loss
TD,JD,AH,KS,TH,c,c,win
6C,6D,KD,QC,AD,c,c,loss
QC,8H,JH,7S,6C,c,c,loss
TD,7S,TH,6S,KS,c,c,win
KC,8H,JD,7C,JC,c,c,win
TH,AS,QH,8C,TC,c,c,loss
JS,9S,7H,9D,AS,c,c,loss
TD,8H,KD,JC,8S,c,c,win
9C,7S,AS,JD,JS,c,c,win
AC,QC,9S,6H,7C,c,c,win
AD,9H,QS,9D,QD,c,c,loss
6D,7H,7D,JH,8C,c,c,loss
9S,AC,8H,6H,KS,c,c,loss
9S,8C,KS,6C,TC,c,c,win
QS,6C,QC,7D,7S,c,c,win
8C,QS,6S,JC,6D,c,r,loss
7D,AH,9H,JD,QD,c,c,win
9S,QS,QH,KD,QD,c,c,win
8S,QD,AH,9D,7H,c,c,loss
AC,9C,7H,KH,9H,c,c,win
QC,QS,KH,KC,TS,c,c,win
7C,9S,9D,QS,8H,c,c,win
QC,7D,AC,AD,7S,c,c,loss
TS,TD,JS,8C,9H,c,c,loss
QH,8C,8H,8D,KD,c,c,win
8C,TS,6S,8D,KS,c,c,loss
KD,AD,TD,6C,QS,c,c,loss
AD,8H,AS,8C,QS,c,c,win
TS,JD,8D,AH,JS,c,c,win
AC,AH,AD,6H,6S,c,c,win
6C,AS,JD,JH,AC,c,c,win
7C,7H,QH,KD,7S,c,c,win
KC,JH,7C,6S,6D,c,r,loss
JS,JH,AH,KH,TC,c,c,win
TC,6C,AD,7D,8C,c,c,loss
7H,QD,8H,6D,QH,c,c,win
QH,AS,7H,AD,9D,c,c,win
JC,8H,6H,TC,AC,c,c,win
8S,KS,7D,AD,QS,c,c,loss
7S,KC,6H,TH,AD,c,c,win
TS,JH,QC,6S,TD,c,c,win
8D,QC,QD,AD,7S,c,c,win
QS,TC,6C,KC,8C,c,c,loss
6D,JH,7H,KS,JS,c,c,win
QD,9S,JH,KD,6D,c,c,loss
8D,8S,TH,6C,8C,c,c,win
TS,8S,QD,6H,7H,c,c,loss
JH,KD,QS,QC,8H,c,c,win
8S,8H,8D,TH,6C,c,c,win
7H,6H,8S,QH,9H,c,c,win
7D,JD,QD,8H,KC,c,c,loss
7S,AC,8S,QS,7C,c,c,loss
JC,7D,TS,KC,6C,c,c,win
TD,TH,7C,KH,QD,c,c,win
JC,7D,9H,AS,6H,c,c,loss
QC,6C,AS,QD,TH,c,c,loss
QH,JC,6D,QC,9D,c,c,loss
JD,6C,AD,TH,AH,c,r,win
8C,QH,QS,JH,TS,c,c,win
QD,KS,8S,AS,KC,c,c,loss
7S,6C,JS,6H,QS,c,c,loss
JS,6H,JD,TH,KD,c,c,win
KS,8S,7S,9C,9D,c,c,win
QS,TC,8D,AC,QC,c,c,win
TH,TS,TC,7S,AS,c,c,win
AS,9C,KH,9D,8C,c,c,win
7D,AH,7S,7H,KC,c,c,win
TS,QS,9S,AH,TH,c,c,win
QD,JD,8D,JC,QH,c,c,win
TS,JS,JH,JC,KD,c,c,win
JC,KC,TC,7C,QS,c,c,loss
9D,AC,JC,9S,6S,c,c,win
6H,6S,KC,7S,JH,c,c,loss
JC,9H,6D,AH,JD,c,c,win
KH,7S,JS,QH,6S,c,c,loss
AC,9S,AS,QH,9H,c,c,loss
7S,9C,JS,TD,QH,c,c,loss
8C,TH,8S,KD,JH,c,c,loss
8D,QD,7S,8S,8C,c,c,win
7C,8S,9C,KH,TC,c,c,loss
9S,JC,7C,TD,QD,c,c,win
KC,JC,AD,7D,6D,c,c,loss
9C,TC,TS,TH,7H,c,c,win
7D,7S,JC,6H,9C,c,c,loss
7C,QD,AH,TS,8C,c,c,loss
TH,QS,7C,JD,TD,c,c,win
7H,JS,KC,7C,QD,c,c,win
7C,AS,KD,JH,6D,c,c,loss
TH,7S,KH,8D,7D,c,c,win
AS,TC,6D,JS,QC,c,c,win
6H,AC,8S,AH,9C,c,c,loss
TC,6S,JS,AC,9D,c,c,loss
TH,9S,8D,QH,7H,c,c,win
JS,9S,AD,QS,JH,c,c,win
AD,TD,TC,7C,TS,c,c,win
7S,QH,TD,KH,6D,c,c,loss
KS,AC,8H,6D,QH,c,c,loss
6C,9C,KH,7C,7S,c,c,loss
JD,AS,6C,KD,9S,c,c,loss
6H,AH,TC,JS,7C,c,c,loss
9H,7H,KS,TS,7S,c,c,loss
TC,9C,8D,7C,8S,c,c,win
7H,8H,7C,TH,6D,c,c,win
JC,JD,QC,8D,6D,c,c,win
JD,9S,QD,9C,6H,c,c,win
QS,6H,6D,7D,JS,c,r,loss
7D,KS,JC,QS,KC,c,c,win
QC,7S,QH,7D,8S,c,c,loss
KS,7D,JD,QS,8D,c,c,loss
KD,QS,6S,JC,KC,c,c,win
KD,TS,7H,JH,6C,c,c,win
9S,TH,QC,TC,9C,c,c,win
8S,JH,TH,AC,6H,c,c,loss
QS,AS,TS,6C,QD,c,c,win
TH,6C,QC,JD,JH,c,c,win
8S,TH,JH,8D,7S,c,c,loss
KC,AH,9S,AS,QS,c,c,loss
KD,QD,6C,TS,9C,c,c,win
KD,QD,6S,AD,9H,c,c,loss
6D,7H,9H,QD,TD,c,c,loss
AC,8C,QC,AS,KS,c,c,win
7H,6D,9H,6S,QC,c,c,win
9S,JH,KC,8D,7C,c,c,loss
AD,6S,TC,9H,TD,c,c,win
JH,6C,KD,AS,8H,c,c,loss
7C,KS,8D,7S,9H,c,c,win
QH,QS,JD,9H,9C,c,c,win
7C,6S,7H,JD,9D,c,c,loss
TS,8C,KH,8D,7D,c,c,loss
JD,7S,JS,9S,8D,c,c,loss
6D,JH,JS,8D,AD,c,c,loss
6D,7D,QH,TH,6S,c,c,loss
TS,QH,7D,AC,JC,c,c,win
9C,6C,KC,QH,AC,c,c,loss
8D,6S,TH,6H,QD,c,c,win
TH,7D,8C,KC,QH,c,c,loss
TC,7C,8C,8D,AD,c,c,win
KC,AH,7S,JD,9S,c,c,win
AH,6H,TC,9D,KD,c,c,loss
7C,KH,KD,6C,JH,c,c,win
JD,8C,QH,6D,TH,c,c,win
9D,QH,AH,QC,JC,c,c,win
JD,AS,AD,QD,QS,c,c,win
TS,JH,6D,JD,6H,c,c,win
7H,9H,JC,9S,AC,c,c,win
7D,9H,AS,JC,TH,c,c,win
6S,6C,7C,KH,TC,c,c,loss
9D,KH,JC,6S,KC,c,c,win
7H,QC,QD,8H,AH,c,c,win
TC,7C,KH,TH,QH,c,c,win
7H,6H,9C,7S,TH,c,c,loss
QH,9S,JC,8D,6C,c,c,loss
8S,8H,8D,TH,QC,c,c,win
KS,JH,KH,8H,TD,c,c,win
AC,TS,9D,9C,6D,c,c,win
KH,6H,KS,6S,QD,c,c,win
KH,KS,6H,TS,QH,c,c,loss
TH,7C,KD,TD,6H,c,c,loss
KS,TC,AC,TH,9D,c,c,win
KH,7C,KD,6D,JS,c,c,win
AC,TD,6D,9H,7H,c,c,loss
9C,AD,6D,JC,6C,c,c,win
KH,AH,8S,JS,KS,c,c,win
9H,8D,JC,KC,TH,c,c,loss
7S,TD,AH,JS,7C,c,c,loss
7C,9C,6S,8H,KH,c,c,win
6D,QD,KC,TC,8D,c,c,loss
8D,JS,9S,QS,8H,c,c,win
QH,7C,7D,JS,AC,c,c,win
QH,6H,KC,TD,TS,c,c,loss
KH,7C,AS,7D,8S,c,c,loss
KH,TD,QS,7H,JS,c,c,win
7H,8C,KC,9S,8H,c,c,loss
7S,JS,AH,9C,9D,c,c,loss
9S,8D,JH,9H,JD,c,c,loss
KD,KH,7S,KS,8H,c,c,win
KS,QC,9C,KD,QD,c,c,win
TC,AC,AD,AS,QD,c,c,win
TH,JC,8C,9S,7S,c,c,win
9H,9D,JS,6D,KC,c,c,loss
KH,KC,6S,QC,JC,c,c,win
6C,8S,6H,6S,9D,c,c,win
8D,TC,JS,KD,JH,c,c,win
TH,6C,7S,QD,6D,c,c,win
QD,AC,JC,9H,7C,c,c,win
9S,QC,TC,6H,AD,c,c,loss
TC,9D,6H,QH,TS,c,c,win
7D,6C,AC,9S,8S,c,c,loss
8H,6C,QD,7S,AD,c,c,win
TD,KD,AS,KS,7C,c,c,loss
6H,QC,JC,9D,9S,c,r,loss
7D,9C,9H,QS,JS,c,c,loss
TS,JD,9C,JH,9S,c,c,win
TC,9H,6S,KH,KS,c,c,loss
8H,9H,AH,7D,8D,c,c,win
JS,TH,9D,KC,6H,c,c,loss
AD,QS,KC,7C,JD,c,c,loss
JH,TC,TH,7D,9S,c,c,win
QH,9S,8H,TC,7S,c,c,loss
JC,9C,AD,8D,JH,c,c,win
JD,8C,8S,TH,6S,c,c,loss
6D,TH,KD,6S,9D,c,c,loss
JH,AH,KS,AD,TS,c,c,win
QS,7C,QC,9D,JH,c,c,win
KC,KH,9C,TS,JH,c,c,win
6D,AS,JH,KH,9C,c,c,loss
QH,QD,6H,9C,7D,c,c,loss
TD,8S,JC,6S,QH,c,c,loss
9H,KH,AS,KD,JC,c,c,win
AS,7H,AH,7D,QH,c,c,win
AS,AD,AC,KC,7S,c,c,win
8S,8D,AC,QS,JD,c,c,win
6H,TS,6S,TD,KC,c,c,win
KS,QC,8D,JH,7D,c,r,loss
AD,7S,8D,QS,KD,c,c,loss
AH,QS,QD,6D,9C,c,c,win
AH,JD,AS,TC,QC,c,c,loss
TH,JD,7D,8H,TS,c,c,loss
AD,8C,6C,KD,9S,c,c,loss
QS,AS,8C,9C,TS,c,c,loss
JC,9C,8H,6C,JH,c,c,win
6H,TC,QS,7H,6D,c,c,win
TD,6S,TS,9C,7S,c,c,win
6D,QS,QD,AC,8S,c,c,win
7H,7S,KH,JS,TH,c,c,win
AS,7S,AD,9C,8S,c,c,win
KS,AD,6C,TD,9C,c,c,loss
9C,AH,TC,AS,9H,c,c,win
AH,7H,6C,7C,KH,c,c,win
KH,AD,TC,JH,AS,c,c,win
TD,KC,AD,TS,KH,c,c,win
7S,7D,8H,9S,8C,c,c,loss
6S,QD,7D,QS,9H,c,c,win
6D,AS,6C,TD,9H,c,c,loss
JS,KD,KC,AH,JD,c,c,win
TS,TD,JS,9D,JD,c,c,win
9S,7D,QH,KS,AC,c,c,loss
AS,TS,7H,QD,KH,c,c,loss
9S,8C,JC,TH,TS,c,c,win
JD,TC,KH,JH,6H,c,c,win
7D,KH,AD,QD,TD,c,c,loss
AD,AC,TC,JC,6C,c,c,win
TS,TD,AS,QH,KD,c,c,win
TD,AS,TH,KC,QC,c,c,win
AC,6H,8C,9S,KH,c,c,loss
TS,6S,9H,7D,AS,c,c,loss
8S,6S,AS,JC,TC,c,c,loss
AS,8D,QS,7H,KH,c,c,loss
8H,6H,AH,8S,JC,c,c,win
TD,7C,TC,KH,JH,c,c,loss
9H,9D,KS,KH,8C,c,c,loss
KH,QD,9H,TS,QC,c,c,win
TC,TD,6H,AC,KD,c,c,win
AH,6C,KH,KC,9S,c,c,win
TH,JD,9D,7H,TS,c,c,win
QC,TH,AC,TC,9S,c,c,win
QD,TD,6H,JC,7D,c,c,win
KC,QH,9S,JD,6S,c,c,loss
KH,6D,8D,KC,AC,c,c,win
9C,JH,AD,7S,JD,c,c,loss
7H,7C,6H,KS,8D,c,c,loss
9S,KC,6S,8H,KD,c,c,win
AC,QC,9C,QS,AS,c,c,win
9H,7D,TD,6H,6D,c,c,loss
JD,7C,9C,8C,AD,c,r,loss
QH,AD,6D,TS,AH,c,c,loss
8C,AC,AD,6S,QC,c,c,win
8S,JD,6S,AH,9H,c,c,loss
TS,7C,8D,JS,7D,c,c,win
7D,8S,AD,AH,AC,c,r,loss
9H,AS,AH,6H,9S,c,c,win
9C,8H,8S,6H,6D,c,c,loss
AH,7S,6D,9S,QH,c,c,loss
AD,8S,QC,TS,7D,c,c,win
9S,JS,7C,AC,TC,c,c,win
AD,KS,AS,9H,8C,c,c,loss
TS,TD,8H,AS,6D,c,c,win
7D,KH,6D,AS,8S,c,c,loss
7C,7S,QH,AC,6S,c,c,win
9S,QD,8D,QS,8H,c,c,win
TS,KD,JD,7S,AH,c,c,win
QH,KD,AS,AD,9D,c,c,win
QD,QC,QH,8S,8D,c,c,win
KS,QS,KD,QH,9D,c,c,win
JH,6C,TH,6D,TC,c,c,win
9D,QH,QS,KS,8S,c,c,win
KH,TC,9D,7H,QS,c,c,loss
QD,JC,JS,9C,8D,c,c,win
KD,QH,7C,TD,8S,c,c,loss
AD,QS,6H,9C,KH,c,c,loss
QC,QH,KC,9H,7D,c,c,win
8H,TD,6S,AC,8C,c,c,win
8S,JH,AH,JC,JD,c,c,win
TC,7D,KH,6S,JH,c,c,loss
9S,QH,QS,6H,JC,c,c,win
JS,9C,6H,7D,AS,c,c,loss
8D,8S,6S,KD,7S,c,c,win
JC,6S,6D,9S,7D,c,c,loss
AD,AS,9S,QH,JC,c,c,loss
9S,QH,6C,9H,JD,c,c,loss
6S,8H,JD,AS,QC,c,c,loss
TC,6C,TS,7C,QH,c,c,win
8D,TD,KC,9C,AC,c,c,loss
6D,QH,JC,TH,AS,c,c,win
TH,9H,8C,9D,8D,c,c,win
AC,QD,7D,KH,6D,c,c,loss
QS,TH,AS,6C,TC,c,c,win
7D,TC,JC,AD,7S,c,r,loss
KH,7C,AD,7S,7D,c,c,win
JS,TH,TD,9S,AC,c,c,loss
8C,JS,KH,8D,6S,c,c,loss
JS,KC,KS,TD,JD,c,c,win
6S,7H,JD,TC,QC,c,c,loss
7D,JH,TH,JC,6H,c,c,win
AD,9D,JD,7H,AS,c,c,win
9D,TD,8S,JC,AC,c,c,loss
KH,JS,6D,9D,6C,c,c,win
8S,AH,7S,TS,KD,c,c,win
8D,6S,KD,8H,KH,c,c,win
7C,7D,8D,8H,KD,c,c,loss
6D,JS,AC,7D,JC,c,c,loss
TH,7C,9D,TS,7H,c,c,loss
AH,TS,7S,KD,8D,c,c,loss
JS,9S,8C,9C,7H,c,c,win
8D,9H,8C,KD,6S,c,c,loss
TH,6D,AH,8S,9D,c,c,win
QC,JD,9D,TH,6S,c,c,loss
8C,9D,JH,JS,AC,c,r,loss
TC,QH,KD,JC,TS,c,c,win
TS,8D,9S,AS,7S,c,c,loss
JC,9S,AC,QD,KD,c,c,loss
QD,7C,KS,AD,TC,c,r,loss
7D,6S,QH,TC,9C,c,c,loss
7C,7H,QC,AH,AS,c,c,loss
JS,KD,6D,6C,9D,c,c,win
QD,QH,JS,7C,QC,c,c,win
JD,7H,KC,9S,KH,c,r,loss
AC,QS,AD,TD,6C,c,c,win
7S,KS,QS,6D,TH,c,c,loss
JS,9C,6D,TC,QS,c,c,win
AC,QH,8H,JC,KC,c,c,win
KS,JS,8S,TH,QH,c,c,loss
JS,8C,QH,AH,KS,c,c,loss
AS,AD,6H,TD,7S,c,c,win
7D,JS,TS,6H,JC,c,c,loss
7H,AH,8H,AC,TH,c,c,win
TD,6D,KS,9C,8S,c,c,win
7S,QD,6S,JH,7D,c,r,loss
6C,7C,TH,7D,JC,c,c,win
6H,QC,AH,7D,7S,c,r,loss
9D,8D,KH,8S,9C,c,c,loss
7S,QC,7C,9S,QS,c,c,win
QS,JH,7D,9S,8C,c,c,loss
QC,7D,AC,QH,8D,c,c,win
6C,8C,JD,AH,QS,c,c,loss
KC,QS,7S,QH,KS,c,c,win
KC,JC,AH,JD,TD,c,c,win
9H,QD,KC,6S,JC,c,c,loss
8H,JD,JH,KS,KH,c,r,loss
JH,7D,TH,6H,AC,c,c,loss
AC,7H,AD,8D,JC,c,c,loss
8C,9C,TD,8D,TH,c,c,loss
KC,AC,QS,JS,8H,c,c,win
6C,8C,7S,6H,QD,c,c,win
QH,QC,8C,7C,9D,c,c,loss
9H,AD,8H,7C,9C,c,c,win
TC,7S,TS,JS,9H,c,c,win
9D,KS,7D,8S,9C,c,c,win
TS,9S,KS,6D,QH,c,c,loss
9S,KD,QS,7H,7S,c,c,win
6H,AD,8S,7S,7D,c,r,loss
KD,AS,QS,7C,TD,c,c,loss
7C,KH,6S,9H,7D,c,c,loss
JC,7C,7S,AH,KC,c,c,loss
KH,8D,KD,6D,9S,c,c,win
7D,AS,9D,7C,KH,c,c,win
QS,AS,7S,QD,6D,c,c,win
6C,KD,TD,JS,KC,c,c,win
8D,9H,7H,TC,QH,c,c,loss
KS,AH,AC,QS,TD,c,c,win
JC,8H,7D,KS,8C,c,c,loss
