card1,card2,card3,card4,card5,bet1,bet2,result
JD,QC,9C,KC,6D,c,c,win
8H,6S,9D,8C,KS,c,c,loss
QH,AS,JD,7H,7S,c,r,loss
TS,9S,9C,7C,AH,c,c,loss
QC,TH,8C,TD,7C,c,c,loss
KC,TC,9C,7D,8C,c,c,loss
QD,JH,7D,QC,KS,c,c,loss
6C,KD,8C,7D,QC,c,c,loss
7D,TD,8S,TH,7S,c,c,loss
7H,JD,TS,JS,7C,c,c,win
8S,AH,KS,AC,9D,c,c,loss
7C,KS,JC,KH,8S,c,c,loss
TS,7D,8S,9H,QS,c,c,win
8D,7D,9C,6C,9S,c,c,loss
KS,AD,6H,6D,JC,c,c,win
6S,6C,KD,AH,KS,c,c,loss
TC,JC,9D,8S,TH,c,c,loss
QD,6S,KC,TS,KH,c,r,loss
QS,6D,9S,TH,7C,c,c,loss
6H,8C,KC,KH,AH,c,c,loss
7D,QH,AS,KH,JC,c,c,win
6H,8H,AS,6D,AD,c,c,loss
JC,AD,KS,AS,6H,c,c,win
KH,7D,TS,8S,TD,c,c,win
9D,TC,TD,QH,JS,c,c,win
6C,7S,9S,QS,7H,c,c,loss
9S,KH,9H,7H,KD,c,c,win
AC,6S,8C,AS,JS,c,c,win
8H,7D,AC,6C,6S,c,c,loss
8S,8H,TS,7C,9C,c,c,win
7H,JS,JD,6H,7D,c,c,win
7H,6H,7S,QS,8D,c,c,loss
9D,6D,TC,QH,AD,c,c,loss
TC,KS,QS,AD,6S,c,c,loss
JD,9D,6H,TH,KS,c,c,win
TC,9C,JC,KS,QS,c,c,win
AH,KH,9D,QC,TD,c,c,loss
TS,JD,AD,7D,TH,c,c,win
QD,6H,9H,AH,6D,c,c,win
AC,6H,7H,TH,AS,c,c,win
6C,KS,7D,AD,TD,c,c,loss
KC,TH,QH,8S,AS,c,c,win
JD,JH,TD,AC,6S,c,c,win
TH,JS,AD,AC,7C,c,c,win
KD,AS,AH,7H,6H,c,c,win
7D,TC,9C,JD,KC,c,c,loss
7C,7D,JD,9S,QD,c,c,loss
9D,TS,TH,TC,8D,c,c,win
