card1,card2,card3,card4,card5,card6,card7,result
9D,6D,JH,9H,QS,JD,JC,win
AS,8H,8D,7S,AH,6S,9C,win
7C,9C,9D,8S,KC,QH,7H,win
JH,QS,JC,9C,7D,KC,JS,loss
6D,JS,9C,TD,TH,QH,6S,win
7D,7S,AD,QH,9C,TC,8C,loss
KH,9D,TC,9H,QC,TH,AS,win
KH,KC,8S,TH,9D,TC,8H,loss
JH,JD,JC,9S,8D,7H,8H,win
JC,JH,KH,KS,KC,6C,8S,win
JC,JH,TS,6D,6C,8D,JD,win
JD,KH,8H,7C,JS,9C,9D,win
TD,6D,7C,TC,KC,9C,8C,win
JD,9C,TD,AS,AC,KS,QC,win
TC,6D,JS,JD,9S,QC,AH,loss
QH,8H,8D,QS,9H,TS,7D,loss
KS,6D,6H,TS,KD,7D,8S,win
JH,TC,QH,7C,TS,8D,9C,win
7H,7D,6H,TH,9C,AH,8C,win
QH,KC,6D,7S,TS,8S,TD,loss
6H,JC,QD,TC,8H,KS,QS,loss
9C,TC,9D,KD,QD,7D,6D,loss
7C,TD,AH,JH,7S,QD,QC,loss
9S,KC,7D,8S,JC,9C,AH,loss
AH,6C,JH,AC,8C,8H,KD,win
TS,TD,AC,9H,7S,8S,7C,win
9D,KD,6C,JC,TS,6H,8C,loss
6H,8S,7D,TH,KS,JD,AH,loss
KH,8C,JH,9H,TH,AH,KC,loss
8H,6C,JS,AD,JH,TS,7S,loss
7S,AS,8H,TC,TS,AD,8C,win
9C,8C,QD,QC,TH,KH,JD,loss
AC,7S,7C,6C,JH,9H,QH,loss
8C,KC,AC,AS,JS,7H,6C,loss
AS,7S,QH,8C,9D,AC,9S,win
KS,7C,AS,JH,6H,7D,JS,win
6D,7H,6S,7D,7S,JD,JS,loss
TC,8C,TD,KC,6D,KS,9C,loss
9D,TS,TD,TC,QS,7H,JD,win
9C,QH,AS,JH,AD,JD,KD,loss
8C,9C,QS,KD,TC,AD,6S,loss
6C,8C,AC,QS,6S,9S,7D,loss
QH,TC,9H,QC,JD,6D,7H,win
8C,9H,KS,TS,JS,QS,8S,win
QS,6C,KD,KH,6S,9H,AD,win
TD,8H,JD,6S,9D,7C,KC,win
8C,AH,KS,7H,AS,QS,7C,win
KD,TS,JC,QH,TC,9H,8H,loss
KH,AH,KD,9H,JC,KS,JS,win
6H,8C,7H,AC,TH,AH,6C,loss
AD,AC,9C,7D,QC,QD,KS,win
AH,6C,QH,JD,8C,7H,KC,loss
9C,TC,QS,KS,8D,7D,8H,loss
9S,8S,KD,6D,JC,8C,KC,win
6D,JC,7S,JH,KS,9C,6H,win
8C,QD,6S,6C,6D,8D,8S,win
7C,KS,9S,AS,AH,7D,JD,loss
JH,6C,AD,QC,9S,6D,9H,loss
AH,QC,7D,JS,JC,9C,6D,loss
7D,AS,TS,KS,AC,KH,JH,loss
AD,JH,QH,7C,9S,7H,KS,loss
AH,8H,TD,7H,7D,6D,9D,loss
7D,AS,7C,KD,TC,9H,QH,loss
KD,8C,9C,9S,AD,TD,KH,win
9S,8H,JS,QD,QS,8S,AD,loss
AC,AS,9H,KD,8S,8H,KC,win
KC,TC,8C,JH,7D,KS,JS,win
AD,JH,7C,8D,JS,KD,QH,loss
JH,AS,AH,TC,9H,TD,7S,win
9C,7S,9H,QS,AC,JS,TD,loss
7S,7H,6C,JH,AD,7C,QS,win
JC,8C,AH,JH,8D,JD,6D,win
KD,AC,TS,AD,KC,6S,8S,win
6D,QS,QH,7H,7S,TH,QD,win
KD,6S,6D,7C,AH,7H,9S,win
6S,8S,QD,8D,JH,9S,JD,win
TS,8C,KS,JC,QS,KD,8D,loss
QH,8C,9C,QC,JH,KC,JS,loss
AS,QC,QS,7H,KH,7C,8S,win
AH,8D,TC,9H,6C,7H,7C,loss
6C,KS,JD,9D,AH,QH,TD,win
QC,QS,TD,KD,7S,AC,7H,win
9C,AD,JS,JH,TH,AC,AS,loss
6D,6H,9H,KC,8S,QH,KS,win
9C,TC,QS,7D,6H,8H,8C,win
7H,TS,6H,6D,TD,AS,8D,win
AD,9S,6S,7D,QH,TS,6H,loss
8H,TD,QH,8D,7D,JS,AC,loss
QC,QH,JH,6H,AD,9D,8S,loss
6H,AH,AS,QH,QD,8S,KC,win
QD,AS,TD,7H,7C,KC,9C,loss
QS,QC,8D,KH,TS,JS,JC,win
9H,KD,JC,QD,TH,AS,7C,win
AH,JH,JC,8C,AD,KS,QS,win
8C,6H,JH,KS,9D,7D,8H,win
AD,JS,7H,AC,8D,9S,TD,win
QC,8D,TD,QS,6D,7H,7S,win
TS,8H,8S,KS,TC,QS,TD,win
JC,8D,QH,JD,9D,7D,JS,win
7H,6S,9S,8C,KH,8S,TS,win
JH,8C,6H,AH,TH,QH,TC,win
TS,7C,QH,KS,JH,9H,QC,win
QD,8D,TD,JS,TC,6C,KC,loss
JS,KH,9D,JD,JC,TC,TS,win
9D,AS,TC,AD,8C,QS,QH,loss
QC,JC,9D,8C,6D,TH,KS,win
KC,8S,QC,TS,9D,AH,AD,loss
9H,6S,KS,KC,QS,AH,JS,loss
AS,8D,JC,8S,9H,8C,9D,win
JD,AH,QC,9D,AD,KS,9H,win
8C,JH,JD,KC,7H,KS,QD,win
AC,KS,KC,6D,8C,TD,QC,win
AC,6C,7S,JH,7C,TH,6D,win
KC,AS,8C,QS,6C,QD,JH,loss
JC,9S,6S,QC,8S,6D,AD,loss
8H,6C,JS,QD,AS,QS,6H,win
TD,8C,8H,AD,6S,JH,KD,loss
TD,8D,TC,6S,KC,JH,9H,loss
QD,9S,6C,6S,QS,JS,7D,win
8H,8S,JS,QD,KH,7D,TD,loss
AC,KD,6H,KC,7H,QC,7C,win
