card1,card2,card3,card4,card5,card6,card7,result
8S,6C,KC,JC,8D,7C,9S,loss
QD,QS,7S,9H,AH,9D,7C,win
7C,8D,TH,7D,QS,8C,QH,win
KH,7S,TH,QH,JD,KD,TC,loss
6D,JS,TS,JC,AD,TD,JH,win
8D,TS,QC,9D,6H,JD,KS,win
9H,6D,7D,QS,9S,AD,TH,loss
9C,JS,6H,TC,AS,8H,8S,loss
JS,AD,9C,TH,TC,8H,KH,loss
7D,6S,6H,QS,AC,JS,9S,loss
9D,7C,6C,8S,KH,JC,AD,loss
JC,7C,AD,KD,8H,JD,8C,win
8H,6D,QH,TC,JH,QD,KS,loss
6H,9S,KH,7H,8H,7C,TS,loss
AC,KC,JC,JH,TH,KS,8S,win
JH,AH,KD,AD,8D,TS,7H,win
KD,KH,7H,8C,TD,AC,9S,loss
8D,9D,KC,8S,9C,JS,JD,win
QD,TS,JS,QH,TD,6S,AC,win
JS,8C,TS,8S,7H,7C,9H,win
8C,AH,JD,6D,KC,JH,9H,loss
TD,TH,JD,6H,AS,QS,AD,loss
KS,JH,6S,6C,JD,TD,7D,win
AH,7D,KS,KD,TD,8H,9H,loss
7H,6C,TH,7D,6S,6H,QC,win
7S,AD,AS,AH,TD,JD,TC,win
9S,JS,AS,TH,9D,7H,8H,win
7C,9H,KH,JD,9C,8S,KC,loss
TH,KC,JS,6C,8D,9S,9D,loss
JS,QH,AC,AH,QS,KC,6S,win
AS,9D,6S,TH,9H,QC,JS,loss
KH,6S,AD,7S,9C,JC,8S,loss
9H,TS,KS,6C,7S,9C,AC,win
TC,JS,TH,7S,9D,KH,AS,win
7D,JH,TH,AC,TC,7S,6D,win
AC,8S,JH,8D,6D,AS,KH,win
7C,9H,AS,QH,6H,TC,8D,win
TC,AD,9S,9D,7S,QH,JS,loss
9H,TD,TS,AS,QS,8C,TC,win
KD,6H,6D,AD,8D,TC,7C,loss
TH,JH,6D,JD,KC,QC,9H,loss
KS,8S,7H,JH,QC,QD,QS,loss
9S,6C,7D,7S,8S,TC,7H,loss
JS,KC,TC,JC,QS,6D,QC,win
9C,6C,QD,6H,7C,TC,AH,loss
AC,8H,AD,QD,QC,7D,KD,win
TS,QD,9D,QH,7C,KH,6C,win
8C,8H,AC,7D,JC,9S,QH,loss
KC,AS,KH,9D,JH,AH,AC,win
KD,TC,QC,6S,AC,9C,QD,loss
6C,AD,KD,6D,TH,KS,AS,win
6H,TH,7S,7C,9D,9H,JS,loss
QS,8C,QC,TH,KS,8S,9C,win
JS,8S,9S,KD,AD,8C,QH,loss
6S,6C,8S,6D,QH,7C,JC,win
9H,TD,KS,JC,6D,6S,7C,loss
JH,KH,8S,KS,AH,6S,KD,win
9D,6S,7D,8C,TD,9S,TH,win
9S,JC,9D,AS,QH,KS,6D,loss
QH,TC,KS,TD,6H,KD,6C,win
7D,JH,AS,KH,7H,QH,QD,win
8C,QS,7S,JC,QH,6C,7C,win
9H,JS,7C,9D,8H,QH,9S,win
TD,AD,JS,QD,7D,7C,JD,win
9D,QS,AH,6S,9C,8C,JC,loss
AH,QH,7H,9S,QS,8C,7D,win
7C,6H,8S,TD,8H,7D,AD,win
QD,7H,JC,6H,QC,AC,8S,win
AD,QH,9C,TS,9D,7C,7D,loss
JD,AC,9S,JH,TH,7H,9D,loss
JD,JH,7S,9C,QH,AC,9S,win
QD,KH,AC,QS,6C,7S,KD,win
8C,QS,7S,9D,JH,AH,QH,win
9C,TC,6S,TS,7H,KH,7D,win
8S,TS,TH,KH,TD,AH,9C,win
8S,QC,9S,7S,JD,KC,AS,loss
AD,7D,8D,QC,TD,AC,9S,loss
8C,QC,6S,TS,AD,QS,QH,win
8S,7S,JS,7C,6D,QC,9D,win
TS,AS,TH,KC,6C,7D,QH,win
KH,9D,JH,6H,6D,QS,AC,loss
7C,8C,TS,JD,9S,JH,6H,win
TC,9H,QD,8C,TD,AD,QS,win
7S,9D,QD,AC,QH,9S,JC,loss
JS,6C,8S,8C,JH,AD,TH,win
6H,JH,AS,8H,QD,7S,9D,loss
QC,7H,AS,7S,8D,6D,JH,loss
AD,9C,6C,8D,9S,7C,6H,win
9S,7S,9H,6S,AC,8H,AD,win
7H,AH,JD,6C,JC,AC,KC,win
QS,9D,KH,JH,KS,TD,8D,win
8H,7D,KS,JS,8S,JD,QC,loss
JC,TD,JD,TC,9H,6H,JH,win
KC,JC,6S,QD,AH,AS,7H,loss
8C,JH,8S,JD,KC,9D,AS,win
TC,KD,AH,JS,KH,QC,TH,loss
JS,QD,KH,AS,8D,QH,7S,win
6D,8D,AS,AC,QS,TH,8C,loss
JD,TH,KD,TS,JC,6S,6C,win
KH,6D,KS,TC,TD,9S,9H,loss
6C,9D,KH,TS,9C,AH,AC,win
8C,9C,KD,JD,6D,6S,TD,loss
7H,JC,KH,JD,9S,AC,TS,loss
6H,TH,8C,AD,QS,QC,8S,loss
AD,AS,9S,7C,6D,6H,JD,win
9D,QH,JS,AD,TH,JC,QS,loss
JH,6D,KH,KD,TD,AH,7H,loss
7C,8C,6D,6C,QC,9C,JD,win
8S,9S,7H,JD,AC,6S,9C,loss
KS,AD,8H,AC,7D,6H,9H,win
KC,9D,6C,8C,JS,7H,9S,loss
9C,6H,9D,JD,KH,QS,JH,loss
JC,QC,TS,7D,KH,QS,6C,win
JS,7S,AH,JH,6S,9C,QC,win
QH,JS,8C,TC,6D,8H,JH,win
AC,AH,7S,6D,9H,JC,QH,win
8S,QH,AH,AS,6C,JH,7H,loss
6H,QC,8S,6C,7D,TC,7H,win
TC,9D,QD,7C,TH,7H,AC,win
AS,9C,AC,8D,JS,KC,7D,loss
8D,TC,7D,AD,9D,AC,JD,win
KS,8C,TS,QD,7C,8D,9S,win
KD,7D,6D,AH,9C,7H,7C,win
TC,6S,9D,JC,QC,9H,7H,loss
QC,6D,QS,8D,9H,TS,7H,win
8C,8D,JC,JD,6D,KH,KD,loss
6H,JD,6S,TS,QC,JS,QH,loss
JC,AD,TC,QD,JH,6D,8D,loss
7D,QS,QC,JH,AS,JD,9D,win
8D,AD,7S,8C,TH,QH,AS,loss
7S,9H,AH,7D,TH,QD,JS,loss
8H,JC,9D,AS,TH,KS,7H,win
9H,8D,KC,6H,TS,TD,7S,win
6S,9D,JD,QD,8H,7H,TS,loss
9H,7H,JH,JS,6H,9S,8S,win
7S,TC,QH,JS,JH,6D,9C,loss
KD,AH,TD,QC,9H,QH,8C,loss
KC,9D,AS,6S,7C,TS,KS,loss
QC,AH,QS,7H,8S,TD,TC,win
8C,6D,TH,TD,JC,AC,7D,loss
QS,JS,6C,JC,9C,AS,9H,win
6C,8D,TS,JC,6D,KS,KC,win
TC,AH,KC,6D,AD,9H,JD,win
AH,TH,KC,7D,JS,QC,TD,win
JH,KC,TC,7S,JD,AS,8H,loss
AC,7H,KH,QH,6H,KS,TD,loss
QC,9S,JD,8C,AH,AD,KS,loss
7D,7S,AS,QD,AH,TS,KH,loss
9H,JS,6S,8H,KH,AC,JH,loss
KH,AD,KD,8S,8H,JC,TD,loss
KS,8C,6H,KH,AH,7C,KD,win
AC,8S,JD,6D,QD,8H,9D,loss
KH,KC,9D,KS,TH,QD,AH,win
8D,KS,AH,JD,JC,JS,8H,win
7H,8S,AD,QD,7C,TC,JD,loss
AD,9S,AC,8S,QC,KS,KD,loss
TD,TC,QC,9S,KS,9C,6D,win
6D,AH,JH,AS,8C,6H,7D,win
AC,KH,6S,8D,6D,TC,9C,loss
8C,KD,TD,AC,9H,AH,JS,loss
AD,7S,QD,AH,KC,JC,9H,loss
AH,8S,6C,KC,6D,JS,TC,loss
6C,9H,7S,QH,KC,TC,8H,win
TS,KC,8C,8S,JC,7D,6S,loss
6D,AD,TC,7D,7S,KC,QS,loss
QH,JH,QD,KD,9D,7D,6D,loss
9H,6C,9S,JH,QC,TS,AD,loss
8H,8C,QH,QC,AC,6C,9C,win
QC,QH,TC,KD,JD,7S,TS,win
TH,9C,8C,8D,9D,AH,6S,win
KS,KD,9S,QH,KC,JD,8S,win
6D,AH,JS,9C,QC,9D,7S,loss
8C,TS,QC,QH,7D,8D,TH,loss
7D,9C,QC,6H,9H,AH,JH,loss
TS,6H,9S,JC,AS,7H,6S,loss
AC,7H,JS,8C,7D,AS,9S,win
9D,9S,8S,QD,AH,9H,9C,win
TS,KH,6D,7H,6C,JH,QH,loss
JS,TS,6D,8C,AS,9S,KC,loss
9H,KH,JC,TD,TH,KS,QD,loss
6H,TS,QS,6C,JD,JC,6D,win
KC,JH,6H,KD,6S,AS,QC,loss
AS,QS,QD,8H,KS,6H,8C,win
QD,KD,7H,9S,KH,TS,7S,loss
7D,7S,6H,6S,9C,7H,9D,loss
7D,6S,8C,AD,9S,KD,9D,loss
8H,8C,KS,TD,QC,9D,7D,loss
8D,6S,KS,9H,8H,9C,QC,win
8S,9H,9S,KS,6H,7C,8C,win
7S,QC,QS,TS,TC,8D,9C,loss
6D,8C,AC,QS,9D,TS,QC,loss
QH,7D,AH,QD,JH,9S,6S,loss
7C,7S,QD,JS,KD,QC,7H,win
QD,6D,7S,AC,QH,8D,KS,loss
8H,6D,JC,JH,QC,9D,TC,loss
AS,6H,6D,7H,6S,QC,9S,win
TS,8C,8S,9D,8D,6H,QH,win
7D,TD,7S,QC,KC,6D,7H,win
TD,AD,KD,JS,6C,9C,TS,win
TC,JH,8S,JS,9D,7S,QS,loss
QC,TC,TD,TH,AH,TS,QH,win
6H,QH,QC,8S,QD,JH,7D,win
9D,TC,AS,6C,QD,8D,6S,loss
9H,7C,8S,QH,TS,TH,7S,win
8H,JD,QS,KS,6D,6H,8D,win
6H,KD,KS,9C,8D,QD,6C,loss
9S,6H,KS,TH,9C,QH,AD,loss
6S,QS,JC,QD,8S,7H,JH,win
TS,KD,8H,7S,QD,9H,JH,win
KC,9S,KH,9C,7D,8H,8S,loss
JH,8C,QS,TC,JD,7D,KS,loss
9D,AS,7D,7S,QH,8H,7H,loss
7D,QH,9D,JS,6D,TD,JD,win
JC,TH,JH,6H,TC,AH,KS,loss
6S,QC,TH,JS,7H,QH,AH,loss
9S,QS,9H,KD,7C,6C,8C,loss
QC,KC,AS,TD,7H,AD,QH,win
KC,6D,AS,6C,7D,KS,9D,win
KH,JC,KC,8D,AH,AD,KD,win
TS,6D,AS,7D,AC,8D,8C,loss
TS,8H,QS,QD,KS,9H,7D,loss
6S,KD,QS,8S,TD,JS,6C,loss
TH,9C,6C,TD,QC,QH,7H,win
KC,AD,QD,8C,7S,QH,6C,loss
7S,7D,9C,8C,TH,QS,9H,loss
6H,QS,9C,KS,QH,TH,KD,loss
9S,TS,TH,9H,6C,JC,JH,loss
9S,AD,QS,6D,TH,7D,8D,win
KD,QC,AD,AH,KC,QD,QH,win
6S,JH,AH,AC,7H,7C,JD,loss
9S,QH,7C,8H,8S,8C,9C,win
QS,QC,6C,KH,QH,QD,6H,win
AD,QH,7S,JD,KH,7H,TD,win
JD,7C,9C,AH,JS,KC,8S,loss
8S,QC,8D,TC,9C,JH,9S,loss
QC,AH,8H,7D,KS,9D,AC,win
TD,8D,KH,QH,9S,7H,6H,loss
AS,8D,7S,JS,JD,TD,7D,loss
7D,6C,7C,9C,TH,9H,AS,win
6C,KH,QS,AH,TH,7D,JS,win
JC,9C,JS,TH,KD,6C,8H,loss
JH,8D,6S,QH,TC,JD,6C,loss
TD,7D,6S,KS,7C,QS,JD,loss
8C,AH,TS,6S,7D,7S,QC,loss
7S,8C,8S,TD,8D,QH,AC,win
AD,JH,TD,TH,AC,JD,9D,win
QD,7H,KD,KH,JS,6S,7S,loss
QH,AC,TH,AH,6S,8D,TC,win
QS,7S,QC,QH,7C,7H,KH,win
JH,QD,6S,TS,AS,7H,QS,win
AS,AC,7C,KC,9S,6D,TC,win
KD,6D,JS,8C,JC,KS,AS,win
QS,9D,8H,AD,6S,8D,QC,win
QC,AH,9C,7H,6C,TD,QH,win
TH,TC,KC,9C,AD,9D,8S,win
8D,TC,AH,QD,AC,TS,TD,win
JD,8S,7D,6D,6C,QD,8H,loss
7D,7C,TC,KC,JD,QS,KH,loss
6C,8S,KC,KD,TC,8H,9C,loss
9H,9S,7S,JD,8C,JC,6H,win
TD,AD,QC,7D,9D,QD,6D,win
7H,AH,7D,KS,QD,AD,KC,loss
6C,6D,TC,JH,TD,KD,TH,win
7H,6C,KH,6H,8S,JD,JH,loss
AC,KC,9D,8C,QD,QH,6D,loss
8D,7D,8S,QS,AH,9D,KC,loss
JD,JC,7D,9S,TD,AS,QS,win
8C,6H,JH,6C,JD,AS,7C,loss
QD,9D,9H,7D,QS,7H,TS,win
JC,AS,KD,AD,TH,7H,KH,loss
TD,AC,JS,8D,AS,TS,QC,loss
9H,8D,TC,JD,KD,KC,6S,loss
8C,TH,6H,JD,JS,7C,QS,loss
AH,QS,8S,6C,AS,AD,7C,win
QH,6D,QC,AD,JH,AH,8S,win
8D,JC,8C,AD,KH,6C,AS,win
KS,TC,TS,TH,JD,AS,6H,win
KS,AD,TC,TH,AS,JC,AH,win
JS,KC,8S,6C,QH,6D,9C,loss
9D,8D,QH,KH,8H,7H,QS,loss
AH,JC,7C,TH,AC,8D,KH,loss
JH,AS,JD,8C,6S,9S,9C,win
QD,JH,AS,TC,KH,AC,KS,win
QC,JD,9H,8S,JH,AC,TC,win
AC,8H,8S,7S,7H,KS,9H,loss
AH,TD,7D,QS,7S,JC,7C,loss
AC,QD,6C,9C,6D,7C,6S,loss
TS,8C,TH,KH,AD,9C,6H,win
QS,AS,8S,AD,7D,TD,6S,loss
9H,8D,AS,KD,JH,AH,9D,loss
AD,9S,8S,KH,KS,QD,QC,loss
9C,7D,6D,QS,9H,QC,QD,win
TC,KD,6H,TS,TD,JS,7D,win
8D,9D,JD,7S,JH,QD,9H,loss
QC,JH,6C,8S,8H,AC,TH,loss
8C,AD,6S,QC,AC,AS,6H,win
AD,TH,QD,9C,9D,9H,8C,loss
KH,7C,7D,JS,JC,9S,9H,loss
AD,7S,8S,KC,6S,QH,7C,loss
AD,TC,8C,AC,7H,7S,8H,win
7C,KS,6H,6D,KD,AC,AS,win
8S,JH,9S,TS,AS,7C,KD,loss
QD,QC,AH,AD,9C,JD,7H,win
6S,AS,8C,9S,JH,9D,JC,win
6H,7H,7S,7D,TD,JH,7C,win
9C,6D,7D,QD,6H,8H,TD,win
KS,KD,7C,9S,7H,AD,JD,win
6D,7H,AD,7D,6H,AC,JH,loss
7H,AH,6C,7S,TS,JD,AD,loss
KC,7C,8S,AS,JC,KD,KS,win
TH,JD,KC,7C,QH,TS,AD,win
QH,7D,8S,TS,QS,AH,JS,loss
9C,6C,KS,TS,KD,JS,KH,loss
QH,QC,KS,TD,8C,7C,8S,win
9C,6H,TS,KS,QH,9H,JC,loss
6S,9C,7S,TC,AS,AD,JS,loss
8S,9S,KD,8D,9D,7D,6C,win
6D,8C,JS,6H,AH,TD,6S,win
KS,AS,QH,JH,JC,QC,6D,loss
JD,6S,8H,7H,8C,TD,AH,loss
7H,TH,AD,9H,KD,QC,6H,loss
TH,9H,8S,8H,AC,JS,8C,loss
9C,9S,QD,JD,9D,6H,QC,win
9D,8D,JD,7S,KS,TS,6H,win
QD,7D,JH,7C,KH,6C,AD,loss
AS,TS,TC,JH,JC,9H,QH,loss
AD,TH,6C,AS,TD,KS,JC,win
AS,8H,KC,TH,8C,7S,TC,win
QS,QH,6D,8D,JS,7H,TH,loss
7H,TC,QC,AS,7S,9H,TD,win
TS,JD,AD,TC,KC,TH,AC,win
9D,TD,TC,7H,9S,6C,7C,win
9C,TH,8S,JC,KD,AC,7S,win
8D,6S,AC,8H,JD,6C,KH,win
KD,KS,6D,AH,AD,AC,7H,win
9D,6S,8C,KC,KH,AC,6H,loss
KC,QD,AD,JC,9D,7H,9H,loss
6S,7H,AD,QS,6D,TH,7D,win
KS,AD,8D,JD,TH,TS,AH,win
8S,AH,JD,TD,TC,QD,7H,loss
9D,6D,6S,AH,6C,JC,7S,loss
KD,KH,AC,QC,6C,6D,6S,win
QD,TD,QH,QC,9S,KC,8H,loss
6D,JD,6H,9H,6C,9S,QS,win
TD,QC,6C,TH,7H,9H,JD,loss
9H,AH,8D,7C,TD,QC,AD,loss
QD,8H,JC,7H,9H,TC,6H,win
QD,9S,QC,KH,8S,9D,7C,win
QC,JD,8S,9H,KH,TD,JC,win
AD,KH,KS,AH,TH,7C,6H,win
8C,KH,AH,AC,9D,KC,JD,win
TH,9H,QH,JC,JD,KD,JH,loss
6H,7C,7H,TH,JC,JD,8D,loss
TS,QC,7C,AS,TC,AH,KS,loss
AS,TS,6S,7D,QS,TH,6D,win
TH,JD,8H,JH,7H,TC,QS,win
AH,6C,KC,JS,9D,7C,7D,loss
AD,8S,7S,6D,JH,8D,TH,loss
TC,QS,JH,8S,QD,QH,8C,win
JC,TC,8S,9S,8C,QC,6C,win
KH,9S,9C,TH,AH,6C,6H,win
8H,7D,AC,TD,7C,KS,QC,loss
KH,6H,8H,KD,8D,QC,TH,win
JC,8C,7D,9S,JD,QH,7H,loss
9H,QD,JH,AH,AS,JS,6S,loss
7D,8S,TD,AC,8H,QC,JD,win
AD,9C,KS,9H,7S,6S,JH,win
6H,QD,9S,8D,QC,JH,KC,win
AS,9D,6C,KD,6H,KS,JS,loss
9H,TC,7S,6S,TD,KH,AH,loss
QS,8H,KD,JC,7C,9D,JD,loss
8C,7H,QS,9S,6S,JC,QH,loss
KS,9S,9D,QS,KC,8H,8C,loss
JH,JD,KH,6D,AD,TH,9S,win
TS,JC,TD,KS,TH,8D,AC,win
QD,TH,AH,6D,KD,AD,KH,win
QD,8D,7D,9D,JD,6H,7C,win
JH,AD,7S,AH,AS,TH,QD,win
9C,7S,AH,KC,7H,9S,TS,loss
QD,6D,KD,AD,KS,KH,8D,win
JS,9D,6C,8H,KS,JH,7C,loss
9H,AC,QS,6C,QD,9D,7S,loss
8S,6S,7C,KS,AD,6H,QD,loss
7C,AS,KD,AH,8H,9C,QC,loss
QH,AD,JS,TH,TD,QC,KS,win
AH,7C,7D,AS,KC,8D,9H,win
JC,AD,6S,8H,JD,TD,9S,loss
KS,9S,TC,QD,7C,7D,9C,loss
JD,KC,AC,QS,9H,6D,QH,loss
8D,8C,KS,7H,QH,AD,QD,loss
6H,TH,AC,7S,JC,6C,9H,loss
TS,6H,QH,9H,AD,7H,KC,loss
9H,8C,7D,TC,7C,9C,AC,win
9C,6D,TH,6C,7H,AC,QC,loss
8S,TH,JH,8C,KC,TC,6H,win
KS,AD,9H,7H,AH,KH,KD,loss
6H,QC,AD,KS,6D,JS,KH,loss
9H,AS,AC,7S,QH,TC,6C,win
TH,8C,9D,6C,KH,8S,9C,win
QS,8H,7H,AS,KC,KD,8D,loss
9D,JS,7H,7C,JH,TH,KS,loss
AH,9H,JS,AD,6H,7C,9S,loss
AD,JH,TS,KH,9H,QC,AC,win
AC,KC,7D,6S,KD,QS,7S,win
7C,KD,TS,8D,AS,JS,AH,loss
JD,6C,QH,JH,7S,6H,TH,win
9S,7C,JD,JH,7D,8S,QC,loss
JD,KS,8D,7D,AD,JH,8H,win
QS,QH,KD,8S,9H,QD,9S,win
6S,9S,QD,9C,7S,KD,TC,loss
TC,KD,AS,9H,KS,JS,9D,win
7C,QC,6H,6D,QH,7H,6S,win
TC,7S,9H,AS,JH,QC,8D,loss
6H,KC,AD,9C,KH,7S,8S,win
JS,JD,8S,AC,JH,8H,6H,win
6D,6C,AC,9H,KD,7S,TD,loss
9D,7C,JH,QC,KD,9H,9C,win
AC,QC,AH,6D,8D,KH,7D,loss
7H,KS,9S,KC,TC,KD,8C,loss
TH,6D,8H,KC,TC,6H,KS,win
KS,KD,KH,8D,TH,6S,8S,win
9H,9C,KD,8H,7H,TH,9S,win
TC,9S,8S,KC,AH,8H,QC,loss
KD,KH,QS,JC,7H,QD,8C,win
QS,7S,TD,KC,6H,KS,JC,loss
QS,TS,8H,KC,QC,AH,9C,win
AD,QD,QC,TH,KS,QH,QS,win
QC,QH,KS,9D,AS,JC,TC,win
6C,KH,7H,QS,JH,JD,8D,loss
QS,6D,7C,8D,JH,7S,TD,loss
TH,TC,KH,QH,AH,TS,QS,win
9H,7C,7D,AS,8S,JC,6S,loss
JC,8D,9H,JH,KC,TH,6D,loss
TD,7S,6S,7H,JD,QH,8S,loss
7S,KD,AD,AS,QS,AH,6C,loss
QH,6C,TD,7D,7C,KS,9H,loss
KH,9S,KD,7D,TS,KS,AH,loss
AC,6H,AH,8H,QD,TS,JS,loss
QC,JC,9D,7C,8S,8D,AD,loss
TC,6D,QS,JS,9S,8H,TS,loss
AD,QC,8D,7H,6S,QH,JH,win
QS,KH,KD,8S,TS,QD,TH,win
6H,AH,TH,7S,QH,9S,TS,loss
KS,8S,6D,7H,7C,9S,QC,loss
7D,7C,JD,9D,6D,TS,JS,loss
6C,QC,9C,9D,9S,JD,6H,win
6D,TD,6H,TH,JD,9C,7H,loss
TH,JH,6H,QS,KH,QC,9C,win
7S,AD,6S,QD,9D,AS,TD,loss
AS,TS,AD,8C,6D,AC,8S,win
KH,JC,JD,KS,TC,QH,QS,loss
7D,6S,8C,AD,7H,9D,KH,loss
6D,7H,JS,7S,QC,AH,6H,win
JC,AH,KS,8H,9H,8C,TD,loss
KS,TS,TC,8H,7H,QC,JC,loss
7S,QH,AH,TC,TD,QS,KS,win
7S,6H,7C,8D,9C,TD,KC,loss
7S,JC,8H,AD,JD,QC,7H,win
QH,8H,KS,QD,KC,9C,JC,loss
8C,KC,TH,7S,AH,9S,QS,loss
7S,8S,8C,KC,JS,7C,TH,loss
QH,8C,TC,KS,KH,6C,KD,loss
KD,7D,TS,KC,9H,7S,QS,win
TC,TH,7C,KS,TS,8H,QD,win
TS,KH,TC,AC,QC,QS,6S,win
7C,TC,8H,7S,TH,7H,TD,loss
TH,7H,KH,8H,7D,JH,AS,win
7H,TC,KD,7S,8S,JC,KS,loss
8S,KS,TD,QH,8H,JC,KC,loss
6S,8C,QC,TD,6D,9S,8H,win
7D,KS,QH,6C,7S,9C,AS,win
JD,QD,KS,TC,KD,JS,7D,loss
JS,8S,TS,9D,KD,KH,AS,loss
AH,AC,6C,TS,QD,QC,JD,loss
9D,9C,AS,JH,8C,JS,AC,loss
6S,7D,6D,AC,TC,JD,QH,loss
TD,AH,JD,TS,JS,7S,6C,win
QH,9S,6H,7D,TH,6C,AS,loss
9S,9C,KH,QD,6D,TS,9H,win
6S,JC,8D,QS,7S,TS,QC,loss
9D,QD,AD,KH,KD,8H,7S,loss
9H,QC,6H,9D,6S,TH,TC,loss
AC,KS,7H,KD,7S,TC,8C,loss
QD,KS,7H,7D,6H,6S,KC,win
QD,9D,KD,7S,8H,7D,6D,win
6S,TH,QC,QS,6C,TS,7S,loss
KH,AS,JH,AC,6D,7D,9D,loss
9H,7H,AD,8H,AC,7D,6H,loss
9S,9H,QD,TS,JD,8D,KS,loss
TS,AD,TC,9D,QH,8C,6C,loss
6D,8C,KD,JD,9D,TS,7H,loss
AH,KS,7C,7H,TD,KC,TC,win
6H,TS,9D,QD,TD,KH,7C,win
QH,QC,9H,7H,TC,9D,6S,loss
QD,7H,JC,KH,AH,9D,JS,loss
9S,6S,TD,TH,6D,7C,JH,loss
8D,9C,9H,6D,KC,JS,9D,win
JC,JD,9C,6S,TH,QH,7H,win
9C,JH,AD,7D,6C,QH,9S,win
JC,TH,QC,KC,QS,AH,KS,win
7C,QC,TC,AD,9H,AS,TD,win
7S,QD,KD,KH,AD,7H,8S,loss
6S,AS,KD,7H,TC,6D,JH,win
KH,AD,7H,QD,7D,AC,QC,win
8D,KC,8S,7H,TD,8H,7C,win
AD,JC,QH,7D,QS,9S,JH,loss
QC,9D,7H,7S,7C,KD,QH,win
AS,QH,8S,8H,KH,QD,TD,loss
TC,9D,JH,TS,TH,AH,9C,win
6S,KH,JS,7H,QD,9D,8H,loss
KD,JH,AH,TD,8H,7D,AS,loss
TD,KS,QD,AD,9H,KD,JH,win
AC,KC,8S,TS,7H,6S,KH,loss
QH,JD,7H,AC,KD,8C,TC,win
JD,6H,AS,JS,9S,7D,QD,loss
KS,7C,7H,QC,KH,JH,AD,win
8C,AC,7H,6H,7S,TH,9C,win
6D,JD,QC,8S,7S,TD,9C,win
9C,9S,QH,7H,JH,TS,6H,loss
AH,8S,TC,6S,7S,QC,6C,loss
9H,AS,8D,AD,TH,TD,KH,loss
8H,9C,7C,9H,7H,JD,AD,win
9D,6H,6S,JS,9H,6C,7H,win
AD,9D,QD,KS,9S,KD,8H,win
9D,7H,JH,TH,JD,AD,6C,loss
8C,7H,9C,AH,7C,QS,TC,loss
8H,AS,QC,JH,QS,9C,8C,loss
JC,KS,9C,AS,JS,8S,KC,win
8H,9D,KH,AD,JD,6C,JS,loss
AD,AH,8H,KS,8C,QD,6C,win
TD,9S,7D,AC,TC,8D,JC,loss
AD,7C,JC,JS,JD,8D,KH,loss
6C,KD,KS,7D,7H,JS,QS,loss
KC,6H,AH,TS,TD,7H,6S,win
6C,7H,AS,KH,8S,8C,JD,loss
QC,8S,KD,7S,9C,AS,9D,loss
7D,KH,JC,JH,9H,6C,QH,loss
9H,TC,8D,KC,JC,7H,9C,win
9C,QC,AS,9D,7C,AD,JC,win
TH,TD,JS,7D,KH,6D,8D,win
QC,9S,9H,JC,JS,TC,8D,win
KS,QC,7S,6D,6C,8C,7H,loss
6S,8S,TS,7S,6C,AS,9C,win
KS,9D,AC,7D,TH,QD,QC,loss
TH,9S,7H,9D,JS,8H,7C,win
8C,7C,7D,KS,JH,7H,AC,win
KH,AH,7S,8H,8D,9H,QS,loss
6H,7S,JH,TS,7D,KH,QD,loss
6S,AH,KH,8D,7S,QS,KD,loss
8S,7D,TC,QH,7H,7C,8D,win
JH,KS,QH,AH,AS,7H,KD,win
KS,KH,7D,KC,KD,6D,AC,win
TH,AD,9D,KC,8C,AH,6H,win
KD,AH,8H,8D,KH,AS,7D,loss
7D,TC,JS,9S,7S,KC,8D,win
QD,QC,AS,JC,6H,8H,JS,win
7C,9S,KS,8H,JD,7D,TD,win
QC,KH,9C,TD,7C,QH,7D,loss
9C,9S,6H,AH,8D,KD,QS,loss
8C,9H,7H,7C,JS,KH,TH,loss
QS,JS,8D,KH,9S,7D,JD,win
9D,7D,6S,QC,8D,8S,AD,loss
8C,8D,7D,6D,JH,QD,JS,win
KH,QH,6S,AC,TS,AD,JS,win
8S,AH,QH,TD,9C,7S,6C,win
TS,6D,8S,7S,JD,9H,8H,loss
TH,JS,6D,AD,7S,7C,8C,loss
AC,AH,TD,QH,7H,JD,KS,win
JS,AC,9S,9C,JD,QH,QC,loss
JH,AH,7C,KH,6S,AS,TH,loss
KC,7D,JD,8C,AS,AC,6D,loss
QC,QS,7D,7H,AS,TS,6C,loss
AH,8H,9S,QS,TC,JH,QC,loss
TD,7C,6H,9S,9C,8C,QD,win
QD,QH,JC,7C,9D,6H,JS,win
AH,AD,AC,TS,TC,8S,JH,win
9H,8S,7C,8C,AH,QS,9C,win
6H,9H,QH,KC,KD,9S,AD,loss
TC,9S,QH,8S,KS,6H,KD,loss
9H,JC,AS,TD,9S,8S,QD,win
JH,7D,7C,QH,6C,JD,KS,loss
JS,QC,JH,KS,JD,8D,TC,win
6S,AD,AS,QH,JS,7S,JH,loss
JS,QS,9S,6C,AH,KD,AC,loss
KS,7C,JH,9S,TC,7H,KH,win
7D,AS,9S,JC,KD,KS,AH,win
JS,9D,AS,6S,6H,9H,KS,loss
TC,JS,QS,7D,9H,AD,8D,win
JD,7S,7C,JH,AD,QH,6H,win
9H,6S,TD,QS,6H,AC,QC,win
7C,KH,TC,6D,TD,7H,JS,win
6H,8S,JC,AH,QD,8C,JS,loss
9H,6S,6C,KD,QC,QS,6H,win
TS,TD,TH,JS,6D,QS,KS,win
